DATE,ret_true,sigma_lstm,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2006-01-31,-0.0038880298,0.005185077,0.006194141,17.728073,-0.008405603757957698,-0.012817461655240534,0,0
2006-02-01,0.0029174385,0.0052189617,0.0044153407,17.946579,-0.008460534197044801,-0.01290122349043743,0,0
2006-02-02,-0.011917695,0.0052150227,0.005867443,17.926205,-0.00845414854616082,-0.012891486196400499,1,0
2006-02-03,-0.005123164,0.0054141884,0.00655859,17.729158,-0.008777018904516334,-0.01338382185211324,0,0
2006-02-06,0.0025648628,0.0056814933,0.003315056,19.069603,-0.009210351064047563,-0.014044597508295679,0,0
2006-02-07,-0.00890654,0.005629509,0.005668721,19.36034,-0.00912607920902316,-0.01391609379797402,0,0
2006-02-08,0.008512374,0.005721058,0.005785326,19.915745,-0.009274490310535554,-0.01414240158711364,0,0
2006-02-09,-0.0019731657,0.005703305,0.006863358,22.991804,-0.009245710149929717,-0.014098515553983929,0,0
2006-02-10,0.0019731657,0.0057475334,0.008875409,19.696024,-0.009317409885529353,-0.014207848403616434,0,0
2006-02-13,-0.0019731657,0.0059175044,0.0047353297,19.957966,-0.009592952493558392,-0.014628015343969007,0,0
2006-02-14,0.009827123,0.0058459537,0.008271707,19.419785,-0.009476960006387078,-0.01445114176065183,0,0
2006-02-15,0.0031243924,0.0058676167,0.0057668854,23.333517,-0.009512078554270035,-0.01450469301691363,0,0
2006-02-16,0.0073815407,0.005739158,0.004417031,20.801151,-0.00930383257046583,-0.014187144749218847,0,0
2006-02-17,-0.0021311643,0.00549362,0.003162011,24.050217,-0.00890578691342051,-0.0135801764584065,0,0
2006-02-20,-0.00019396761,0.0052388883,0.0017676872,21.837118,-0.008492838028340647,-0.012950482666919534,0,0
2006-02-21,-0.0027195043,0.0050057005,0.006000768,19.505371,-0.008114813572758424,-0.01237404412619232,0,0
2006-02-22,0.005431633,0.005088413,0.005962494,18.03067,-0.00824890042542031,-0.012578509283241692,0,0
2006-02-23,-0.001548887,0.0051870327,0.005112513,16.862356,-0.008408773795589238,-0.01282229555378702,0,0
2006-02-24,0.0021291017,0.005269035,0.0037004733,15.542676,-0.00854170944182689,-0.013025005269511204,0,0
