DATE,ret_true,sigma_lstm_wf,gk_vol_actual,garch_pred,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2022-01-03,0.005762497,0.004839012,0.006186043,0.0062427786,8.195933,-0.007799630383385799,-0.012117379419734545,0,0
2022-01-04,-0.00036571667,0.0054902053,0.0064620697,0.0066296468,8.265491,-0.008851848078846147,-0.013739893497218882,0,0
2022-01-05,-0.019363783,0.006100167,0.008638585,0.0059992243,8.160969,-0.009830904410193905,-0.015280043109499637,1,1
2022-01-06,-0.0010660982,0.006982953,0.0080839,0.012177505,7.2326293,-0.011198662544032657,-0.017647950768904016,0,0
2022-01-07,-0.0042222342,0.0075433585,0.0069747576,0.009582959,7.123908,-0.01208881219998209,-0.01908662629544709,0,0
2022-01-10,-0.0011789927,0.007307802,0.016614271,0.008301621,6.9758267,-0.011699320877060413,-0.018521053444665894,0,0
2022-01-11,0.0091276085,0.009841163,0.010839752,0.0071833567,7.0404606,-0.01576225116919607,-0.024923581007461195,0,0
2022-01-12,0.0023882193,0.010367045,0.006471696,0.00806783,7.342129,-0.016637105566115074,-0.026170380138956346,0,0
2022-01-13,-0.013716757,0.008478994,0.0109671,0.0071375114,7.363493,-0.013608903863746592,-0.021399479971626497,1,0
2022-01-14,0.00059096894,0.009208202,0.009303108,0.009573054,7.451891,-0.014787004349502452,-0.023218862838394208,0,0
2022-01-18,-0.018101513,0.009544478,0.0114238085,0.00806732,7.3444724,-0.015317261413554899,-0.024093319673890917,1,0
2022-01-19,-0.010334873,0.010132148,0.011109728,0.011996146,6.668181,-0.016182497940759127,-0.025771857660473407,0,0
2022-01-20,-0.011001334,0.01070139,0.023462562,0.0110485945,7.0754256,-0.01714417865550434,-0.027091673994938694,0,0
2022-01-21,-0.019121258,0.014215378,0.01424319,0.010700719,7.57697,-0.022843889155337475,-0.03579991943982038,0,0
2022-01-24,0.0031272236,0.014621019,0.035095066,0.013404795,8.206373,-0.023567549386046893,-0.03660924918620447,0,0
2022-01-25,-0.012510517,0.019411182,0.019793717,0.010707448,9.107139,-0.0313918041889353,-0.04826329228761478,0,0
2022-01-26,-0.0017260232,0.020226149,0.024141645,0.010987585,10.302752,-0.03278890444499468,-0.04999885047438615,0,0
2022-01-27,-0.0054854774,0.020902738,0.025549112,0.008907998,10.049522,-0.03388573071356374,-0.05167136907562702,0,0
2022-01-28,0.024140287,0.022572428,0.023705536,0.0081299655,10.184022,-0.03659249047066194,-0.0557988286128089,0,0
2022-01-31,0.018146675,0.02303567,0.013839379,0.014036561,8.905646,-0.03722919466809885,-0.05735862797568334,0,0
2022-02-01,0.006803688,0.019615661,0.011266878,0.014907269,8.660896,-0.03167500616688108,-0.04893346248376873,0,0
2022-02-02,0.009273297,0.016039912,0.007077817,0.012710192,8.770387,-0.025911031386842677,-0.03997971867129186,0,0
2022-02-03,-0.02393371,0.012203285,0.008441929,0.011671173,8.397188,-0.019685909684091323,-0.030506671254082934,1,0
2022-02-04,0.0052446695,0.010752018,0.014395354,0.015798304,8.371882,-0.017343022075371268,-0.026884293620212645,0,0
2022-02-07,-0.0037354042,0.012337644,0.007602334,0.013341822,8.111682,-0.019878788966531013,-0.03091726783277815,0,0
2022-02-08,0.008177388,0.010894877,0.009874161,0.011257358,8.271888,-0.01756625847481955,-0.027264253491531814,0,0
2022-02-09,0.014356287,0.010459311,0.006808479,0.010391234,8.561801,-0.016883333998646943,-0.026112231408808292,0,0
2022-02-10,-0.017685924,0.0093596075,0.012177775,0.011436585,9.03856,-0.015133111532635019,-0.023282793633049328,1,0
2022-02-11,-0.019760383,0.010413548,0.016334744,0.013036129,9.375885,-0.016854289902940578,-0.02584393750228288,1,0
2022-02-14,-0.0035213304,0.012811351,0.011650509,0.014603836,9.995941,-0.0207684676884691,-0.03167030231275438,0,0
2022-02-15,0.015917253,0.012715209,0.009524022,0.012564321,10.381424,-0.020612810158080485,-0.03143187704486115,0,0
2022-02-16,0.0012311826,0.011442226,0.009678362,0.0131417755,10.962486,-0.01854915954758279,-0.028285076014081343,0,0
2022-02-17,-0.02159618,0.010940194,0.011675964,0.011417919,11.381083,-0.017735307245228534,-0.027044056215999705,1,0
2022-02-18,-0.007111753,0.011435102,0.013963175,0.0139704645,11.6509695,-0.018537608659663394,-0.02826746239972905,0,0
2022-02-22,-0.010065452,0.012646067,0.022853067,0.012551502,12.369239,-0.020500722826425982,-0.03126095832005691,0,0
2022-02-23,-0.018306073,0.015873397,0.017774988,0.011841994,11.951322,-0.02573259310758567,-0.03923888574144778,0,0
2022-02-24,0.014578203,0.016907822,0.030106924,0.013160317,12.290946,-0.027409516006895063,-0.04179597688916508,0,0
2022-02-25,0.022161571,0.020458784,0.019941658,0.013177385,13.17257,-0.03316603089204657,-0.05057391966792128,0,0
2022-02-28,-0.0027434858,0.020770239,0.0196207,0.015195205,14.794937,-0.033670934500244526,-0.05134383255270879,0,0
2022-03-01,-0.014818503,0.020068163,0.01803507,0.0133150825,14.578156,-0.03253278971136405,-0.0496083085368668,0,0
2022-03-02,0.017961452,0.019368347,0.016730048,0.013381089,14.428886,-0.031398307852015236,-0.04787837001615041,0,0
2022-03-03,-0.0051481635,0.018411793,0.0123818,0.014120271,14.183635,-0.029847622670657048,-0.0455137751073562,0,0
2022-03-04,-0.007367788,0.016105892,0.014164938,0.012746436,14.092148,-0.02610949505250497,-0.039813612598184896,0,0
2022-03-07,-0.030204918,0.015263266,0.016786285,0.011721356,14.13844,-0.024743500854882125,-0.03773064761988262,1,0
2022-03-08,-0.007111088,0.015943741,0.022750646,0.016767738,12.287894,-0.025846630063023155,-0.03941277739107694,0,0
