DATE,ret_true,sigma_lstm,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2006-01-31,-0.0038880298,0.005472365,0.006194141,17.728073,-0.008871330056033593,-0.013527634194812552,0,0
2006-02-01,0.0029174385,0.0054775043,0.0044153407,17.946579,-0.008879661954728632,-0.013540339265752625,0,0
2006-02-02,-0.011917695,0.0054770405,0.005867443,17.926205,-0.008878909956983769,-0.013539192566177301,1,0
2006-02-03,-0.005123164,0.0054885335,0.00655859,17.729158,-0.008897541102009396,-0.013567602659471682,0,0
2006-02-06,0.0025648628,0.0054916637,0.003315056,19.069603,-0.00890261518780301,-0.013575339985899125,0,0
2006-02-07,-0.00890654,0.0054892646,0.005668721,19.36034,-0.008898726068152814,-0.013569409580014617,1,0
2006-02-08,0.008512374,0.005520278,0.005785326,19.915745,-0.008949002729950164,-0.013646075005045027,0,0
2006-02-09,-0.0019731657,0.0055118795,0.006863358,22.991804,-0.00893538743520256,-0.013625313436527476,0,0
2006-02-10,0.0019731657,0.005498868,0.008875409,19.696024,-0.008914294362655313,-0.01359314922127886,0,0
2006-02-13,-0.0019731657,0.005493069,0.0047353297,19.957966,-0.008904893968848047,-0.013578814833097079,0,0
2006-02-14,0.009827123,0.0055071553,0.008271707,19.419785,-0.008927729042905275,-0.013613635375981464,0,0
2006-02-15,0.0031243924,0.005500181,0.0057668854,23.333517,-0.008916422912949975,-0.013596394985957837,0,0
2006-02-16,0.0073815407,0.0055029695,0.004417031,20.801151,-0.008920943339348944,-0.013603288053214223,0,0
2006-02-17,-0.0021311643,0.0054881787,0.003162011,24.050217,-0.008896966342790257,-0.01356672622578953,0,0
2006-02-20,-0.00019396761,0.005476423,0.0017676872,21.837118,-0.008877908981309912,-0.01353766620737109,0,0
2006-02-21,-0.0027195043,0.0054744156,0.006000768,19.505371,-0.008874654544380408,-0.013532703610780234,0,0
2006-02-22,0.005431633,0.005463748,0.005962494,18.03067,-0.008857360284234539,-0.013506332094508652,0,0
2006-02-23,-0.001548887,0.005447973,0.005112513,16.862356,-0.008831788140944326,-0.013467337874045393,0,0
2006-02-24,0.0021291017,0.0054456573,0.0037004733,15.542676,-0.008828034060170874,-0.013461613385031873,0,0
2006-02-27,0.0007730963,0.0054411944,0.0042014886,14.943083,-0.00882079935234937,-0.013450581388668593,0,0
2006-02-28,-0.008926898,0.0054335515,0.005978134,24.785446,-0.008808408691415227,-0.01343168722877483,1,0
2006-03-01,0.0073801074,0.005444104,0.004350633,17.118721,-0.008825515585119617,-0.013457773035387914,0,0
