DATE,SR3_CLOSE,ZT1_CLOSE,ZF1_CLOSE,TN1_CLOSE,ZN1_CLOSE,ZB1_CLOSE,SR3_VOLUME,ZT1_VOLUME,ZF1_VOLUME,TN1_VOLUME,ZN1_VOLUME,ZB1_VOLUME,SR3_OPEN,ZT1_OPEN,ZF1_OPEN,TN1_OPEN,ZN1_OPEN,ZB1_OPEN,SR3_HIGH,ZT1_HIGH,ZF1_HIGH,TN1_HIGH,ZN1_HIGH,ZB1_HIGH,SR3_LOW,ZT1_LOW,ZF1_LOW,TN1_LOW,ZN1_LOW,ZB1_LOW,SR3_is_trading,ZT1_is_trading,ZF1_is_trading,TN1_is_trading,ZN1_is_trading,ZB1_is_trading
2022-04-28,98.38,105.503906,112.84375,129.25,119.359375,141.21875,193978.0,617917.0,1215129.0,281180.0,1938440.0,328690.0,98.405,105.601563,113.078125,129.59375,119.6875,141.3125,98.415,105.675781,113.304688,130.0625,120.03125,141.96875,98.365,105.433594,112.695313,128.953125,119.203125,140.375,1,1,1,1,1,1
2022-04-29,98.34,105.40625,112.671875,129.0,119.15625,140.6875,187171.0,695034.0,1381727.0,392913.0,2139536.0,455460.0,98.4,105.558594,113.039063,129.6875,119.65625,141.75,98.4,105.585938,113.101563,129.796875,119.75,141.90625,98.315,105.289063,112.414063,128.34375,118.75,139.84375,1,1,1,1,1,1
2022-04-30,98.34,105.40625,112.671875,129.0,119.15625,140.6875,0.0,0.0,0.0,0.0,0.0,0.0,98.4,105.558594,113.039063,129.6875,119.65625,141.75,98.4,105.585938,113.101563,129.796875,119.75,141.90625,98.315,105.289063,112.414063,128.34375,118.75,139.84375,0,0,0,0,0,0
2022-05-01,98.34,105.40625,112.671875,129.0,119.15625,140.6875,0.0,0.0,0.0,0.0,0.0,0.0,98.4,105.558594,113.039063,129.6875,119.65625,141.75,98.4,105.585938,113.101563,129.796875,119.75,141.90625,98.315,105.289063,112.414063,128.34375,118.75,139.84375,0,0,0,0,0,0
2022-05-02,98.365,105.363281,112.257813,127.65625,118.34375,139.09375,125327.0,380519.0,803857.0,260315.0,1282256.0,298190.0,98.33,105.359375,112.46875,128.296875,118.75,139.84375,98.38,105.4375,112.625,128.78125,119.0625,140.46875,98.315,105.308594,112.179688,127.515625,118.21875,138.90625,1,1,1,1,1,1
2022-05-03,98.355,105.289063,112.28125,128.140625,118.515625,140.0,193663.0,570477.0,1005746.0,236031.0,1389133.0,290850.0,98.365,105.339844,112.242188,127.8125,118.390625,139.34375,98.375,105.429688,112.570313,128.671875,118.9375,140.75,98.34,105.257813,112.078125,127.515625,118.140625,139.03125,1,1,1,1,1,1
2022-05-04,98.405,105.585938,112.867188,128.703125,119.15625,140.15625,370665.0,857663.0,1474032.0,318330.0,1775883.0,410156.0,98.35,105.265625,112.1875,127.90625,118.375,139.65625,98.415,105.617188,112.90625,128.859375,119.203125,140.53125,98.275,105.117188,111.984375,127.5625,118.140625,138.90625,1,1,1,1,1,1
2022-05-05,98.39,105.371094,112.265625,126.921875,118.0625,137.28125,235386.0,599124.0,1234411.0,326823.0,2047770.0,471258.0,98.405,105.53125,112.765625,128.375,118.921875,139.59375,98.41,105.585938,112.953125,128.875,119.296875,140.09375,98.38,105.335938,112.117188,126.4375,117.8125,136.59375,1,1,1,1,1,1
2022-05-06,98.405,105.449219,112.226563,126.296875,117.796875,136.3125,211698.0,612459.0,1096037.0,324333.0,1750115.0,366495.0,98.38,105.378906,112.296875,127.171875,118.1875,137.71875,98.415,105.554688,112.507813,127.34375,118.296875,137.90625,98.36,105.3125,112.015625,126.015625,117.578125,136.0,1,1,1,1,1,1
2022-05-07,98.405,105.449219,112.226563,126.296875,117.796875,136.3125,0.0,0.0,0.0,0.0,0.0,0.0,98.38,105.378906,112.296875,127.171875,118.1875,137.71875,98.415,105.554688,112.507813,127.34375,118.296875,137.90625,98.36,105.3125,112.015625,126.015625,117.578125,136.0,0,0,0,0,0,0
2022-05-08,98.405,105.449219,112.226563,126.296875,117.796875,136.3125,0.0,0.0,0.0,0.0,0.0,0.0,98.38,105.378906,112.296875,127.171875,118.1875,137.71875,98.415,105.554688,112.507813,127.34375,118.296875,137.90625,98.36,105.3125,112.015625,126.015625,117.578125,136.0,0,0,0,0,0,0
2022-05-09,98.425,105.617188,112.546875,126.796875,118.1875,136.9375,195486.0,688927.0,1107482.0,355976.0,1713326.0,405667.0,98.395,105.378906,112.03125,126.125,117.625,136.21875,98.44,105.699219,112.804688,127.390625,118.609375,137.75,98.385,105.316406,111.921875,125.328125,117.265625,134.9375,1,1,1,1,1,1
2022-05-10,98.41,105.621094,112.804688,127.890625,118.78125,138.59375,165000.0,637823.0,1187701.0,363261.0,1812986.0,379740.0,98.43,105.648438,112.679688,127.203125,118.453125,137.53125,98.445,105.746094,113.101563,128.515625,119.1875,139.46875,98.405,105.578125,112.546875,126.9375,118.25,137.125,1,1,1,1,1,1
2022-05-11,98.4,105.59375,112.953125,128.75,119.265625,139.625,199936.0,753634.0,1418825.0,436165.0,2222622.0,467862.0,98.41,105.617188,112.796875,127.828125,118.765625,138.40625,98.415,105.714844,113.15625,128.890625,119.40625,139.875,98.365,105.386719,112.304688,126.890625,118.109375,137.21875,1,1,1,1,1,1
2022-05-12,98.43,105.8125,113.429688,129.8125,120.0,140.9375,288749.0,637990.0,1254526.0,389474.0,1997731.0,451239.0,98.405,105.574219,112.882813,128.671875,119.1875,139.5,98.44,105.832031,113.445313,129.84375,120.015625,141.09375,98.4,105.523438,112.851563,128.640625,119.140625,139.4375,1,1,1,1,1,1
2022-05-13,98.41,105.683594,112.960938,128.515625,119.171875,139.09375,144140.0,352147.0,812244.0,234535.0,1200488.0,273991.0,98.41,105.738281,113.242188,129.453125,119.71875,140.59375,98.415,105.75,113.25,129.46875,119.734375,140.625,98.39,105.613281,112.835938,128.421875,119.09375,138.875,1,1,1,1,1,1
2022-05-14,98.41,105.683594,112.960938,128.515625,119.171875,139.09375,0.0,0.0,0.0,0.0,0.0,0.0,98.41,105.738281,113.242188,129.453125,119.71875,140.59375,98.415,105.75,113.25,129.46875,119.734375,140.625,98.39,105.613281,112.835938,128.421875,119.09375,138.875,0,0,0,0,0,0
2022-05-15,98.41,105.683594,112.960938,128.515625,119.171875,139.09375,0.0,0.0,0.0,0.0,0.0,0.0,98.41,105.738281,113.242188,129.453125,119.71875,140.59375,98.415,105.75,113.25,129.46875,119.734375,140.625,98.39,105.613281,112.835938,128.421875,119.09375,138.875,0,0,0,0,0,0
2022-05-16,98.41,105.742188,113.28125,129.1875,119.671875,139.90625,137829.0,338442.0,808893.0,225973.0,1165327.0,304067.0,98.4075,105.695313,112.992188,128.53125,119.203125,139.03125,98.42,105.789063,113.382813,129.453125,119.859375,140.40625,98.3925,105.648438,112.882813,128.328125,119.046875,138.78125,1,1,1,1,1,1
2022-05-17,98.385,105.519531,112.671875,128.1875,118.859375,138.65625,237644.0,569147.0,1088162.0,236731.0,1395521.0,348422.0,98.41,105.730469,113.273438,129.109375,119.671875,139.625,98.415,105.777344,113.351563,129.234375,119.75,139.8125,98.375,105.484375,112.546875,127.84375,118.65625,138.1875,1,1,1,1,1,1
2022-05-18,98.3925,105.585938,112.914063,129.125,119.4375,140.3125,214694.0,616747.0,1202472.0,287148.0,1740614.0,426795.0,98.385,105.503906,112.585938,127.96875,118.71875,138.40625,98.4025,105.621094,113.0,129.234375,119.53125,140.53125,98.3775,105.457031,112.445313,127.65625,118.5,137.9375,1,1,1,1,1,1
2022-05-19,98.4075,105.699219,113.140625,129.46875,119.703125,140.59375,183131.0,640625.0,1418910.0,379648.0,2264358.0,481981.0,98.3925,105.589844,112.898438,129.078125,119.421875,140.21875,98.415,105.769531,113.453125,130.40625,120.3125,142.0625,98.3925,105.5625,112.765625,128.703125,119.1875,139.71875,1,1,1,1,1,1
2022-05-20,98.42,105.765625,113.328125,130.25,120.125,141.78125,147510.0,446363.0,1038106.0,266627.0,1496733.0,458458.0,98.41,105.710938,113.195313,129.671875,119.828125,140.9375,98.4225,105.820313,113.429688,130.40625,120.265625,142.03125,98.3975,105.640625,112.992188,129.203125,119.5,140.21875,1,1,1,1,1,1
2022-05-21,98.42,105.765625,113.328125,130.25,120.125,141.78125,0.0,0.0,0.0,0.0,0.0,0.0,98.41,105.710938,113.195313,129.671875,119.828125,140.9375,98.4225,105.820313,113.429688,130.40625,120.265625,142.03125,98.3975,105.640625,112.992188,129.203125,119.5,140.21875,0,0,0,0,0,0
2022-05-22,98.42,105.765625,113.328125,130.25,120.125,141.78125,0.0,0.0,0.0,0.0,0.0,0.0,98.41,105.710938,113.195313,129.671875,119.828125,140.9375,98.4225,105.820313,113.429688,130.40625,120.265625,142.03125,98.3975,105.640625,112.992188,129.203125,119.5,140.21875,0,0,0,0,0,0
2022-05-23,98.4,105.703125,112.984375,129.484375,119.578125,140.3125,139517.0,850380.0,1528590.0,318034.0,1634748.0,431874.0,98.4175,105.746094,113.289063,130.171875,120.109375,141.6875,98.4175,105.761719,113.328125,130.1875,120.109375,141.6875,98.3925,105.648438,112.929688,129.296875,119.484375,140.03125,1,1,1,1,1,1
2022-05-24,98.42,105.96875,113.578125,130.5625,120.375,141.90625,176689.0,2046451.0,2969274.0,941156.0,3479511.0,806137.0,98.395,105.710938,113.03125,129.5625,119.65625,140.46875,98.42,106.023438,113.742188,131.078125,120.6875,142.5,98.395,105.695313,112.960938,129.421875,119.5625,140.21875,1,1,1,1,1,1
2022-05-25,98.4275,106.019531,113.804688,130.71875,120.59375,141.84375,190633.0,1794850.0,3445111.0,791732.0,3366992.0,733561.0,98.42,105.964844,113.625,130.5625,120.40625,141.9375,98.4325,106.058594,113.90625,131.15625,120.8125,142.6875,98.41,105.941406,113.53125,130.421875,120.296875,141.46875,1,1,1,1,1,1
2022-05-26,98.4325,106.058594,113.828125,130.609375,120.59375,141.6875,172331.0,870373.0,1414667.0,443088.0,1859472.0,429911.0,98.4275,106.019531,113.796875,130.65625,120.59375,141.8125,98.44,106.160156,114.054688,131.21875,120.96875,142.5625,98.42,105.972656,113.664063,130.140625,120.3125,140.96875,1,1,1,1,1,1
2022-05-27,98.4425,106.082031,113.710938,129.5625,120.484375,140.9375,109681.0,361252.0,427684.0,178249.0,644383.0,218422.0,98.4325,106.070313,113.820313,129.515625,120.609375,140.78125,98.445,106.167969,113.921875,130.015625,120.84375,141.65625,98.425,106.050781,113.695313,129.359375,120.4375,140.59375,1,1,1,1,1,1
2022-05-28,98.4425,106.082031,113.710938,129.5625,120.484375,140.9375,0.0,0.0,0.0,0.0,0.0,0.0,98.4325,106.070313,113.820313,129.515625,120.609375,140.78125,98.445,106.167969,113.921875,130.015625,120.84375,141.65625,98.425,106.050781,113.695313,129.359375,120.4375,140.59375,0,0,0,0,0,0
2022-05-29,98.4425,106.082031,113.710938,129.5625,120.484375,140.9375,0.0,0.0,0.0,0.0,0.0,0.0,98.4325,106.070313,113.820313,129.515625,120.609375,140.78125,98.445,106.167969,113.921875,130.015625,120.84375,141.65625,98.425,106.050781,113.695313,129.359375,120.4375,140.59375,0,0,0,0,0,0
2022-05-30,98.4425,106.082031,113.710938,129.5625,120.484375,140.9375,0.0,0.0,0.0,0.0,0.0,0.0,98.4325,106.070313,113.820313,129.515625,120.609375,140.78125,98.445,106.167969,113.921875,130.015625,120.84375,141.65625,98.425,106.050781,113.695313,129.359375,120.4375,140.59375,0,0,0,0,0,0
2022-05-31,98.4375,106.003906,113.398438,128.484375,119.84375,139.4375,159396.0,105503.0,98136.0,469688.0,144727.0,528547.0,98.4425,106.136719,113.757813,129.6875,120.515625,141.0,98.4475,106.136719,113.789063,129.71875,120.578125,141.09375,98.425,105.9375,113.210938,128.078125,119.578125,138.6875,1,1,1,1,1,1
