DATE,BTCUSDT_CLOSE,ETHUSDT_CLOSE,USDCUSD_CLOSE,USDTUSD_CLOSE,BTCUSDT_VOLUME,ETHUSDT_VOLUME,USDCUSD_VOLUME,USDTUSD_VOLUME,BTCUSDT_OPEN,ETHUSDT_OPEN,USDCUSD_OPEN,USDTUSD_OPEN,BTCUSDT_HIGH,ETHUSDT_HIGH,USDCUSD_HIGH,USDTUSD_HIGH,BTCUSDT_LOW,ETHUSDT_LOW,USDCUSD_LOW,USDTUSD_LOW,BTCUSDT_is_trading,ETHUSDT_is_trading,USDCUSD_is_trading,USDTUSD_is_trading
2022-04-28,39742.07,2936.93,0.9998,0.99959,56086.6715,537392.9978,964803.8293,880024.0464,39235.72,2888.95,1.00012,0.99999,40372.63,2980.0,1.00077,1.00048,38881.43,2853.83,0.99966,0.99361,1,1,1,1
2022-04-29,38596.11,2817.13,0.99995,0.99988,51453.65715,525978.147,1379114.475,2236000.204,39742.06,2936.92,0.99982,1.00004,39925.25,2946.46,1.00499,1.00198,38175.0,2776.63,0.99977,0.99934,1,1,1,1
2022-04-30,37630.8,2726.66,1.0001,1.00043,35321.18989,367757.2469,1149045.74,461056.3365,38596.11,2817.13,0.99995,0.9999,38795.38,2841.63,1.00031,1.00047,37578.2,2709.26,0.99901,0.99931,1,1,1,1
2022-05-01,38468.35,2824.81,1.00011,1.00011,38812.24104,442544.8792,1840289.16,238887.9256,37630.8,2726.67,1.0001,1.00037,38675.0,2849.9,1.003,1.00059,37386.38,2716.13,0.99499,0.99901,1,1,1,1
2022-05-02,38525.16,2856.54,0.99996,0.99992,53200.92628,521706.8567,779124.3704,408010.3024,38468.35,2824.81,1.00037,1.0001,39167.34,2894.22,1.0004,1.00038,38052.0,2778.78,0.99866,0.99901,1,1,1,1
2022-05-03,37728.95,2781.7,0.99964,0.99989,40316.45358,371331.1796,1030852.399,848986.6175,38525.16,2856.54,1.00031,0.99943,38651.51,2861.47,1.00162,1.0002,37517.8,2755.19,0.99906,0.99881,1,1,1,1
2022-05-04,39690.0,2940.64,0.9998,1.00007,62574.61736,548738.0668,6331596.58,1055684.317,37728.95,2781.7,0.99966,0.99989,40023.77,2965.85,1.00058,1.0002,37670.0,2771.74,0.98883,0.9945,1,1,1,1
2022-05-05,36552.97,2747.97,0.99965,0.99985,88722.43355,734845.3194,1124605.648,1501155.422,39690.0,2940.65,0.99984,0.99961,39845.51,2954.65,1.00037,1.00038,35571.9,2683.0,0.9983,0.98845,1,1,1,1
2022-05-06,36013.77,2692.85,0.99966,0.9999,68437.80187,711449.3234,1124787.212,4639975.058,36552.97,2747.96,1.00008,0.99985,36675.63,2758.18,1.00076,1.0004,35258.0,2632.95,0.9992,0.99529,1,1,1,1
2022-05-07,35472.39,2635.34,0.99992,1.00004,34281.70682,371271.4532,1124131.588,152353.1664,36013.77,2692.86,1.00011,0.99942,36146.3,2704.36,1.00096,1.00005,34785.0,2584.75,0.99962,0.99939,1,1,1,1
2022-05-08,34038.4,2519.71,0.99964,0.99942,72445.64344,757615.3415,1053316.764,1265256.67,35472.4,2635.35,0.99981,1.00004,35514.22,2642.0,1.0007,1.00004,33713.95,2484.0,0.9995,0.9964,1,1,1,1
2022-05-09,30076.31,2228.55,1.00004,0.99977,191876.926428,1574924.9793,2178628.522,5527722.414,34038.39,2519.71,0.99991,0.99984,34243.15,2530.78,1.0008,1.0004,30033.33,2225.0,0.9978,0.997,1,1,1,1
2022-05-10,31017.1,2342.05,1.00038,0.99983,165532.00311,1550626.1387,1524373.553,7496497.033,30074.23,2229.0,0.99999,0.99978,32658.99,2457.34,1.0019,1.0132,29730.4,2200.0,0.99503,0.99534,1,1,1,1
2022-05-11,29103.94,2084.99,1.0013,0.99523,207063.739278,2022864.83806,3244193.814,10022528.1,31017.11,2342.04,1.00038,0.99982,32162.59,2451.37,1.0013,1.01939,27785.0,2005.0,0.98006,0.989,1,1,1,1
2022-05-12,29029.75,1960.22,0.99865,0.99675,204507.263138,2305192.90836,26903748.38,12012092.51,29103.94,2084.99,1.0,0.99523,30243.0,2195.0,1.00107,0.99939,26700.0,1800.0,0.95142,0.91011,1,1,1,1
2022-05-13,29287.05,2009.69,0.99989,0.99835,97872.36957,1134042.3387,2890298.246,4245990.068,29029.74,1960.22,0.99851,0.99675,31083.37,2147.54,1.0003,1.0,28751.67,1940.23,0.99401,0.99168,1,1,1,1
2022-05-14,30086.74,2056.48,0.99989,0.99886,51095.87863,563788.3078,369512.4509,1558163.958,29287.05,2009.69,0.99968,0.99813,30343.27,2070.06,0.99989,1.00415,28630.0,1951.21,0.99687,0.99751,1,1,1,1
2022-05-15,31328.89,2145.29,0.99988,0.99885,46275.66912,514398.2587,483130.0057,539009.7862,30086.74,2056.47,0.99989,0.99847,31460.0,2167.0,0.99989,0.999,29480.0,2000.68,0.9992,0.99836,1,1,1,1
2022-05-16,29874.01,2023.66,0.99963,0.99859,73082.19658,822070.8531,1666307.253,2351535.513,31328.89,2145.29,0.99989,0.99885,31328.9,2145.29,1.00048,0.99914,29087.04,1979.12,0.99654,0.99796,1,1,1,1
2022-05-17,30444.93,2090.72,0.99988,0.9988,56724.13307,568249.0448,4376088.351,983930.2643,29874.01,2023.66,0.99973,0.99854,30788.37,2122.42,1.00049,0.99916,29450.38,2008.0,0.99502,0.99837,1,1,1,1
2022-05-18,28715.32,1915.11,0.99997,0.9987,59749.15799,631577.2341,1710521.12,1836778.892,30444.93,2090.72,0.99998,0.99889,30709.99,2110.72,1.00099,0.99895,28654.47,1908.0,0.99604,0.99806,1,1,1,1
2022-05-19,30319.23,2019.55,1.00017,0.99875,67877.36415,741476.9794,2023363.173,1383334.189,28715.33,1915.11,0.99996,0.9987,30545.18,2040.39,1.0017,0.9993,28691.38,1903.18,0.99596,0.99839,1,1,1,1
2022-05-20,29201.01,1959.08,0.99995,0.99892,60517.25325,576981.5371,616847.2967,950462.6228,30319.22,2019.55,1.00028,0.99901,30777.33,2064.0,1.00168,0.99969,28730.0,1923.0,0.99974,0.99859,1,1,1,1
2022-05-21,29445.06,1975.07,0.99962,0.99861,20987.13124,238869.7632,390742.3796,946253.3234,29201.01,1959.08,0.99994,0.99891,29656.18,1990.86,1.00177,0.99906,28947.28,1937.36,0.9996,0.99852,1,1,1,1
2022-05-22,30293.94,2043.19,0.99974,0.99914,36158.98748,355735.1927,476884.7452,177805.8476,29445.07,1975.06,0.99996,0.99855,30487.99,2056.41,1.0,0.99925,29255.11,1966.33,0.99883,0.9985,1,1,1,1
2022-05-23,29109.15,1973.32,0.9996,0.99885,63901.49932,636085.0224,736056.1618,1680577.353,30293.93,2043.19,0.99975,0.99912,30670.51,2088.5,0.9998,0.99949,28866.35,1957.12,0.99705,0.99881,1,1,1,1
2022-05-24,29654.58,1979.41,0.99974,0.99875,59442.96036,534096.972,3594098.453,1450419.628,29109.14,1973.33,0.9996,0.99885,29845.86,1993.83,1.0,0.99951,28669.0,1913.02,0.99329,0.99852,1,1,1,1
2022-05-25,29542.15,1942.63,0.99996,0.99889,59537.38659,524786.3091,537607.3832,1071332.793,29654.58,1979.4,0.99967,0.99898,30223.74,2022.34,1.0004,0.99911,29294.21,1934.61,0.99756,0.9986,1,1,1,1
2022-05-26,29201.35,1792.23,1.00064,0.99901,94581.65463,1168740.57514,46916412.67,1078265.489,29542.14,1942.64,1.00021,0.99899,29886.64,1966.01,1.03999,0.99925,28019.56,1735.0,0.99176,0.99875,1,1,1,1
2022-05-27,28629.8,1727.27,0.99963,0.99872,90998.5201,1296693.28537,5101218.059,3184836.734,29201.35,1792.24,1.00064,0.999,29397.66,1822.26,1.03999,0.99976,28282.9,1703.0,0.99921,0.99842,1,1,1,1
2022-05-28,29031.33,1792.22,1.00008,0.99913,34479.35127,558271.1818,3095747.519,593108.9614,28629.81,1727.26,0.99961,0.99888,29266.0,1808.98,1.00038,0.99926,28450.0,1722.26,0.95625,0.99869,1,1,1,1
2022-05-29,29468.1,1813.64,1.0004,0.99892,27567.34764,432430.611,2454196.118,153844.3089,29031.33,1792.21,1.00005,0.9989,29587.78,1827.4,1.00676,0.99918,28839.21,1759.96,0.99872,0.99836,1,1,1,1
2022-05-30,31734.22,1998.78,1.00016,0.99947,96785.9476,814922.8359,16797146.61,1605843.489,29468.1,1813.64,1.0004,0.99892,32222.0,2013.0,1.04,0.99956,29299.62,1803.18,0.99595,0.9985,1,1,1,1
2022-05-31,31801.04,1941.9,0.99961,0.99939,62433.11632,751103.4226,573423.056,1399084.939,31734.23,1998.78,0.99999,0.99928,32399.0,2016.45,1.00031,0.99994,31200.01,1925.0,0.99612,0.99031,1,1,1,1
2022-06-01,29805.83,1817.95,0.99987,0.999,103395.63382,1037841.2706,365490.3496,2073975.785,31801.05,1941.9,0.99986,0.99912,31982.97,1972.58,1.002,0.99956,29301.0,1763.75,0.99851,0.99874,1,1,1,1
2022-06-02,30452.62,1834.08,0.99965,0.99935,56961.42928,788784.4017,297701.5689,1579046.622,29805.84,1817.96,0.99962,0.99924,30689.0,1853.05,1.00093,1.0002,29594.55,1782.42,0.99862,0.99896,1,1,1,1
2022-06-03,29700.21,1775.12,0.99968,0.99917,54067.44727,741282.5346,277232.4526,1993244.352,30452.63,1834.09,0.99988,0.99932,30699.0,1843.91,1.00038,1.00097,29282.36,1737.0,0.99895,0.99856,1,1,1,1
2022-06-04,29864.04,1804.58,0.99939,0.99933,25617.90113,388279.4579,198462.8712,261985.497,29700.21,1775.13,0.99989,0.99915,29988.88,1816.0,1.00022,0.99933,29485.0,1748.43,0.99873,0.99878,1,1,1,1
2022-06-05,29919.21,1806.23,0.9997,0.99893,23139.9281,371974.5061,78655.36046,2633477.11,29864.03,1804.58,0.9996,0.99934,30189.0,1830.17,0.99981,0.99934,29531.42,1773.05,0.99907,0.99885,1,1,1,1
2022-06-06,31373.1,1859.84,0.99977,0.99915,68836.92456,804250.3567,701642.2575,1480647.113,29919.2,1806.22,0.9997,0.99893,31765.64,1920.0,1.00093,1.00004,29890.23,1804.35,0.99916,0.99893,1,1,1,1
2022-06-07,31125.33,1813.33,0.99992,0.99933,110674.51658,1397598.2288,506671.9535,2276579.738,31373.1,1859.84,0.99974,0.99914,31589.6,1874.98,1.0005,1.00036,29218.96,1725.13,0.99944,0.99902,1,1,1,1
2022-06-08,30204.77,1791.88,1.00019,0.9992,68542.61276,941510.1373,1846740.933,2008062.683,31125.32,1813.33,1.00001,0.99941,31327.22,1838.77,1.00881,0.99997,29843.88,1765.28,0.99987,0.9991,1,1,1,1
2022-06-09,30109.93,1788.81,0.99991,0.9993,46291.1865,535310.9618,474813.7917,1408503.944,30204.77,1791.88,0.99992,0.99919,30700.0,1833.0,1.00006,0.99983,29944.1,1777.33,0.99971,0.99901,1,1,1,1
2022-06-10,29091.88,1662.91,0.99967,0.99887,76204.2498,955035.79239,392333.8341,1439538.279,30109.93,1788.8,0.99997,0.99929,30382.8,1804.32,1.00001,0.99981,28850.0,1655.93,0.9996,0.99869,1,1,1,1
2022-06-11,28424.7,1532.89,0.99987,0.99886,65901.39895,1220325.2542,185411.0002,613657.3442,29091.87,1662.91,0.99968,0.9989,29440.41,1682.21,0.99988,0.99958,28099.99,1496.74,0.99952,0.99861,1,1,1,1
2022-06-12,26574.53,1434.84,0.99987,0.99866,92474.598809,1563225.37018,428795.5371,474084.4764,28424.71,1532.89,0.99986,0.99885,28544.96,1547.0,0.99995,0.99899,26560.0,1423.0,0.9995,0.9985,1,1,1,1
