DATE,ES1_CLOSE,VIX_CLOSE,ES1_VOLUME,VIX_VOLUME,ES1_OPEN,VIX_OPEN,ES1_HIGH,VIX_HIGH,ES1_LOW,VIX_LOW,ES1_is_trading,VIX_is_trading
2004-03-26,1106.0,20.32,664861.0,216.0,1106.25,21.24,1114.0,21.25,1104.25,20.27,1,1
2004-03-27,1106.0,20.32,0.0,0.0,1106.25,21.24,1114.0,21.25,1104.25,20.27,0,0
2004-03-28,1106.0,20.32,0.0,0.0,1106.25,21.24,1114.0,21.25,1104.25,20.27,0,0
2004-03-29,1121.75,19.8,669922.0,52.0,1106.0,19.9,1123.5,19.99,1106.0,19.75,1,1
2004-03-30,1126.0,19.62,562087.0,93.0,1121.75,19.86,1126.75,20.04,1117.5,19.61,1,1
2004-03-31,1125.0,19.75,693645.0,562.0,1126.0,19.67,1129.75,19.81,1119.75,19.67,1,1
2004-04-01,1133.5,19.62,640574.0,84.0,1126.75,19.87,1134.75,19.99,1123.5,19.62,1,1
2004-04-02,1142.0,18.89,773288.0,89.0,1133.25,19.47,1145.0,19.47,1132.0,18.84,1,1
2004-04-03,1142.0,18.89,0.0,0.0,1133.25,19.47,1145.0,19.47,1132.0,18.84,0,0
2004-04-04,1142.0,18.89,0.0,0.0,1133.25,19.47,1145.0,19.47,1132.0,18.84,0,0
2004-04-05,1148.25,18.53,479671.0,84.0,1141.5,18.73,1149.5,18.8,1138.0,18.53,1,1
2004-04-06,1144.75,18.79,469548.0,304.0,1148.25,18.57,1148.5,18.89,1141.5,18.57,1,1
2004-04-07,1142.25,19.09,632450.0,226.0,1144.5,18.97,1146.5,19.25,1137.0,18.89,1,1
2004-04-08,1139.5,19.05,640090.0,98.0,1142.25,18.95,1154.5,19.15,1133.0,18.95,1,1
2004-04-09,1139.5,19.05,0.0,0.0,1142.25,18.95,1154.5,19.15,1133.0,18.95,0,0
2004-04-10,1139.5,19.05,0.0,0.0,1142.25,18.95,1154.5,19.15,1133.0,18.95,0,0
2004-04-11,1139.5,19.05,0.0,0.0,1142.25,18.95,1154.5,19.15,1133.0,18.95,0,0
2004-04-12,1144.0,18.67,384108.0,5.0,1139.0,18.78,1146.5,18.78,1136.0,18.67,1,1
2004-04-13,1128.25,19.3,828295.0,25.0,1144.25,19.0,1150.0,19.31,1126.25,18.89,1,1
2004-04-14,1129.75,19.46,972966.0,308.0,1128.0,19.38,1132.0,19.5,1120.75,19.38,1,1
2004-04-15,1125.0,19.35,880208.0,142.0,1129.25,19.33,1133.5,19.44,1119.0,19.26,1,1
2004-04-16,1134.0,19.0,681187.0,61.0,1124.5,19.18,1136.0,19.19,1122.0,19.0,1,1
2004-04-17,1134.0,19.0,0.0,0.0,1124.5,19.18,1136.0,19.19,1122.0,19.0,0,0
2004-04-18,1134.0,19.0,0.0,0.0,1124.5,19.18,1136.0,19.19,1122.0,19.0,0,0
2004-04-19,1133.75,18.87,507413.0,11.0,1132.5,19.1,1135.25,19.14,1128.25,18.85,1,1
2004-04-20,1114.5,19.15,774369.0,125.0,1133.5,18.87,1138.5,19.15,1113.25,18.65,1,1
2004-04-21,1122.5,18.68,861177.0,11.0,1115.5,19.09,1124.75,19.1,1114.25,18.64,1,1
2004-04-22,1136.75,17.35,848340.0,95.0,1124.0,18.55,1142.0,18.55,1118.25,17.14,1,1
2004-04-23,1139.5,17.34,515762.0,601.0,1140.0,17.23,1142.25,17.5,1133.25,17.23,1,1
2004-04-24,1139.5,17.34,0.0,0.0,1140.0,17.23,1142.25,17.5,1133.25,17.23,0,0
2004-04-25,1139.5,17.34,0.0,0.0,1140.0,17.23,1142.25,17.5,1133.25,17.23,0,0
2004-04-26,1138.0,17.13,554092.0,246.0,1138.25,17.3,1144.25,17.39,1131.0,17.13,1,1
2004-04-27,1138.0,16.8,743858.0,87.0,1137.75,17.12,1146.25,17.12,1134.75,16.5,1,1
2004-04-28,1123.5,17.37,837185.0,335.0,1138.0,17.05,1138.25,17.51,1120.0,17.0,1,1
2004-04-29,1114.0,17.77,1145900.0,274.0,1123.0,17.23,1128.0,17.91,1106.5,17.23,1,1
2004-04-30,1106.0,18.22,817525.0,131.0,1113.25,17.54,1119.0,18.28,1103.75,17.54,1,1
2004-05-01,1106.0,18.22,0.0,0.0,1113.25,17.54,1119.0,18.28,1103.75,17.54,0,0
2004-05-02,1106.0,18.22,0.0,0.0,1113.25,17.54,1119.0,18.28,1103.75,17.54,0,0
2004-05-03,1116.0,17.69,609878.0,42.0,1105.25,18.0,1118.0,18.0,1104.25,17.69,1,1
2004-05-04,1115.5,17.31,781489.0,36.0,1116.0,17.6,1127.5,17.68,1111.5,16.85,1,1
2004-05-05,1122.0,16.62,665017.0,237.0,1115.5,17.04,1124.5,17.05,1112.5,16.6,1,1
2004-05-06,1113.0,17.48,782294.0,41.0,1122.0,16.85,1122.25,17.65,1104.75,16.85,1,1
2004-05-07,1095.5,18.31,986625.0,136.0,1113.0,17.54,1117.0,18.31,1094.5,17.12,1,1
2004-05-08,1095.5,18.31,0.0,0.0,1113.0,17.54,1117.0,18.31,1094.5,17.12,0,0
2004-05-09,1095.5,18.31,0.0,0.0,1113.0,17.54,1117.0,18.31,1094.5,17.12,0,0
2004-05-10,1083.5,19.35,1231780.0,219.0,1095.0,18.79,1097.0,19.58,1078.0,18.6,1,1
2004-05-11,1092.25,19.97,755064.0,96.0,1083.5,20.2,1095.25,20.25,1081.25,19.87,1,1
2004-05-12,1098.75,19.61,1189880.0,175.0,1092.5,19.8,1099.75,20.79,1075.25,19.57,1,1
2004-05-13,1093.75,19.58,868300.0,122.0,1098.5,19.77,1102.5,19.77,1090.75,19.4,1,1
2004-05-14,1094.75,19.67,857016.0,37.0,1093.5,19.33,1102.0,19.82,1085.75,19.32,1,1
2004-05-15,1094.75,19.67,0.0,0.0,1093.5,19.33,1102.0,19.82,1085.75,19.32,0,0
2004-05-16,1094.75,19.67,0.0,0.0,1093.5,19.33,1102.0,19.82,1085.75,19.32,0,0
2004-05-17,1085.5,20.21,819851.0,119.0,1094.0,19.87,1094.75,20.29,1078.25,19.82,1,1
2004-05-18,1090.25,20.07,644992.0,42.0,1085.25,19.96,1094.5,20.09,1084.5,19.96,1,1
2004-05-19,1086.75,19.17,1029552.0,399.0,1090.75,19.6,1105.75,19.64,1085.75,18.74,1,1
2004-05-20,1090.5,19.34,659182.0,84.0,1087.0,19.06,1092.75,19.34,1084.0,18.99,1,1
2004-05-21,1092.5,19.17,674780.0,84.0,1090.0,19.32,1099.75,19.33,1088.75,19.1,1,1
2004-05-22,1092.5,19.17,0.0,0.0,1090.0,19.32,1099.75,19.33,1088.75,19.1,0,0
2004-05-23,1092.5,19.17,0.0,0.0,1090.0,19.32,1099.75,19.33,1088.75,19.1,0,0
2004-05-24,1096.5,18.77,725025.0,817.0,1092.75,18.61,1101.75,19.0,1091.0,18.6,1,1
2004-05-25,1112.5,17.5,914619.0,398.0,1096.5,18.9,1113.75,18.9,1090.0,17.44,1,1
2004-05-26,1116.0,17.61,605407.0,246.0,1112.0,17.6,1117.0,17.75,1108.75,17.53,1,1
2004-05-27,1122.75,17.35,706751.0,324.0,1116.0,17.46,1124.5,17.6,1114.5,17.29,1,1
2004-05-28,1120.25,17.58,706751.0,42.0,1122.25,17.55,1123.75,17.65,1117.5,17.55,1,1
2004-05-29,1120.25,17.58,0.0,0.0,1122.25,17.55,1123.75,17.65,1117.5,17.55,0,0
2004-05-30,1120.25,17.58,0.0,0.0,1122.25,17.55,1123.75,17.65,1117.5,17.55,0,0
2004-05-31,1121.5,17.58,359808.0,0.0,1121.5,17.55,1123.0,17.65,1118.75,17.55,1,0
2004-06-01,1121.25,17.6,621570.0,64.0,1121.25,17.6,1122.75,17.62,1112.5,17.55,1,1
2004-06-02,1125.5,17.65,570289.0,110.0,1121.5,17.64,1128.5,17.65,1118.25,17.6,1,1
2004-06-03,1115.0,17.6,613526.0,289.0,1125.25,17.6,1126.0,17.7,1114.5,17.43,1,1
2004-06-04,1123.25,17.28,623184.0,152.0,1116.0,17.46,1129.5,17.46,1115.5,17.02,1,1
2004-06-05,1123.25,17.28,0.0,0.0,1116.0,17.46,1129.5,17.46,1115.5,17.02,0,0
2004-06-06,1123.25,17.28,0.0,0.0,1116.0,17.46,1129.5,17.46,1115.5,17.02,0,0
2004-06-07,1140.25,16.58,578498.0,339.0,1122.5,17.1,1142.0,17.16,1122.5,16.56,1,1
2004-06-08,1142.0,17.73,518265.0,145.0,1140.25,18.28,1142.75,18.3,1135.5,17.69,1,1
2004-06-09,1131.5,17.86,615183.0,128.0,1141.75,17.55,1143.0,17.95,1130.5,17.2,1,1
2004-06-10,1136.5,17.57,615183.0,633.0,1131.75,17.74,1137.0,17.87,1128.5,17.4,1,1
2004-06-11,1136.5,17.57,615183.0,0.0,1136.25,17.74,1137.0,17.87,1132.75,17.4,1,0
