DATE,ES1_CLOSE,NQ1_CLOSE,YM1_CLOSE,VIX_CLOSE,ES1_VOLUME,NQ1_VOLUME,YM1_VOLUME,VIX_VOLUME,ES1_OPEN,NQ1_OPEN,YM1_OPEN,VIX_OPEN,ES1_HIGH,NQ1_HIGH,YM1_HIGH,VIX_HIGH,ES1_LOW,NQ1_LOW,YM1_LOW,VIX_LOW,ES1_IS_TRADING,NQ1_IS_TRADING,YM1_IS_TRADING,VIX_IS_TRADING
2022-05-01,4127.5,12852.0,32882.0,31.6487,0.0,0.0,0.0,0.0,4244.0,13219.5,33735.0,29.5,4279.75,13433.0,33903.0,31.8,4118.75,12831.75,32820.0,28.6,0,0,0,0
2022-05-02,4151.0,13073.0,32980.0,30.9477,2351404.0,763818.0,222204.0,109600.0,4144.0,12892.25,32988.0,31.2,4165.75,13084.5,33145.0,33.45,4056.0,12709.75,32358.0,30.7,1,1,1,1
2022-05-03,4169.25,13087.5,33033.0,28.8864,1678497.0,662216.0,162760.0,93610.0,4145.5,13051.75,32960.0,30.9,4195.75,13183.75,33254.0,31.35,4129.0,12968.5,32806.0,28.55,1,1,1,1
2022-05-04,4295.25,13531.25,33969.0,25.762,1783477.0,703191.0,188059.0,99375.0,4171.25,13121.0,33041.0,28.8,4303.0,13555.25,34027.0,28.95,4142.75,12883.0,32925.0,25.6,1,1,1,1
2022-05-05,4143.25,12858.0,32910.0,31.3271,2389422.0,877795.0,252365.0,128130.0,4289.75,13500.25,33926.0,26.05,4300.75,13548.0,34020.0,32.1,4099.25,12705.25,32589.0,25.95,1,1,1,1
2022-05-06,4119.5,12695.75,32809.0,30.8118,2310919.0,852234.0,241720.0,126217.0,4146.5,12883.25,32933.0,31.05,4153.25,12928.75,32966.0,33.85,4062.0,12519.0,32376.0,30.5,1,1,1,1
2022-05-07,4119.5,12695.75,32809.0,30.8118,0.0,0.0,0.0,0.0,4146.5,12883.25,32933.0,31.05,4153.25,12928.75,32966.0,33.85,4062.0,12519.0,32376.0,30.5,0,0,0,0
2022-05-08,4119.5,12695.75,32809.0,30.8118,0.0,0.0,0.0,0.0,4146.5,12883.25,32933.0,31.05,4153.25,12928.75,32966.0,33.85,4062.0,12519.0,32376.0,30.5,0,0,0,0
2022-05-09,3987.5,12193.75,32161.0,33.8168,2139992.0,816033.0,242482.0,95308.0,4087.25,12605.0,32624.0,31.15,4099.0,12637.25,32690.0,34.25,3970.0,12135.25,32037.0,31.1,1,1,1,1
2022-05-10,3996.75,12349.0,32087.0,32.254,2247750.0,853859.0,239430.0,75508.0,3993.25,12206.0,32206.0,34.05,4065.5,12547.0,32663.0,34.9,3953.0,12102.25,31805.0,31.65,1,1,1,1
2022-05-11,3930.25,11969.75,31743.0,31.7389,2157244.0,865890.0,264401.0,94983.0,3990.5,12328.75,32048.0,32.1,4050.5,12553.25,32506.0,32.95,3923.75,11938.5,31715.0,30.45,1,1,1,1
2022-05-12,3927.25,11947.25,31652.0,31.261,2380563.0,878238.0,256197.0,93088.0,3939.75,12004.5,31803.0,31.55,3961.75,12132.75,31893.0,32.95,3855.0,11689.0,31148.0,31.05,1,1,1,1
2022-05-13,4019.75,12382.75,32120.0,29.3959,1859074.0,663517.0,171076.0,96931.0,3916.25,11891.5,31556.0,31.45,4036.0,12432.0,32201.0,31.45,3915.5,11891.5,31556.0,29.2,1,1,1,1
2022-05-14,4019.75,12382.75,32120.0,29.3959,0.0,0.0,0.0,0.0,3916.25,11891.5,31556.0,31.45,4036.0,12432.0,32201.0,31.45,3915.5,11891.5,31556.0,29.2,0,0,0,0
2022-05-15,4019.75,12382.75,32120.0,29.3959,0.0,0.0,0.0,0.0,3916.25,11891.5,31556.0,31.45,4036.0,12432.0,32201.0,31.45,3915.5,11891.5,31556.0,29.2,0,0,0,0
2022-05-16,4004.75,12244.75,32159.0,28.0855,1695198.0,623715.0,167019.0,90503.0,4025.0,12409.0,32148.0,29.25,4043.5,12498.75,32453.0,29.85,3979.5,12190.25,31867.0,28.05,1,1,1,1
2022-05-17,4084.75,12560.25,32581.0,27.4896,1716498.0,653222.0,166271.0,89735.0,4002.0,12235.5,32139.0,28.25,4091.5,12578.0,32692.0,28.25,4000.5,12234.0,32129.0,27.05,1,1,1,1
2022-05-18,3922.75,11935.5,31440.0,31.5195,2202394.0,735386.0,168601.0,135470.0,4091.25,12572.0,32629.0,27.4,4095.0,12594.0,32651.0,31.75,3905.5,11862.75,31299.0,27.25,1,1,1,1
2022-05-19,3897.75,11878.25,31202.0,29.286,2317604.0,827741.0,222586.0,131085.0,3916.5,11907.0,31397.0,31.55,3943.5,12076.75,31524.0,32.95,3856.0,11704.0,30955.0,29.1,1,1,1,1
2022-05-20,3899.5,11840.75,31213.0,29.4224,2408399.0,806781.0,217514.0,112601.0,3900.5,11898.0,31209.0,29.15,3949.5,12096.75,31548.0,31.7,3807.5,11491.25,30585.0,28.05,1,1,1,1
2022-05-21,3899.5,11840.75,31213.0,29.4224,0.0,0.0,0.0,0.0,3900.5,11898.0,31209.0,29.15,3949.5,12096.75,31548.0,31.7,3807.5,11491.25,30585.0,28.05,0,0,0,0
2022-05-22,3899.5,11840.75,31213.0,29.4224,0.0,0.0,0.0,0.0,3900.5,11898.0,31209.0,29.15,3949.5,12096.75,31548.0,31.7,3807.5,11491.25,30585.0,28.05,0,0,0,0
2022-05-23,3971.75,12035.25,31839.0,29.0797,1736162.0,660213.0,181351.0,66666.0,3910.5,11866.0,31288.0,29.35,3982.25,12075.5,31925.0,29.95,3906.5,11783.75,31286.0,28.5,1,1,1,1
2022-05-24,3940.5,11771.0,31880.0,29.1855,2017453.0,717429.0,204978.0,80012.0,3951.75,11915.0,31782.0,29.15,3954.5,11918.0,31972.0,30.55,3872.0,11576.25,31315.0,28.94,1,1,1,1
2022-05-25,3976.75,11942.25,32076.0,28.4859,1744116.0,671096.0,180970.0,62677.0,3950.0,11808.0,31943.0,29.15,3997.75,12036.0,32215.0,30.0,3913.5,11672.0,31683.0,28.15,1,1,1,1
2022-05-26,4055.75,12279.25,32600.0,28.0636,1493132.0,611884.0,153646.0,59970.0,3972.25,11887.5,32074.0,28.5,4073.5,12343.0,32738.0,28.65,3960.5,11848.25,31996.0,27.75,1,1,1,1
2022-05-27,4155.75,12677.75,33158.0,26.8678,1547507.0,615992.0,139299.0,57903.0,4047.5,12250.0,32531.0,28.25,4168.25,12720.25,33239.0,28.4,4041.25,12222.0,32485.0,26.75,1,1,1,1
2022-05-28,4155.75,12677.75,33158.0,26.8678,0.0,0.0,0.0,0.0,4047.5,12250.0,32531.0,28.25,4168.25,12720.25,33239.0,28.4,4041.25,12222.0,32485.0,26.75,0,0,0,0
2022-05-29,4155.75,12677.75,33158.0,26.8678,0.0,0.0,0.0,0.0,4047.5,12250.0,32531.0,28.25,4168.25,12720.25,33239.0,28.4,4041.25,12222.0,32485.0,26.75,0,0,0,0
2022-05-30,4155.75,12677.75,33158.0,26.8678,0.0,0.0,0.0,0.0,4047.5,12250.0,32531.0,28.25,4168.25,12720.25,33239.0,28.4,4041.25,12222.0,32485.0,26.75,0,0,0,0
2022-05-31,4131.25,12646.5,32971.0,26.4123,2222573.0,832388.0,219698.0,84418.0,4164.5,12705.25,33201.0,26.8,4202.25,12883.0,33434.0,28.25,4102.75,12480.0,32722.0,26.2,1,1,1,1
2022-06-01,4099.0,12551.0,32798.0,26.1937,1912031.0,682211.0,176385.0,80550.0,4138.5,12662.5,33067.0,26.45,4165.0,12823.5,33254.0,27.86,4071.5,12454.75,32563.0,25.75,1,1,1,1
2022-06-02,4175.25,12893.75,33223.0,25.6001,1513748.0,620008.0,162371.0,56755.0,4097.75,12549.75,32763.0,26.3,4179.0,12903.75,33263.0,26.55,4072.25,12442.5,32491.0,25.1,1,1,1,1
2022-06-03,4107.0,12551.0,32888.0,25.9627,1532766.0,652955.0,161880.0,59826.0,4177.75,12896.0,33250.0,25.5,4189.0,12945.25,33317.0,26.7,4096.75,12503.0,32824.0,25.43,1,1,1,1
2022-06-04,4107.0,12551.0,32888.0,25.9627,0.0,0.0,0.0,0.0,4177.75,12896.0,33250.0,25.5,4189.0,12945.25,33317.0,26.7,4096.75,12503.0,32824.0,25.43,0,0,0,0
2022-06-05,4107.0,12551.0,32888.0,25.9627,0.0,0.0,0.0,0.0,4177.75,12896.0,33250.0,25.5,4189.0,12945.25,33317.0,26.7,4096.75,12503.0,32824.0,25.43,0,0,0,0
2022-06-06,4120.5,12605.0,32912.0,25.5854,1457918.0,536936.0,140650.0,51072.0,4110.5,12549.75,32967.0,26.0,4168.25,12810.0,33229.0,26.16,4104.5,12527.0,32805.0,25.15,1,1,1,1
2022-06-07,4158.75,12711.5,33165.0,24.6805,1677883.0,577970.0,155264.0,54457.0,4122.0,12605.25,32903.0,25.6,4164.0,12740.25,33198.0,26.45,4076.0,12412.5,32603.0,24.64,1,1,1,1
2022-06-08,4114.0,12615.75,32889.0,26.256,1706628.0,583652.0,146008.0,53946.0,4150.75,12680.5,33107.0,26.35,4160.0,12783.0,33169.0,26.9,4105.25,12579.25,32806.0,26.15,1,1,1,1
2022-06-09,4016.25,12275.0,32263.0,27.4994,2024783.0,690155.0,179160.0,49998.0,4116.0,12625.0,32909.0,26.22,4144.25,12726.0,33110.0,27.55,4014.75,12255.25,32252.0,26.0,1,1,1,1
2022-06-10,3899.0,11840.0,31388.0,29.0858,2117225.0,617395.0,149283.0,103168.0,4025.25,12301.5,32319.0,27.4,4029.5,12338.75,32346.0,29.6,3895.25,11823.0,31368.0,27.25,1,1,1,1
2022-06-11,3899.0,11840.0,31388.0,29.0858,0.0,0.0,0.0,0.0,4025.25,12301.5,32319.0,27.4,4029.5,12338.75,32346.0,29.6,3895.25,11823.0,31368.0,27.25,0,0,0,0
2022-06-12,3899.0,11840.0,31388.0,29.0858,0.0,0.0,0.0,0.0,4025.25,12301.5,32319.0,27.4,4029.5,12338.75,32346.0,29.6,3895.25,11823.0,31368.0,27.25,0,0,0,0
2022-06-13,3750.5,11296.5,30527.0,32.8934,2155159.0,530220.0,112007.0,174759.0,3870.75,11768.0,31254.0,29.3,3876.5,11772.5,31293.0,33.25,3732.5,11254.5,30355.0,29.1,1,1,1,1
2022-06-14,3740.25,11346.5,30355.0,31.8115,2701717.0,690212.0,238138.0,112812.0,3760.75,11367.5,30532.0,32.75,3807.5,11534.5,30848.0,33.05,3708.5,11236.0,30118.0,31.45,1,1,1,1
2022-06-15,3793.5,11629.0,30651.0,30.0306,2247431.0,745920.0,242430.0,109622.0,3743.5,11364.75,30370.0,31.8,3843.0,11794.25,30999.0,31.95,3723.5,11358.5,30157.0,28.95,1,1,1,1
2022-06-16,3671.25,11157.25,29919.0,31.9206,2476785.0,831750.0,249825.0,106721.0,3799.0,11646.25,30709.0,29.7,3833.25,11774.25,30936.0,32.75,3642.0,11068.5,29729.0,29.15,1,1,1,1
2022-06-17,3675.75,11296.75,29869.0,30.902,2207570.0,731831.0,252835.0,72685.0,3680.5,11206.75,30020.0,32.0,3713.5,11396.0,30212.0,32.25,3639.0,11119.0,29639.0,30.55,1,1,1,1
2022-06-18,3675.75,11296.75,29869.0,30.902,0.0,0.0,0.0,0.0,3680.5,11206.75,30020.0,32.0,3713.5,11396.0,30212.0,32.25,3639.0,11119.0,29639.0,30.55,0,0,0,0
2022-06-19,3675.75,11296.75,29869.0,30.902,0.0,0.0,0.0,0.0,3680.5,11206.75,30020.0,32.0,3713.5,11396.0,30212.0,32.25,3639.0,11119.0,29639.0,30.55,0,0,0,0
2022-06-20,3675.75,11296.75,29869.0,30.902,0.0,0.0,0.0,0.0,3680.5,11206.75,30020.0,32.0,3713.5,11396.0,30212.0,32.25,3639.0,11119.0,29639.0,30.55,0,0,0,0
2022-06-21,3767.75,11577.25,30525.0,30.3228,1566039.0,657209.0,202383.0,85218.0,3684.0,11332.5,29930.0,30.25,3783.75,11678.25,30646.0,30.37,3661.5,11273.75,29741.0,29.15,1,1,1,1
2022-06-22,3762.75,11565.75,30471.0,29.0105,1660579.0,638960.0,210521.0,79027.0,3766.25,11579.75,30524.0,30.1,3805.5,11745.75,30770.0,31.4,3693.25,11320.5,30003.0,28.9,1,1,1,1
2022-06-23,3799.75,11737.5,30672.0,29.0073,1607695.0,630125.0,208468.0,69206.0,3761.25,11542.75,30478.0,29.15,3805.75,11766.75,30698.0,29.8,3735.0,11460.5,30247.0,28.65,1,1,1,1
