DATE,ES1_CLOSE,VIX_CLOSE,ES1_VOLUME,VIX_VOLUME,ES1_OPEN,VIX_OPEN,ES1_HIGH,VIX_HIGH,ES1_LOW,VIX_LOW,ES1_IS_TRADING,VIX_IS_TRADING
2004/3/26,1106,20.32,664861,216,1106.25,21.24,1114,21.25,1104.25,20.27,1,1
2004/3/27,1106,20.32,0,0,1106.25,21.24,1114,21.25,1104.25,20.27,0,0
2004/3/28,1106,20.32,0,0,1106.25,21.24,1114,21.25,1104.25,20.27,0,0
2004/3/29,1121.75,19.8,669922,52,1106,19.9,1123.5,19.99,1106,19.75,1,1
2004/3/30,1126,19.62,562087,93,1121.75,19.86,1126.75,20.04,1117.5,19.61,1,1
2004/3/31,1125,19.75,693645,562,1126,19.67,1129.75,19.81,1119.75,19.67,1,1
2004/4/1,1133.5,19.62,640574,84,1126.75,19.87,1134.75,19.99,1123.5,19.62,1,1
2004/4/2,1142,18.89,773288,89,1133.25,19.47,1145,19.47,1132,18.84,1,1
2004/4/3,1142,18.89,0,0,1133.25,19.47,1145,19.47,1132,18.84,0,0
2004/4/4,1142,18.89,0,0,1133.25,19.47,1145,19.47,1132,18.84,0,0
2004/4/5,1148.25,18.53,479671,84,1141.5,18.73,1149.5,18.8,1138,18.53,1,1
2004/4/6,1144.75,18.79,469548,304,1148.25,18.57,1148.5,18.89,1141.5,18.57,1,1
2004/4/7,1142.25,19.09,632450,226,1144.5,18.97,1146.5,19.25,1137,18.89,1,1
2004/4/8,1139.5,19.05,640090,98,1142.25,18.95,1154.5,19.15,1133,18.95,1,1
2004/4/9,1139.5,19.05,0,0,1142.25,18.95,1154.5,19.15,1133,18.95,0,0
2004/4/10,1139.5,19.05,0,0,1142.25,18.95,1154.5,19.15,1133,18.95,0,0
2004/4/11,1139.5,19.05,0,0,1142.25,18.95,1154.5,19.15,1133,18.95,0,0
2004/4/12,1144,18.67,384108,5,1139,18.78,1146.5,18.78,1136,18.67,1,1
2004/4/13,1128.25,19.3,828295,25,1144.25,19,1150,19.31,1126.25,18.89,1,1
2004/4/14,1129.75,19.46,972966,308,1128,19.38,1132,19.5,1120.75,19.38,1,1
2004/4/15,1125,19.35,880208,142,1129.25,19.33,1133.5,19.44,1119,19.26,1,1
2004/4/16,1134,19,681187,61,1124.5,19.18,1136,19.19,1122,19,1,1
2004/4/17,1134,19,0,0,1124.5,19.18,1136,19.19,1122,19,0,0
2004/4/18,1134,19,0,0,1124.5,19.18,1136,19.19,1122,19,0,0
2004/4/19,1133.75,18.87,507413,11,1132.5,19.1,1135.25,19.14,1128.25,18.85,1,1
2004/4/20,1114.5,19.15,774369,125,1133.5,18.87,1138.5,19.15,1113.25,18.65,1,1
2004/4/21,1122.5,18.68,861177,11,1115.5,19.09,1124.75,19.1,1114.25,18.64,1,1
2004/4/22,1136.75,17.35,848340,95,1124,18.55,1142,18.55,1118.25,17.14,1,1
2004/4/23,1139.5,17.34,515762,601,1140,17.23,1142.25,17.5,1133.25,17.23,1,1
2004/4/24,1139.5,17.34,0,0,1140,17.23,1142.25,17.5,1133.25,17.23,0,0
2004/4/25,1139.5,17.34,0,0,1140,17.23,1142.25,17.5,1133.25,17.23,0,0
2004/4/26,1138,17.13,554092,246,1138.25,17.3,1144.25,17.39,1131,17.13,1,1
2004/4/27,1138,16.8,743858,87,1137.75,17.12,1146.25,17.12,1134.75,16.5,1,1
2004/4/28,1123.5,17.37,837185,335,1138,17.05,1138.25,17.51,1120,17,1,1
2004/4/29,1114,17.77,1145900,274,1123,17.23,1128,17.91,1106.5,17.23,1,1
2004/4/30,1106,18.22,817525,131,1113.25,17.54,1119,18.28,1103.75,17.54,1,1
2004/5/1,1106,18.22,0,0,1113.25,17.54,1119,18.28,1103.75,17.54,0,0
2004/5/2,1106,18.22,0,0,1113.25,17.54,1119,18.28,1103.75,17.54,0,0
2004/5/3,1116,17.69,609878,42,1105.25,18,1118,18,1104.25,17.69,1,1
2004/5/4,1115.5,17.31,781489,36,1116,17.6,1127.5,17.68,1111.5,16.85,1,1
2004/5/5,1122,16.62,665017,237,1115.5,17.04,1124.5,17.05,1112.5,16.6,1,1
2004/5/6,1113,17.48,782294,41,1122,16.85,1122.25,17.65,1104.75,16.85,1,1
2004/5/7,1095.5,18.31,986625,136,1113,17.54,1117,18.31,1094.5,17.12,1,1
2004/5/8,1095.5,18.31,0,0,1113,17.54,1117,18.31,1094.5,17.12,0,0
2004/5/9,1095.5,18.31,0,0,1113,17.54,1117,18.31,1094.5,17.12,0,0
2004/5/10,1083.5,19.35,1231780,219,1095,18.79,1097,19.58,1078,18.6,1,1
2004/5/11,1092.25,19.97,755064,96,1083.5,20.2,1095.25,20.25,1081.25,19.87,1,1
2004/5/12,1098.75,19.61,1189880,175,1092.5,19.8,1099.75,20.79,1075.25,19.57,1,1
2004/5/13,1093.75,19.58,868300,122,1098.5,19.77,1102.5,19.77,1090.75,19.4,1,1
2004/5/14,1094.75,19.67,857016,37,1093.5,19.33,1102,19.82,1085.75,19.32,1,1
2004/5/15,1094.75,19.67,0,0,1093.5,19.33,1102,19.82,1085.75,19.32,0,0
2004/5/16,1094.75,19.67,0,0,1093.5,19.33,1102,19.82,1085.75,19.32,0,0
2004/5/17,1085.5,20.21,819851,119,1094,19.87,1094.75,20.29,1078.25,19.82,1,1
2004/5/18,1090.25,20.07,644992,42,1085.25,19.96,1094.5,20.09,1084.5,19.96,1,1
2004/5/19,1086.75,19.17,1029552,399,1090.75,19.6,1105.75,19.64,1085.75,18.74,1,1
2004/5/20,1090.5,19.34,659182,84,1087,19.06,1092.75,19.34,1084,18.99,1,1
2004/5/21,1092.5,19.17,674780,84,1090,19.32,1099.75,19.33,1088.75,19.1,1,1
2004/5/22,1092.5,19.17,0,0,1090,19.32,1099.75,19.33,1088.75,19.1,0,0
2004/5/23,1092.5,19.17,0,0,1090,19.32,1099.75,19.33,1088.75,19.1,0,0
2004/5/24,1096.5,18.77,725025,817,1092.75,18.61,1101.75,19,1091,18.6,1,1
2004/5/25,1112.5,17.5,914619,398,1096.5,18.9,1113.75,18.9,1090,17.44,1,1
2004/5/26,1116,17.61,605407,246,1112,17.6,1117,17.75,1108.75,17.53,1,1
2004/5/27,1122.75,17.35,706751,324,1116,17.46,1124.5,17.6,1114.5,17.29,1,1
2004/5/28,1120.25,17.58,706751,42,1122.25,17.55,1123.75,17.65,1117.5,17.55,1,1
2004/5/29,1120.25,17.58,0,0,1122.25,17.55,1123.75,17.65,1117.5,17.55,0,0
2004/5/30,1120.25,17.58,0,0,1122.25,17.55,1123.75,17.65,1117.5,17.55,0,0
2004/5/31,1121.5,17.58,359808,0,1121.5,17.55,1123,17.65,1118.75,17.55,1,0
2004/6/1,1121.25,17.6,621570,64,1121.25,17.6,1122.75,17.62,1112.5,17.55,1,1
2004/6/2,1125.5,17.65,570289,110,1121.5,17.64,1128.5,17.65,1118.25,17.6,1,1
2004/6/3,1115,17.6,613526,289,1125.25,17.6,1126,17.7,1114.5,17.43,1,1
2004/6/4,1123.25,17.28,623184,152,1116,17.46,1129.5,17.46,1115.5,17.02,1,1
2004/6/5,1123.25,17.28,0,0,1116,17.46,1129.5,17.46,1115.5,17.02,0,0
2004/6/6,1123.25,17.28,0,0,1116,17.46,1129.5,17.46,1115.5,17.02,0,0
2004/6/7,1140.25,16.58,578498,339,1122.5,17.1,1142,17.16,1122.5,16.56,1,1
2004/6/8,1142,17.73,518265,145,1140.25,18.28,1142.75,18.3,1135.5,17.69,1,1
2004/6/9,1131.5,17.86,615183,128,1141.75,17.55,1143,17.95,1130.5,17.2,1,1
2004/6/10,1136.5,17.57,615183,633,1131.75,17.74,1137,17.87,1128.5,17.4,1,1
2004/6/11,1136.5,17.57,615183,0,1136.25,17.74,1137,17.87,1132.75,17.4,1,0
2004/6/12,1136.5,17.57,0,0,1136.25,17.74,1137,17.87,1132.75,17.4,0,0
2004/6/13,1136.5,17.57,0,0,1136.25,17.74,1137,17.87,1132.75,17.4,0,0
2004/6/14,1125.5,17.93,109840,161,1134.75,17.94,1135,18.02,1122,17.9,1,1
2004/6/15,1133.75,17.23,745580,238,1125.5,17.5,1137.75,17.5,1125.25,17.05,1,1
2004/6/16,1133,17.1,506959,186,1133.25,17.17,1137,17.23,1130,17,1,1
2004/6/17,1131.5,17.14,569216,488,1133,17.25,1134,17.34,1126.25,17.11,1,1
2004/6/18,1134,16.94,522615,50,1131.25,17.15,1139.5,17.15,1126.5,16.84,1,1
2004/6/19,1134,16.94,0,0,1131.25,17.15,1139.5,17.15,1126.5,16.84,0,0
2004/6/20,1134,16.94,0,0,1131.25,17.15,1139.5,17.15,1126.5,16.84,0,0
2004/6/21,1129.25,17.26,407234,3,1134.75,17,1139.25,17.26,1128.25,17,1,1
2004/6/22,1135,16.77,585314,127,1129.25,17.26,1135.75,17.36,1123.75,16.77,1,1
2004/6/23,1144,15.79,553760,215,1134.75,16.82,1145.25,16.88,1131,15.47,1,1
2004/6/24,1141.25,16.02,477243,41,1144,15.96,1146.25,16.06,1139.5,15.9,1,1
2004/6/25,1135.25,16.05,476509,16,1141.5,16.02,1146,16.1,1133.5,15.97,1,1
