t,sigma_next,omega,alpha,beta,shape,_fallback,vxreg1_p,vxreg2_p,_conv,_llh,ab
2005-06-01,0.006799721764232663,0.0005101733298795729,4.198016400540995e-09,0.9989995947005877,99.99874627632101,0,,,0,-256.6226603883738,0.9989995988986041
2005-06-02,0.00683062793768597,0.0005565708105402449,3.8875703908332337e-07,0.9989902213634994,97.187136872497,0,,,0,-254.68341577985856,0.9989906101205385
2005-06-03,0.006803502840553716,0.0005345975567802963,1.6333597988930636e-11,0.998999768642599,99.98636361603428,0,,,0,-254.803315704689,0.9989997686589326
2005-06-06,0.0068017089453934095,0.0005434015256400281,1.6400964037126986e-06,0.9989927322616152,95.75509175275735,0,,,0,-254.17776751006926,0.9989943723580189
2005-06-07,0.00676842543708695,0.0005233805089423669,2.58992545967628e-10,0.9989996838755055,99.99779144774435,0,,,0,-253.96728556780454,0.998999684134498
2005-06-08,0.006733484773803037,0.0005022203471601087,1.556132930194369e-09,0.9989994447332208,99.9032460796043,0,,,0,-253.9931813599721,0.9989994462893537
2005-06-09,0.006710811009933888,0.0005100214700593444,7.604662226496089e-07,0.9989778292790853,63.49099080041485,0,,,0,-252.9835213061509,0.998978589745308
2005-06-10,0.006696715480213884,0.0004973658574576291,4.034677590431032e-09,0.9989991874059546,93.97131378812314,0,,,0,-252.54497066293766,0.9989991914406322
2005-06-13,0.006673417494759599,0.0005529325834357948,5.323485912818671e-06,0.9988352960268084,88.52890122110176,0,,,0,-252.58804178768227,0.9988406195127213
2005-06-14,0.006632335870154286,0.00047221121197511156,1.1095302371306578e-07,0.9989656898979506,99.60888458582386,0,,,0,-252.67109845206184,0.9989658008509743
2005-06-15,0.006624971109098788,0.000450971084301452,2.9874879506428994e-09,0.9989936400691735,99.99599494459312,0,,,0,-253.07063649648944,0.9989936430566614
2005-06-16,0.0065897100172679106,0.0004940753339593573,1.8791231748146042e-07,0.9988511561754838,98.04113349575519,0,,,0,-252.88892387681665,0.9988513440878013
2005-06-17,0.00656590953029324,0.0005338045517138905,1.2599751788781066e-09,0.9987312046812621,98.0210843424136,0,,,0,-252.71115154033996,0.9987312059412372
2005-06-20,0.006448133896156053,0.40630317439827973,0.06235275300284039,1.277040320563572e-20,99.73918585217602,0,,,0,-251.46205501484158,0.06235275300284039
2005-06-21,0.006510879873666343,0.0005712011426796783,3.1346301309328874e-07,0.9985820547066172,80.58554739671479,0,,,0,-252.08606042411367,0.9985823681696303
2005-06-22,0.006475031146518298,0.0003762057735496729,3.7559230050892996e-10,0.9989979260177201,97.0632857042848,0,,,0,-251.7505444060653,0.9989979263933124
2005-06-23,0.006488915477995798,0.005318989691906166,3.0642376384114417e-07,0.98735412803837,99.30051239944444,0,,,0,-251.63283994183615,0.9873544344621338
2005-06-24,0.006543526564043615,0.005810625538377688,6.145805594826139e-08,0.9864182554200823,87.62796016279307,0,,,0,-253.77005973510293,0.9864183168781383
2005-06-27,0.006548378012156001,0.005986932032494855,7.703263698137441e-08,0.9860274696862055,88.94381328265445,0,,,0,-254.11290160593126,0.9860275467188424
2005-06-28,0.006526724202691191,0.004671861868093904,2.779582481092834e-07,0.9890192912938457,70.85442811386777,0,,,0,-252.29943802423782,0.9890195692520938
2005-06-29,0.006557572704088652,0.006074792247734215,4.130638064430805e-08,0.9858668329613042,97.90984781972612,0,,,0,-253.18561784405958,0.9858668742676848
2005-06-30,0.006509909225946701,0.0004992884131500144,7.181297329234462e-06,0.9987095256974523,92.97024566930307,0,,,0,-253.27451348346796,0.9987167069947815
2005-07-01,0.006531505980946849,0.005178498401517453,3.4263167044093556e-07,0.9878480968908225,98.61827729423756,0,,,0,-252.93287012368282,0.987848439522493
2005-07-05,0.006490031651665134,0.0004307666041210545,1.8514844115001412e-08,0.9988558037338212,98.16819068201713,0,,,0,-253.00543838361298,0.9988558222486653
2005-07-06,0.006520634007469273,0.005611378931500805,5.1082686983606826e-08,0.9867895159804086,99.97846721343309,0,,,0,-253.16170154577546,0.9867895670630956
2005-07-07,0.006539314120846597,0.00712592124154972,1.8566477879876271e-07,0.9833290768772307,97.95768865043352,0,,,0,-254.0041990502934,0.9833292625420095
2005-07-08,0.006492573996018063,0.0005302299504936352,5.601853472542354e-07,0.9985962762875734,99.36128519215677,0,,,0,-254.1373184068906,0.9985968364729206
2005-07-11,0.006552745695801357,0.009051734348787335,7.580791184866454e-09,0.9789156599844098,99.99855463275121,0,,,0,-255.59696346821846,0.978915667565201
2005-07-12,0.00654555208884816,0.009541871089346256,2.9439898569230143e-07,0.9777254705721734,99.99345265469381,0,,,0,-255.87538409970162,0.9777257649711592
2005-07-13,0.006526111691715187,0.009448660035197901,8.663600837641879e-08,0.9778114452196245,99.99940473576034,0,,,0,-255.33677413897382,0.9778115318556329
2005-07-14,0.0065061994242993524,0.009687983471651142,6.553835981870178e-08,0.9771101159662431,95.03924441258948,0,,,0,-255.35634748374656,0.9771101815046029
2005-07-15,0.006308995985431874,0.04671344634878439,0.03947071041927559,0.8508086342934111,99.99999910680506,0,,,0,-254.28443078555077,0.8902793447126868
2005-07-18,0.006414928911065254,0.0003183475418600038,3.500326706184927e-09,0.9989965187365659,99.70877333031858,0,,,0,-253.6826020014846,0.9989965222368926
2005-07-19,0.006443683508033374,0.0003851923072495358,1.0785195297149698e-09,0.9989975038027611,99.99735046858004,0,,,0,-249.5809083568691,0.9989975048812806
2005-07-20,0.006429504455424538,0.00037371259710978144,9.40326515149786e-12,0.99899832814043,99.98641711017801,0,,,0,-249.8309189328786,0.9989983281498332
2005-07-21,0.006402565639009783,0.0003885772477820759,2.214798914801795e-06,0.9989398048878186,95.1352040424493,0,,,0,-249.22588635088485,0.9989420196867335
2005-07-22,0.006387739553183677,0.00035322608295609484,1.3119922055607874e-09,0.9989991119245155,99.99897283213505,0,,,0,-249.48181470300977,0.9989991132365077
2005-07-25,0.006385899081145755,0.0003653806623157255,5.759467492680779e-07,0.9989813665322748,99.83068008312594,0,,,0,-248.95819392977495,0.998981942479024
2005-07-26,0.006351558914551968,0.00033875554365363843,6.437149340541567e-09,0.9989993705335206,99.99630838638757,0,,,0,-248.92107887708485,0.99899937697067
2005-07-27,0.0063127358665236045,0.00031960233941932895,7.098090534953577e-08,0.9989982984586535,99.85205202109937,0,,,0,-248.6812722044342,0.9989983694395589
2005-07-28,0.005864924579166987,0.0468357462993067,0.04525818460179229,0.8403487597584302,99.99998492497193,0,,,0,-247.53725069751434,0.8856069443602225
2005-07-29,0.005905916872112642,0.046601656674298025,0.046291325910241723,0.8393179005671938,99.99999875004065,0,,,0,-247.65134405405922,0.8856092264774356
2005-08-01,0.0062997580685483275,0.00030566481422364557,2.2250263783019734e-10,0.9989997219444842,99.9928642204798,0,,,0,-249.18815259033033,0.9989997221669868
2005-08-02,0.005957260446273704,0.04808459188910504,0.04801974531046935,0.8326117369422051,99.99992686928144,0,,,0,-247.6376516957908,0.8806314822526745
2005-08-03,0.006295280570876956,0.0003382160174704577,1.3404888477677875e-08,0.998999340381226,99.98301189888333,0,,,0,-246.24846070167723,0.9989993537861145
2005-08-04,0.0062921094868507044,0.00036286615045205293,4.089806524972874e-09,0.9989994208262356,99.99829269435429,0,,,0,-243.9262896792068,0.9989994249160421
2005-08-05,0.006303053841253943,0.0003605983603972049,2.4536177052165576e-09,0.9989994398952344,99.99835838968073,0,,,0,-244.68960470934937,0.9989994423488522
2005-08-08,0.006321367119282736,0.000382359829106254,2.1154759806255205e-10,0.9989990030376072,99.99806019734609,0,,,0,-243.69658284901098,0.9989990032491548
2005-08-09,0.006285535189170756,0.0003613674810379542,2.5712672851509838e-09,0.9989994424380635,99.99984465149471,0,,,0,-243.73761209681498,0.9989994450093308
2005-08-10,0.006294452333844675,0.00037945515257990157,6.758653880460092e-10,0.9989991496061644,99.99999321547676,0,,,0,-242.57688397756007,0.9989991502820298
2005-08-11,0.005924325132640659,0.04000071762176356,0.04053152386300434,0.8586590454652653,99.99895206553009,0,,,0,-241.25963381606348,0.8991905693282696
2005-08-12,0.005878087836989169,0.03827925882184104,0.040893844648555715,0.8625335276697518,99.99962232828805,0,,,0,-239.9810593994971,0.9034273723183075
2005-08-15,0.005930900395195549,0.03862626107617211,0.04094933560543052,0.861660549597963,99.99994261441516,0,,,0,-240.1264976080835,0.9026098852033936
2005-08-16,0.005934770980508397,0.037969432777168084,0.04267315211405321,0.8619638425639198,99.99954552357259,0,,,0,-238.9359094584327,0.904636994677973
2005-08-17,0.006488697788021359,0.04250642701387899,0.040576288857518655,0.8548092966577425,99.9997491039291,0,,,0,-241.2046971333825,0.8953855855152612
2005-08-18,0.006327892639113059,0.04092187753175309,0.03938867553312511,0.8595636354738483,99.99999831459697,0,,,0,-240.6103966965289,0.8989523110069734
2005-08-19,0.006270202325388274,0.00037471618955353897,2.1558970172627034e-09,0.9989993072328471,99.45683865522395,0,,,0,-241.73597065621402,0.9989993093887441
2005-08-22,0.006240660732741107,0.0003575141450105057,1.8997310350367617e-09,0.9989995501754664,99.99675722449626,0,,,0,-241.775753083625,0.9989995520751974
2005-08-23,0.0062063101770451455,0.0003427058297014499,1.4684673696218832e-10,0.9989997512646995,99.95099396405735,0,,,0,-241.35284599584492,0.9989997514115463
2005-08-24,0.005901185601070091,0.03775104602768054,0.038333653338561285,0.8666016134484754,99.9999150791108,0,,,0,-240.20733821725247,0.9049352667870367
2005-08-25,0.0062062549678457545,0.00033135556961710406,2.761802859331828e-13,0.9989997842189281,99.83265051801952,0,,,0,-242.38230172613774,0.9989997842192043
2005-08-26,0.006199958468152644,0.0004259146284138303,1.0319888683969059e-05,0.9987602276144997,93.77486480088827,0,,,0,-241.60119380453972,0.9987705475031836
2005-08-29,0.006181402061044229,0.0003236272606567771,1.7401187513308388e-10,0.9989998156719452,99.99763513514154,0,,,0,-241.81535036087945,0.9989998158459571
2005-08-30,0.006183984224200622,0.0003190812488920702,6.84139779638945e-13,0.99899983969134,99.92426425138989,0,,,0,-242.36053511674865,0.9989998396920241
