variable,n,jb_stat,jb_pvalue,normal_at_5pct
sma_vol_20,5072,61805.063770586254,0.0,No
sma_vol_10,5072,77281.46659692614,0.0,No
ewma_vol,5072,43737.77262117115,0.0,No
gk_vol_daily,5072,85075.33025354621,0.0,No
gk_vol_20,5072,42418.62417199422,0.0,No
gk_vol_10,5072,55698.331952170876,0.0,No
gk_vol_5,5072,66031.46643677833,0.0,No
rs_vol_daily,5072,104756.43307253314,0.0,No
rs_vol_20,5072,37896.04942310388,0.0,No
rs_vol_10,5072,51551.11004355784,0.0,No
rs_vol_5,5072,64657.23682283366,0.0,No
yz_vol_20,5072,41007.89070717678,0.0,No
yz_vol_10,5072,53945.12530892483,0.0,No
yz_vol_5,5072,64955.223074103356,0.0,No
garch_vol,5072,114916.81316575616,0.0,No
sma_vol_20_predict,5072,61799.78309004073,0.0,No
sma_vol_10_predict,5072,77266.49968563883,0.0,No
sma_vol_5_predict,5072,121078.1374895973,0.0,No
