variable,acf_lag1,acf_lag5,acf_lag10,lb_stat_5,lb_pvalue_5,lb_stat_10,lb_pvalue_10,lb_stat_20,lb_pvalue_20
sma_vol_20,0.9932488888627077,0.9491208911968436,0.8624908981397797,24023.595522973166,0.0,44574.57141237574,0.0,73087.58740106829,0.0
sma_vol_10,0.9797304735579717,0.8778597572016046,0.7117797326001327,22049.700624160974,0.0,37526.88038629642,0.0,56770.64399990666,0.0
sma_vol_5,0.9199377896281333,0.6557159056495288,0.5905167928733388,15838.239147243208,0.0,25642.975686266956,0.0,38185.024232712305,0.0
ewma_vol,0.9951336231998977,0.9658460556396877,0.9144948208701205,24452.524298296525,0.0,46703.163714883114,0.0,83189.35550695949,0.0
gk_vol_daily,0.7579739589131499,0.6137854934562661,0.5348028575212422,11961.017933614223,0.0,20142.27574309675,0.0,31280.980915706426,0.0
gk_vol_20,0.9967691745477055,0.9580385587810436,0.8771552887261076,24354.860948803253,0.0,45468.62922785592,0.0,75629.11711165916,0.0
gk_vol_10,0.9914942421008361,0.9040215191213092,0.7519094856992922,23013.19664949226,0.0,39846.843363087915,0.0,61512.82211023028,0.0
gk_vol_5,0.9770985662970353,0.7969004721449726,0.6737877659132129,20274.7697887197,0.0,33338.40770912701,0.0,51046.295868242305,0.0
rs_vol_daily,0.6954559007552257,0.5512072002349294,0.4768175951423486,9859.934548259163,0.0,16379.782234195474,0.0,25597.330831967713,0.0
rs_vol_20,0.9959097578015087,0.9534602768517428,0.8697214251306229,24220.399658655806,0.0,45033.91604809109,0.0,74428.1306046314,0.0
rs_vol_10,0.9891056001775974,0.8908359965327134,0.7288386527763757,22643.585379227276,0.0,38686.358246634336,0.0,59183.58838749841,0.0
rs_vol_5,0.971029048353356,0.7609575266799978,0.6398832183496191,19386.190919369354,0.0,31125.724948812836,0.0,47417.63914119935,0.0
yz_vol_20,0.9964923057801065,0.9565742996894707,0.873941820094553,24312.83538467001,0.0,45309.9902184186,0.0,75089.79364537116,0.0
yz_vol_10,0.9906605477339396,0.8991386047256179,0.7419556596476948,22881.9909776852,0.0,39385.9672891022,0.0,60490.1640459236,0.0
yz_vol_5,0.9744823161471444,0.7826765630638016,0.657861633445617,19913.549156812976,0.0,32408.352404142363,0.0,49370.0983962312,0.0
garch_vol,0.9688973248051055,0.8740856703909731,0.7790817892169186,21582.483322616237,0.0,38543.353660734385,0.0,62137.17224392228,0.0
sma_vol_20_predict,0.9932490357830325,0.9491255837250951,0.8624966801841695,24023.833688399227,0.0,44576.47755268197,0.0,73094.02138800792,0.0
sma_vol_10_predict,0.9797360590521086,0.8778712332996411,0.711802373294187,22050.640727955022,0.0,37528.92098738299,0.0,56775.155503813294,0.0
sma_vol_5_predict,0.919934587578226,0.6557884926046192,0.5905414608609107,15839.208151163446,0.0,25647.63540972188,0.0,38191.35427155309,0.0
