method,n,viol_count_95,viol_rate_95,mean_var_used,mean_sigma_used,mean_VaR_ret_95,mean_ES_ret_95,kupiec_lr_uc,kupiec_pvalue,cc_lr_ind,cc_pvalue_ind,cc_lr_cc,cc_pvalue_cc,n00,n01,n10,n11
ewma_vol,5030,285,0.05666003976143141,0.0001500190326670248,0.010290777465854403,-0.01647510297981922,-0.022538518759788944,4.511733501112303,0.03366310713838461,0.9658879465055179,0.3257078587167842,5.477621447617821,0.06464718455092089,4479,265,265,20
garch_vol,5030,299,0.05944333996023857,0.0001576818283584299,0.010479550663577376,-0.016776422095175506,-0.022953180916912286,8.92808846636808,0.0028081809268234448,0.6283675049744488,0.42795475678124106,9.55645597134253,0.008410889987619852,4452,278,278,21
gk_vol_10,5030,293,0.058250497017892644,0.00013704576221624149,0.009809218715840451,-0.01570422096914356,-0.021483325127447574,6.861021390443057,0.008809617779886314,2.8561876923122327,0.0910229912600492,9.71720908275529,0.007761306920498479,4467,269,269,24
gk_vol_20,5030,303,0.06023856858846918,0.00013702434328408597,0.009964639548048437,-0.01595279205902422,-0.021824197065064218,10.44867144807995,0.0012273770232730241,1.883683465233844,0.16991608781890488,12.332354913313793,0.0020992451386542266,4447,279,279,24
gk_vol_5,5030,284,0.05646123260437376,0.00013705169988634778,0.009669593088459948,-0.015481043740528904,-0.021176943930456257,4.251294220654472,0.03922043023371713,0.00010215975180472014,0.9919355903332373,4.251396380406277,0.11934961044153869,4477,268,268,16
gk_vol_daily,5030,222,0.04413518886679921,0.0001370523745659033,0.00925936314039842,-0.014824320549691346,-0.02027844823478244,3.785814400332356,0.05168875096118586,0.004441749854777299,0.9468631628425942,3.7902561501871332,0.150299084244375,4595,212,212,10
rs_vol_10,5030,300,0.05964214711729622,0.0001359450200913561,0.009784740686350999,-0.015665008614075545,-0.021429711346804024,9.297621966225961,0.002294515062385427,2.878921811888631,0.08974609514524345,12.176543778114592,0.002269327177370828,4454,275,275,25
rs_vol_20,5030,310,0.061630218687872766,0.00013593278249535626,0.009951716143101016,-0.015932081967166455,-0.021795869543548393,13.37928812700875,0.0002544182758070779,3.330521640637926,0.06800530275965688,16.709809767646675,0.00023523985992623953,4436,283,283,27
rs_vol_5,5030,302,0.06003976143141153,0.00013594676524477232,0.00962608904417729,-0.015411409038968234,-0.021081598412038906,10.057935442826874,0.0015169312250403744,0.08200656708595488,0.7745963671873771,10.13994200991283,0.006282602302487783,4442,285,285,17
rs_vol_daily,5030,310,0.061630218687872766,0.00013594809129422025,0.009142715321101136,-0.014637663403877201,-0.020022749252614047,13.37928812700875,0.0002544182758070779,0.000709457515313261,0.978750343775814,13.379997584524062,0.0012432842745219164,4428,291,291,19
sma_vol_10,5030,366,0.07276341948310139,0.0001386553799134629,0.009345672789319177,-0.014962395933802186,-0.02046779443865165,48.4051026818197,3.4666713943920513e-12,0.0800116277973757,0.7772816537833265,48.485114309617074,2.962041723009179e-11,4325,338,338,28
sma_vol_10_predict,5030,417,0.08290258449304175,0.0001386492507667629,0.009345170034824823,-0.014961540459833283,-0.02046676482327421,96.50577692474644,0.0,0.39237648818061643,0.5310528565277078,96.89815341292706,0.0,4233,379,379,38
sma_vol_20,5030,319,0.06341948310139164,0.00014451168436028372,0.00981960913576395,-0.015720717709210578,-0.02150659175915301,17.6413074119896,2.6673156064305203e-05,1.7370687758639178,0.18751066119438564,19.37837618785352,6.194968132766654e-05,4417,293,293,26
sma_vol_20_predict,5030,356,0.07077534791252485,0.00014450709904930366,0.009819228918937198,-0.015720072778016334,-0.021505838400442973,40.713403492047746,1.7627388437801983e-10,2.581818308173297,0.10809742421031943,43.29522180022104,3.967911554880743e-10,4350,323,323,33
sma_vol_5,5030,458,0.09105367793240557,0.00012529950627054778,0.00848524153303893,-0.01358547441015841,-0.018582365203031758,145.12956420036426,0.0,7.02026508989411,0.008059229838023763,152.14982929025837,0.0,4171,400,400,58
sma_vol_5_predict,5030,541,0.10755467196819085,0.00012530166644947725,0.008485490263666852,-0.01358574143720932,-0.01858308894625644,267.6907037694514,0.0,0.0008521088320776471,0.976712336305013,267.69155587828345,0.0,4005,483,483,58
yz_vol_10,5030,293,0.058250497017892644,0.000139697788514966,0.009903361349192471,-0.01585484616476596,-0.02168961632055185,6.861021390443057,0.008809617779886314,2.8561876923122327,0.0910229912600492,9.71720908275529,0.007761306920498479,4467,269,269,24
yz_vol_20,5030,299,0.05944333996023857,0.00014069012079513852,0.010102771485852657,-0.01617386430533505,-0.022126789608712064,8.92808846636808,0.0028081809268234448,2.2472113703197465,0.13385542961020003,11.175299836687827,0.0037438158073046512,4455,275,275,24
yz_vol_5,5030,295,0.05864811133200795,0.00013778818356435468,0.009685078542100352,-0.015505764825456224,-0.021210930504343587,7.521295987067788,0.006097379728263186,0.11354987377217185,0.7361382929536435,7.63484586083996,0.02198438323990881,4455,279,279,16
