DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,rs_vol_daily,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.003471060639952673,0.003471060639952673,1.204826196622866e-05,-0.005626986771544479,-0.007477148410240074,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.004225294013752387,0.004225294013752387,1.7853109502651758e-05,-0.0068496854383952605,-0.009101872221441897,1229.0524787302106,1226.287537732457,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.0032694232954048807,0.0032694232954048807,1.068912868453611e-05,-0.0053001095463643235,-0.0070427934661411685,1238.4188195096244,1236.262526361326,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.0040069383749016755,0.0040069383749016755,1.605555514025968e-05,-0.0064957059437236115,-0.008631503741241038,1239.671249907559,1237.026388232638,1
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.006193622615604376,0.006193622615604376,3.836096110452599e-05,-0.010040571497022227,-0.013341926372834748,1225.631967449015,1221.5923930805184,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.005803280184533426,0.005803280184533426,3.3678060900198314e-05,-0.009407781717803994,-0.012501074370902799,1218.2350305210775,1214.4724953627385,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.004443335235833485,0.004443335235833485,1.9743228017999414e-05,-0.0072031552274792274,-0.009571563404098017,1218.441689645689,1215.5593370263,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.010250318254223604,0.010250318254223604,0.00010506902431286962,-0.016616939662979655,-0.022080614195224155,1213.9100044857619,1207.2956810192325,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.005357205177573563,0.005357205177573563,2.869964731462099e-05,-0.008684643051083962,-0.011540166632574365,1223.0817138172408,1219.5941569116378,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.0053339000741423545,0.0053339000741423545,2.8450490000935816e-05,-0.008646862809734254,-0.011489964191549447,1227.83702747797,1224.351120070701,0
2005-08-15,0.005266368258391552,1237.5,1231.0,99.99994261441516,10.0,0.0,0.00493709417367581,0.00493709417367581,2.4374898879743632e-05,-0.008003595006488244,-0.01063518897566968,1221.1868969817124,1217.9774537363091,0
2005-08-16,-0.01301360374505034,1221.5,1237.5,99.9995455235726,10.0,0.0,0.006112125466384898,0.006112125466384898,3.735807771683081e-05,-0.009908455285827818,-0.013166370154452512,1225.2988337619959,1221.313410083614,1
