DATE,open,high,low,close,Volume
2020/10/22,1.005,1.009,1,1.00001,46004.67067
2020/10/23,1.00154,1.006,1.00051,1.00339,67251.76761
2020/10/24,1.00557,1.006,1.0006,1.00285,20401.98751
2020/10/25,1.0006,1.0049,1,1.00002,53945.96672
2020/10/26,1.00101,1.00325,0.995,1,84868.68201
2020/10/27,0.99989,1.00195,0.998,0.99801,62382.84091
2020/10/28,0.9991,1.00101,0.9991,1.00024,75776.707
2020/10/29,1.0002,1.002,0.99904,1.002,110323.35
2020/10/30,1.0025,1.00467,1,1.00022,109457.9609
2020/10/31,1.00099,1.00101,0.999,1.00001,94442.90142
2020/11/1,1.00001,1.0025,0.998,1.00087,86350.97175
2020/11/2,1.0001,1.005,1,1.0003,262897.0584
2020/11/3,1.0003,1.08822,1,1,60293.68068
2020/11/4,1.0008,1.00388,1,1.00002,85910.07249
2020/11/5,1.00192,1.0025,1,1.0012,124331.2641
2020/11/6,1.00118,1.0015,0.991,1.00005,963059.432
2020/11/7,1.00001,1.002,0.96,0.99943,364137.6052
2020/11/8,1.00001,1.00096,0.9975,1.00001,31925.02554
2020/11/9,1,1.00195,0.9989,0.9997,127593.6396
2020/11/10,0.99945,1.00109,0.99939,1.0005,222336.5349
2020/11/11,1.001,1.00111,0.9996,1.00009,111598.9863
2020/11/12,1.00013,1.001,1,1.00029,168590.8729
2020/11/13,1.00029,1.00106,1.00004,1.00014,103634.2048
2020/11/14,1.00005,1.00085,1,1.00065,38181.72319
2020/11/15,1.00007,1.00077,0.9999,0.99995,85743.94322
2020/11/16,0.9999,1,0.99932,1,124051.2006
2020/11/17,1,1.00101,0.98,1.00001,522294.5743
2020/11/18,1.00074,1.003,1,1,736681.3838
2020/11/19,1,1.02,0.99974,0.99974,350018.9985
2020/11/20,1.00001,1.00252,0.96,0.99995,506782.2049
2020/11/21,1,1.0008,0.998,1,268399.1858
2020/11/22,1,1.001,0.99,1.00001,198144.631
2020/11/23,0.99966,1.04,0.99,1.00099,610312.9099
2020/11/24,1.00002,1.03,0.965,0.99947,906957.0839
2020/11/25,0.99994,1.001,0.96501,0.9993,592281.225
2020/11/26,1.00001,1.02,0.999,1.00001,492868.3296
2020/11/27,1.001,1.04,0.9992,1.00099,599333.0197
2020/11/28,1.00002,1.00099,0.97529,0.9994,457237.4061
2020/11/29,1,1.00001,0.9975,0.99943,77323.40002
2020/11/30,1,1.00104,0.99944,1.00001,551994.6497
2020/12/1,1,1.00999,0.97655,1,684768.2434
2020/12/2,1.00001,1.04,0.99924,1,875336.7026
2020/12/3,1.00001,1.00096,0.99929,1.00096,279428.4763
2020/12/4,1.00095,1.00095,0.99948,1,539918.3814
2020/12/5,1,1.00101,0.999,1,230748.6939
2020/12/6,1.00001,1.00071,1,1,159235.2661
2020/12/7,1.00001,1.0245,0.99999,1.00003,305316.9677
2020/12/8,1.00097,1.005,0.9993,0.99997,429613.7156
2020/12/9,0.99997,1.016,0.99943,1.00016,871797.2284
2020/12/10,1.00089,1.00089,0.9993,1.00001,562014.549
2020/12/11,1,1.00398,0.98712,1.00002,1710222.892
2020/12/12,1.00002,1.00101,0.98961,1,1787795.24
2020/12/13,0.9995,1,0.99901,0.99953,997903.1935
2020/12/14,1,1.00079,0.99949,1.00001,1121518.565
2020/12/15,1.00001,1.00252,0.99998,1.00086,789355.319
2020/12/16,1.00083,1.00252,0.9993,1.00001,1175430.831
2020/12/17,1.00001,1.0007,0.9975,1,1284432.086
2020/12/18,1,1.00001,0.99921,1.00001,515271.0155
2020/12/19,1,1.00001,0.99935,0.99956,684512.322
2020/12/20,0.99989,0.9999,0.99947,0.99988,357717.5216
2020/12/21,0.99988,1.00101,0.996,1,3372375.221
2020/12/22,1.00001,1.004,0.99922,1,3204962.107
2020/12/23,1,1.00554,0.99931,1.00001,2807413.482
2020/12/24,1.00001,1.00098,0.99958,1.00001,598928.0658
2020/12/25,1.00001,1.00094,0.99956,1.00031,409893.8677
2020/12/26,1.00029,1.00073,1.00001,1.00039,291521.0724
2020/12/27,1.00039,1.00101,0.9999,1.00019,2053924.579
2020/12/28,1.00026,1.00101,0.99999,1,1359603.988
2020/12/29,1,1.00503,1,1.0004,1752722.126
2020/12/30,1.00018,1.00101,1,1,3779287.879
2020/12/31,1,1.00554,0.999,1.00006,2727741.087
2021/1/1,1.00006,1.00075,1,1.0001,515008.4937
2021/1/2,1.0001,1.00202,1,1.00011,1167712.045
2021/1/3,1.00068,1.015,0.98716,0.99928,3064791.294
2021/1/4,0.99999,1.00257,0.995,0.99946,2249564.299
2021/1/5,0.99997,1.10002,0.99745,1.00007,2004680.104
2021/1/6,1.00073,1.00108,0.9975,1.00105,1756735.391
2021/1/7,1.00077,1.01499,0.988,0.989,3902555.366
2021/1/8,1.00005,1.0049,0.99595,1.00068,3277030.394
2021/1/9,1.00068,1.001,0.9995,1.00007,1372326.372
2021/1/10,1.00095,1.00257,0.9986,1.0009,2541886.512
2021/1/11,1.0009,1.00101,0.99851,0.99974,2615804.474
2021/1/12,0.99974,1.00106,0.99295,0.99999,1756217.814
2021/1/13,1,1.00998,0.99949,1.00066,2234159.734
2021/1/14,1.00001,1.00094,0.9995,1,2573182.958
2021/1/15,1,1.00085,0.99951,0.99998,1285256.145
2021/1/16,0.99997,1.0003,0.9995,1,640681.0529
2021/1/17,1.00025,1.00027,0.9995,0.99966,401330.8789
2021/1/18,1,1.00027,0.9995,1.00025,1009135.273
2021/1/19,0.99965,1.0007,0.99965,1.00003,1200658.879
2021/1/20,1.00052,1.00106,0.9994,1,1979003.389
2021/1/21,1,1.0005,0.99802,0.99998,2171080.595
2021/1/22,0.99998,1.00098,0.998,1.00096,2682087.454
2021/1/23,1.00005,1.00092,0.99963,1.00004,769559.1266
2021/1/24,1.00004,1.0001,0.99895,1.00007,819080.0733
2021/1/25,0.99941,1.00008,0.999,1.00008,1084459.943
2021/1/26,0.9998,1.00008,0.99938,1.00003,878029.391
2021/1/27,1.00001,1.0071,0.99895,0.99989,3674325.557
2021/1/28,0.99991,1.00095,0.99989,1.00057,669015.9766
2021/1/29,1.00061,1.00065,0.99996,1.00026,1664770.789
2021/1/30,1.00026,1.00085,0.99745,1,1869498.06
2021/1/31,0.99992,1.00024,0.9999,0.99992,616538.1143
