DATE,open,high,low,close,Volume
2020/10/19,1.005,1.009,1,1.00002,187604.3925
2020/10/26,1.00101,1.00467,0.995,1.00087,623603.414
2020/11/2,1.0001,1.08822,0.96,1.00001,1892554.138
2020/11/9,1,1.00195,0.9989,0.99995,857679.9049
2020/11/16,0.9999,1.02,0.96,1.00001,2706372.179
2020/11/23,0.99966,1.04,0.965,0.99943,3736313.374
2020/11/30,1,1.04,0.97655,1,3321430.413
2020/12/7,1.00001,1.0245,0.98712,0.99953,6664663.787
2020/12/14,1,1.00252,0.9975,0.99988,5928237.66
2020/12/21,0.99988,1.00554,0.996,1.00019,12739018.4
2020/12/28,1.00026,1.015,0.98716,0.99928,14366866.91
2021/1/4,0.99999,1.10002,0.988,1.0009,17104778.44
2021/1/11,1.0009,1.00998,0.99295,0.99966,11506633.06
2021/1/18,1,1.00106,0.998,1.00007,10630604.79
2021/1/25,0.99941,1.0071,0.99745,0.99992,10456637.83
2021/2/1,0.99992,1.00255,0.99595,1.00043,12056777.19
2021/2/8,1.00065,1.019,0.997,1,17604141.29
2021/2/15,1,1.00104,0.99901,1.00084,21469262.53
2021/2/22,1.00084,1.0009,0.9999,1.0001,19765941.5
2021/3/1,1.0001,1.00028,0.9995,1.00006,17142824.14
2021/3/8,1.00006,1.00255,0.99897,0.9998,15634520.75
2021/3/15,0.99968,1.001,0.99251,1.00002,11566208.45
2021/3/22,1.00002,1.00088,0.999,1.00017,10741638.28
2021/3/29,1.00017,1.035,0.999,1.00092,8818195.7
2021/4/5,1.00092,1.03,0.999,0.9995,16532405.16
2021/4/12,0.99942,1.035,0.999,0.9994,27340136.21
2021/4/19,0.9994,1.06014,0.999,1.00098,18791441.82
2021/4/26,1.00098,1.02496,0.999,1.0005,24704247.04
2021/5/3,0.99955,1.02069,0.9959,1.00023,24692957.41
2021/5/10,0.99953,1.02,0.9995,0.99952,24371407.35
2021/5/17,1.00079,1.00999,0.9995,0.99991,31434792.71
2021/5/24,1.00046,1.01992,0.9995,1.00009,24311711.45
2021/5/31,0.99955,1.00375,0.9995,0.9999,16714790.89
2021/6/7,0.9999,1.012,0.9547,0.99973,18527284.28
2021/6/14,1.00047,1.00993,0.9995,1.0002,10909739.84
2021/6/21,1.0002,1.0409,0.99945,0.99986,16106827.17
2021/6/28,0.99987,1.006,0.999,1.0001,7036643.806
2021/7/5,1.00009,1.00996,0.999,1.0006,7268288.689
2021/7/12,1.00061,1.00798,0.99932,0.99989,5309677.022
2021/7/19,0.99992,1.00288,0.9998,1.00015,6465763.811
2021/7/26,1.00048,1.0064,0.999,1.00005,7768793.62
2021/8/2,1.00005,1.007,0.99914,1.00031,10704171.37
2021/8/9,1.00004,1.00999,0.99952,1.00043,5748464.302
2021/8/16,1.00043,1.00999,0.9995,1.00054,6831558.392
2021/8/23,1.0002,1.01,0.99951,1.00018,7527053.948
2021/8/30,1.00019,1.00998,0.99516,1.00018,7327693.535
2021/9/6,1.00004,1.00502,0.99467,1.00021,10210690.56
2021/9/13,1.00023,1.00348,0.9883,0.99959,4705164.678
2021/9/20,0.99978,1.00699,0.99177,0.99965,8641998.337
2021/9/27,0.99989,1.00483,0.99184,0.99986,5804007.366
2021/10/4,1.00023,1.00495,0.99951,1.00007,4897909.577
2021/10/11,1.00007,1.0032,0.99972,1.00025,5160196.019
2021/10/18,1.00002,1.00302,0.996,0.99979,12677661.64
2021/10/25,0.99979,1.00297,0.99781,1.00008,7916305.71
2021/11/1,1.00008,1.00199,0.9537,0.99956,6634670.127
2021/11/8,0.99979,1.019,0.98747,1.00029,10083850.67
2021/11/15,1.00029,1.00499,0.992,1.0003,8719841.424
2021/11/22,1.00003,1.00699,0.98853,0.9998,9671758.541
2021/11/29,1.00027,1.00699,0.99391,0.9996,6860149.037
2021/12/6,0.9996,1.00696,0.98337,0.99999,9964332.425
2021/12/13,1.00003,1.007,0.99154,1.00038,6426956.303
