DATE,open,high,low,close,Volume
2021/6/16,1.00239,1.0024,0.9992,1.00001,215241.7401
2021/6/17,1.00001,1.0024,0.98,0.99895,376342.6392
2021/6/18,0.99892,1.0023,0.99892,0.99954,267919.1759
2021/6/19,0.99954,1.00161,0.9994,1.00131,110087.0506
2021/6/20,1.00131,1.00131,0.98,1,128384.5652
2021/6/21,0.99903,1.0024,0.99,1,736461.8591
2021/6/22,1,1.0024,0.98005,1,1595995.773
2021/6/23,1,1.001,0.999,1.0005,1635171.205
2021/6/24,0.9999,1.00049,0.98101,1.0002,2412982.261
2021/6/25,1.00018,1.0002,0.99892,0.99896,822916.4782
2021/6/26,0.99897,1.0002,0.997,0.99922,298746.1231
2021/6/27,0.99934,1.00122,0.99911,1,41141.04671
2021/6/28,1,1.00225,0.99889,0.99902,949298.2125
2021/6/29,1.00038,1.00739,0.99937,1.00017,2628404.541
2021/6/30,1.00072,1.00377,0.999,1.00052,957721.0578
2021/7/1,1.00052,1.00204,0.99902,1.00049,884152.8134
2021/7/2,0.99971,1.0005,0.99962,1.00016,943982.7464
2021/7/3,1.00016,1.00049,0.99926,1.00048,145670.9486
2021/7/4,1.00048,1.0005,0.9998,0.99989,215151.1337
2021/7/5,0.99989,1.00039,0.99927,0.99957,959257.1666
2021/7/6,0.99957,1.0004,0.99929,1,3110304.23
2021/7/7,1,1.0075,0.9993,1.00012,1809216.244
2021/7/8,1.0002,1.00108,0.99937,1.00031,1733503.108
2021/7/9,1.00031,1.0075,0.9993,1,1568959.307
2021/7/10,1,1.00131,0.999,0.99999,356565.3904
2021/7/11,0.99999,1.001,0.99965,1,487322.6351
2021/7/12,1.00002,1.00057,0.99,0.99952,2103285.032
2021/7/13,1.00023,1.00073,0.99953,0.99961,545990.9673
2021/7/14,1.00027,1.00063,0.99962,1,817040.4759
2021/7/15,1,1.00054,0.99981,1.00015,1209275.056
2021/7/16,1.00015,1.00045,0.9996,1.00042,729217.4221
2021/7/17,1.00042,1.001,0.99001,1.00045,386134.1189
2021/7/18,1.00045,1.00065,0.99003,0.99959,628530.1533
2021/7/19,0.99957,1.00724,0.99903,0.99993,2880836.542
2021/7/20,0.99993,1.00207,0.99907,0.9998,816060.974
2021/7/21,1.00025,1.00108,0.99907,1.00108,700493.7597
2021/7/22,1.00008,1.00186,0.99905,0.99995,1661730.217
2021/7/23,0.99999,1.00118,0.98,1.001,2861673.568
2021/7/24,1.00099,1.01,0.9999,0.99995,638711.7459
2021/7/25,1.00075,1.0016,0.99994,1.00116,592438.8754
2021/7/26,1.00118,1.01,0.99881,1.00029,2831055.092
2021/7/27,1.00029,1.01,0.9999,1.00054,1291710.995
2021/7/28,1.00054,1.00599,0.99111,1,2229820.319
2021/7/29,1.00043,1.0015,0.99928,1.0002,2061008.4
2021/7/30,1.0002,1.00129,0.9912,1.00089,1766872.507
2021/7/31,1.00069,1.00085,0.99963,1.0006,547284.9106
2021/8/1,1.0006,1.00085,0.99986,0.99992,309854.7936
2021/8/2,1.0004,1.00069,0.999,0.99967,785730.8572
2021/8/3,1.00044,1.00046,0.9995,0.99952,879486.0836
2021/8/4,1.00007,1.00046,0.99914,0.99999,1269625.119
2021/8/5,0.99999,1.00047,0.97,1.00046,2790187.478
2021/8/6,0.99997,1.001,0.99943,1.00086,2753763.934
2021/8/7,1.00089,1.00168,0.99974,1.00139,589087.4421
2021/8/8,1.00139,1.00497,0.97116,0.9998,1513685.753
2021/8/9,1.00055,1.001,0.9993,1.00027,2473052.649
2021/8/10,1.00023,1.001,0.99931,1.00049,2294982.729
2021/8/11,1.00051,1.00081,0.99978,1.00081,2456816.895
2021/8/12,1.00022,1.001,0.99932,1,2052827.469
2021/8/13,1.00044,1.00099,0.99933,1.00043,2098316.963
2021/8/14,1.00059,1.00099,1,1.00054,461028.024
2021/8/15,1.00094,1.00099,1.0004,1.00098,429958.6611
2021/8/16,1.00098,1.00138,0.99981,1.00056,2039777.536
2021/8/17,0.99995,1.00077,0.99982,0.9999,1777393.005
2021/8/18,1.00018,1.00076,0.999,0.99993,2871796.378
2021/8/19,0.99993,1.00045,0.998,0.99983,2783257.536
2021/8/20,0.99982,1.00061,0.99909,1.00011,4174368.715
2021/8/21,1.0004,1.00079,0.99966,0.99987,2961520.789
2021/8/22,0.99988,1.0008,0.99981,1.0008,293220.2054
2021/8/23,1.00078,1.002,0.99999,1.0007,1531406.514
2021/8/24,1.00068,1.0007,0.9997,1.00023,1188842.469
2021/8/25,1.00026,1.02,0.99973,1.00019,2650793.248
2021/8/26,1.00008,1.00089,0.9999,1.00033,1025337.182
2021/8/27,1.00002,1.00064,1,1.00058,2732793.984
2021/8/28,1.00008,1.00109,1,1.00082,738819.7745
2021/8/29,1.00082,1.00406,1.00011,1.0008,573343.7088
2021/8/30,1.00051,1.00096,0.99989,1.00076,5051786.297
2021/8/31,1.0003,1.0008,0.99985,1.00036,3099807.795
2021/9/1,1.00006,1.00046,0.99985,1.00039,2518110.391
2021/9/2,1.00039,1.0009,0.99997,1.00001,3167190.62
2021/9/3,1.00039,1.00105,0.9999,1.00047,3393285.394
2021/9/4,1.00047,1.001,1.00002,1.00045,586208.1715
2021/9/5,1.00051,1.00087,1.00003,1.00008,488446.9796
2021/9/6,1.00047,1.00106,0.99985,1.00013,5140285.483
2021/9/7,1.00013,1.008,0.99996,1.0008,4613961.975
2021/9/8,1.0008,1.00104,0.9993,1.00058,3507402.624
2021/9/9,1.00058,1.02,1.00005,1.0001,5209997.619
2021/9/10,1.0001,1.00073,0.995,0.99999,3455039.258
2021/9/11,1.00021,1.025,0.99995,1.00037,802954.5075
2021/9/12,1.00009,1.00072,1.00005,1.00053,365367.6889
2021/9/13,1.00053,1.00203,0.99996,1.00044,2447574.898
2021/9/14,1.00016,1.01359,1,1.00027,2497896.944
2021/9/15,1.00059,1.00125,1,1.00066,1714491.049
2021/9/16,1.00014,1.0007,1.00008,1.00008,999574.4317
2021/9/17,1.00009,1.0007,0.9998,1,2950879.253
2021/9/18,1,1.00027,0.995,1.00015,1671248.794
2021/9/19,1.00013,1.00026,0.99982,1.00019,402121.3679
2021/9/20,1.00019,1.00078,0.9801,0.99965,2386247.798
2021/9/21,0.99931,1.00061,0.9993,0.9999,4569005.323
2021/9/22,1.00036,1.00065,0.9999,1.00049,776912.4797
2021/9/23,1.00049,1.00071,1.00001,1.00047,1177010.568
2021/9/24,1.00047,1.00241,1,1.0009,1473666.65
2021/9/25,1.0007,1.0075,1.00016,1.00092,658106.7546
2021/9/26,1.0004,1.00125,0.972,1.00089,2032736.644
2021/9/27,1.00085,1.00106,0.98868,1.0003,1287338.124
2021/9/28,1.00001,1.02,0.98,1,3510935.86
2021/9/29,1.00019,1.00025,0.99136,0.99978,1461550.769
2021/9/30,0.99978,1.00025,0.99878,0.99997,846642.5192
2021/10/1,0.99979,1.00059,0.99964,1.00052,835859.7325
2021/10/2,1.00052,1.00064,0.99987,1.00035,381959.3597
2021/10/3,1.00036,1.00489,0.9997,0.99985,1374858.124
2021/10/4,1.00084,1.001,0.99505,1.00032,2400579.373
2021/10/5,1.00004,1.01755,0.99153,1.00059,2649441.96
2021/10/6,1.00059,1.01284,0.99985,1.0007,2007767.501
2021/10/7,1.00031,1.00658,0.99551,0.99984,17165058.52
2021/10/8,1.0002,1.00033,0.99587,1.0003,1443603.189
2021/10/9,1.0003,1.00031,0.99934,1.00014,427469.7442
2021/10/10,1.00017,1.00032,0.99923,1.00031,556128.7623
2021/10/11,1.00027,1.00079,0.9999,1.00037,1463721.244
2021/10/12,0.99998,1.00396,0.9998,0.99995,1860711.167
2021/10/13,0.99995,1.00093,0.9959,1.0002,2363412.931
2021/10/14,0.9999,1.00044,0.999,1.00013,2737631.745
2021/10/15,0.99971,1.005,0.99906,0.99971,1463299.427
2021/10/16,0.99998,1.0002,0.99972,1.0002,731687.7295
2021/10/17,1.0002,1.00025,0.99951,0.9998,1126431.969
2021/10/18,1.00014,1.00124,0.99904,1.00006,4065616.094
2021/10/19,1.00006,1.0005,0.99981,1.0004,1229405.058
2021/10/20,1.00001,1.00071,0.99994,1.00039,8476612.262
2021/10/21,1.00039,1.00067,0.99999,1,2767768.283
