DATE,open,high,low,close,Volume
2004/3/22,21.24,21.25,20.27,20.32,216
2004/3/29,19.9,20.04,18.84,18.89,880
2004/4/5,18.73,19.25,18.53,19.05,712
2004/4/12,18.78,19.5,18.67,19,541
2004/4/19,19.1,19.15,17.14,17.34,843
2004/4/26,17.3,18.28,16.5,18.22,1073
2004/5/3,18,18.31,16.6,18.31,492
2004/5/10,18.79,20.79,18.6,19.67,649
2004/5/17,19.87,20.29,18.74,19.17,728
2004/5/24,18.61,19,17.29,17.58,1827
2004/6/1,17.6,17.7,17.02,17.28,615
2004/6/7,17.1,18.3,16.56,17.57,1245
2004/6/14,17.94,18.02,16.84,16.94,1123
2004/6/21,17,17.36,15.47,16.05,402
2004/6/28,16.2,16.37,15.2,15.56,471
2004/7/6,15.91,19.08,15.85,19.03,1706
2004/7/12,18.92,19.2,18.45,18.95,1042
2004/7/19,19.1,19.19,18.16,18.39,669
2004/7/26,18.42,18.8,16.68,16.68,761
2004/8/2,16.8,18.62,16.34,18.37,1469
2004/8/9,18.26,19.6,17.31,19.02,1585
2004/8/16,19.1,19.1,17.6,17.65,542
2004/8/23,17.51,17.6,16.14,16.15,321
2004/8/30,16.25,16.44,15.2,15.26,561
2004/9/7,16.41,16.41,15.81,15.85,552
2004/9/13,15.7,15.88,15.11,15.54,755
2004/9/20,15.68,15.69,15.34,15.35,334
2004/9/27,15.55,15.64,13.54,13.6,573
2004/10/4,13.33,16,13.3,15.65,715
2004/10/11,15.6,16.44,15.57,15.95,1487
2004/10/18,15.97,16.11,15.19,15.65,1181
2004/10/25,15.85,16.3,15.42,15.6,1258
2004/11/1,15.71,16.18,13.52,13.82,3049
2004/11/8,13.78,15.22,13.75,14.77,168
2004/11/15,14.92,15.45,14.88,15.45,162
2004/11/22,15.34,15.36,14.97,15.01,359
2004/11/29,15.04,15.11,14.68,14.75,214
2004/12/6,14.79,14.84,14.07,14.2,412
2004/12/13,14.13,14.18,13.75,13.82,313
2004/12/20,13.75,13.77,13.4,13.45,212
2004/12/27,13.45,13.52,13.38,13.52,161
2005/1/3,13.55,14.01,13.55,13.67,345
2005/1/10,13.7,14.7,13.42,14.06,1067
2005/1/18,14.01,14.25,13.5,14.22,479
2005/1/24,14.06,14.2,13.5,13.55,635
2005/1/31,13.38,13.38,11.48,11.48,2368
2005/2/7,11.45,12.51,11.06,11.82,774
2005/2/14,11.9,12.1,11.7,12.05,1201
2005/2/22,12.25,12.62,12,12.04,759
2005/2/28,12.05,12.82,12.04,12.33,628
2005/3/7,12.37,13.65,12.2,13.62,1722
2005/3/14,13.71,14.2,13.64,14.13,1432
2005/3/21,14.19,14.7,14.17,14.44,714
2005/3/28,14.3,15.4,14.1,14.78,1085
2005/4/4,14.8,15.1,13.84,14.04,1545
2005/4/11,14,15.7,13.6,15.6,1175
2005/4/18,15.72,15.8,14.52,15.03,2453
2005/4/25,14.75,15.85,14.42,15.4,996
2005/5/2,15.21,15.48,12.7,14.19,3294
2005/5/9,14.15,16.19,13.94,15.76,895
2005/5/16,15.71,16.18,13.85,13.85,1944
2005/5/23,13.99,13.99,13.07,13.17,820
2005/5/31,13.21,13.41,12.4,12.82,520
2005/6/6,12.9,14.46,12.38,14.37,1324
2005/6/13,14.43,14.8,13.8,13.87,1487
2005/6/20,14.16,14.26,13.85,14.26,823
2005/6/27,14.15,14.24,13.8,14.06,531
2005/7/5,14.15,14.56,13.6,13.69,701
2005/7/11,13.3,13.63,12.76,12.89,2910
2005/7/18,12.97,12.97,12.14,12.26,808
2005/7/25,12.3,12.46,12.05,12.31,723
2005/8/1,12.38,12.9,12.31,12.78,781
2005/8/8,12.56,14.9,12.4,14.41,861
2005/8/15,14.46,14.7,14.25,14.27,473
2005/8/22,14.2,14.4,14.13,14.36,105
2005/8/29,14.39,14.39,14.05,14.23,215
2005/9/6,14.18,14.25,13.69,13.71,125
2005/9/12,13.7,13.82,13.5,13.51,192
2005/9/19,13.44,14.45,13.43,13.95,680
2005/9/26,13.7,13.84,12.94,12.94,277
2005/10/3,12.95,14.43,12.74,14.05,748
2005/10/10,14.18,15.35,14.18,14.76,2061
2005/10/17,14.7,15.29,14.45,15.11,1253
2005/10/24,15.13,15.17,14.04,14.51,1450
2005/10/31,14.35,14.5,13.08,13.21,1768
2005/11/7,13.25,13.5,12.67,12.7,467
2005/11/14,12.78,12.92,11.95,12.05,1024
2005/11/21,12.075,12.2,11.82,11.96,602
2005/11/28,12,12.19,11.77,11.77,280
2005/12/5,11.67,13.02,11.67,12.86,61
2005/12/12,12.92,13.07,12.78,12.93,91
2005/12/19,12.94,12.94,12.12,12.21,489
2005/12/27,12.12,12.5,12.12,12.45,137
2006/1/3,12.34,12.46,11.45,11.56,325
2006/1/9,13.42,13.5,12.75,12.95,1653
2006/1/17,13,13.56,13,13.53,378
2006/1/23,13.64,13.75,12.69,12.72,2154
2006/1/30,12.81,13.17,12.5,12.87,5328
2006/2/6,12.87,13.32,12.79,12.85,87
2006/2/13,12.9,13.22,12.6,12.6,457
2006/2/21,12.48,12.8,12.1,12.1,162
2006/2/27,11.99,12.25,11.91,12.11,754
2006/3/6,12.2,12.94,12.14,12.81,220
2006/3/13,12.75,12.81,12.4,12.47,535
2006/3/20,12.55,12.62,12.34,12.45,358
2006/3/27,12.4,12.4,11.87,12.12,222
2006/4/3,12.04,12.16,11.8,12.07,120
2006/4/10,12.11,13,12.11,12.95,3660
2006/4/17,13.02,13.02,12.35,12.64,2560
2006/4/24,12.52,12.7,12.23,12.23,559
2006/5/1,12.25,12.53,11.98,12.1,6828
2006/5/8,12,13.35,11.985,13.35,1296
2006/5/15,13.39,15.08,12.87,14.86,1997
2006/5/22,14.96,16.5,14.8,14.9,2237
2006/5/30,15.03,16.34,14.58,14.73,1085
2006/6/5,14.85,18.49,14.85,17.43,1009
2006/6/12,17.3,22.58,16.24,16.73,2669
2006/6/19,16.5,16.96,15.25,15.69,1043
2006/6/26,15.85,16.2,13.88,14.02,1052
2006/7/3,13.9,14.77,13.66,14.36,1025
2006/7/10,14.3,17.35,13.85,17.13,4588
2006/7/17,17.17,17.4,15.43,16.71,1545
2006/7/24,16.55,16.55,14.51,14.61,1173
2006/7/31,14.89,15.5,14.4,14.84,1948
2006/8/7,15.165,15.8,14.82,15.61,4419
2006/8/14,15.59,15.59,13.81,13.85,2808
2006/8/21,14.01,14.22,13.38,13.54,1091
2006/8/28,13.68,13.74,12.9,12.95,2157
2006/9/5,13.05,14.7,12.95,14.63,746
2006/9/11,14.58,14.74,13.7,14.05,3617
2006/9/18,14.03,14.35,13.43,13.99,1821
2006/9/25,13.85,14.2,12.96,13.1,1607
2006/10/2,13.08,13.59,12.48,12.48,2261
2006/10/9,12.57,13.63,11.66,12.78,11512
2006/10/16,12.88,13.05,12.28,12.28,13851
2006/10/23,12.24,12.44,11.2,11.31,5415
2006/10/30,11.44,11.9,11.1,11.5,11530
2006/11/6,11.37,12.16,11.1,11.98,1947
2006/11/13,11.9,12.07,11.4,11.67,4498
2006/11/20,11.75,11.93,11.35,11.71,1889
2006/11/27,11.75,12.63,11.34,11.65,2724
2006/12/4,11.65,12.31,11.39,11.98,1748
2006/12/11,12,12.71,11.4,12.71,3111
2006/12/18,12.78,12.89,12.3,12.62,1179
2006/12/26,12.57,12.57,11.9,12.3,453
2007/1/3,12.15,12.54,11.95,12.38,649
2007/1/8,13.55,13.57,12,12.08,6465
2007/1/16,12.22,12.24,11.6,11.69,4721
2007/1/22,11.75,12.06,11.32,11.88,6886
2007/1/29,11.77,11.95,11.12,11.2,5347
2007/2/5,11.31,12.4,11.12,12.2,1681
2007/2/12,12.32,12.49,11.5,11.56,2763
2007/2/20,11.61,11.71,11.1,11.59,1145
2007/2/26,11.55,15.65,11.43,15.19,9219
2007/3/5,15.7,16.26,13,13.6,3644
2007/3/12,13.75,16.3,13,15.79,11058
2007/3/19,15.4,15.49,13.01,13.33,3912
2007/3/26,13.49,15.2,13.21,14.49,2205
2007/4/2,14.1,14.7,13.37,13.53,1450
2007/4/9,13.4,14.5,13.15,13.57,1999
2007/4/16,13.4,13.45,12.55,13.03,4204
2007/4/23,12.99,13.66,12.91,13.02,1662
2007/4/30,13.14,13.81,12.89,13.14,4940
2007/5/7,13.05,14.31,13.05,13.94,7148
2007/5/14,13.9,14.45,13.9,13.99,3922
2007/5/21,14,14.25,13.38,13.96,2503
2007/5/29,14.03,14.23,13.3,13.41,1464
2007/6/4,13.61,15.82,13.43,15.08,8160
2007/6/11,15,15.75,14.14,14.43,4449
2007/6/18,14.36,16.05,13.95,15.77,8754
2007/6/25,15.99,16.86,15.01,16.19,7842
2007/7/2,15.98,15.98,15.29,15.3,1533
2007/7/9,15.25,16.8,15.16,16.5,6434
2007/7/16,16.47,17.84,16.37,17.72,11544
2007/7/23,17.45,20.2,17,20.07,18072
2007/7/30,19.69,23.99,18.96,22.61,21403
2007/8/6,22.25,27.95,18.8,27.18,25614
2007/8/13,25.36,29.49,22.8,26.47,9787
2007/8/20,26.1,26.48,21.84,22.23,6498
2007/8/27,22.57,25.21,22.1,23.7,6090
2007/9/4,23.75,26.4,22.31,25.83,5248
2007/9/10,25.3,27.23,23.44,23.78,4585
2007/9/17,24.29,24.58,19.85,19.87,10509
2007/9/24,19.76,20.25,18.53,18.92,6790
2007/10/1,18.96,19.43,17.55,17.93,6166
2007/10/8,18.05,19.89,18.05,19.45,6277
2007/10/15,19.45,22.73,19.45,22.54,10796
2007/10/22,23,23.19,20.61,20.73,11339
2007/10/29,20.49,24.01,18.85,22.98,10125
2007/11/5,23.65,27.48,22.31,26.96,22316
2007/11/12,27.05,27.67,24,26.45,17021
2007/11/19,26.85,27.42,25.29,25.86,7236
2007/11/26,25.75,27.4,23.4,24.19,9469
2007/12/3,24.3,24.82,21.16,21.97,4283
2007/12/10,22.09,24.8,21.23,24.66,4948
2007/12/17,25.18,25.5,23.06,23.1,6089
2007/12/24,23.15,23.15,21.8,22.81,1901
2007/12/31,22.75,24.85,22.7,24.68,3383
2008/1/7,24.29,27.35,23.94,26.15,7987
2008/1/14,25.8,27.75,24.15,27.24,11829
2008/1/22,33.98,34.04,25.75,26.75,10183
2008/1/28,27.12,29,24.64,24.95,6564
2008/2/4,25.18,28.9,24.97,27.63,6931
2008/2/11,27.4,28.1,25.44,25.93,7301
2008/2/19,25.46,26.65,24.75,24.87,6932
2008/2/25,25,26.67,23.32,26.1,7971
2008/3/3,26.49,27.6,24.5,26.91,9678
2008/3/10,26.75,29.09,25.79,28.52,8908
2008/3/17,29.51,30.51,26.05,27,14801
2008/3/24,26.52,26.95,25.82,26.6,5301
2008/3/31,26.65,26.7,23.79,23.96,2514
2008/4/7,23.8,25.06,22.6,24.98,2159
2008/4/14,25.07,25.08,21.89,22.2,3693
2008/4/21,22.03,22.56,20.69,20.69,1007
2008/4/28,20.68,21.37,19.5,19.66,40
2008/5/5,19.98,20.05,18.82,19.84,101
2008/5/12,19.55,20.8,18.91,20.14,30
2008/5/19,20.18,22.86,19.76,22.23,1704
2008/5/27,21.9,22.08,18.95,19.38,1166
