DATE,open,high,low,close,Volume
2016/1/11,137.453125,137.59375,136.4375,136.65625,4416
2016/1/12,136.53125,137.5625,136.15625,137.328125,10278
2016/1/13,137.15625,138.046875,136.78125,137.765625,21411
2016/1/14,137.515625,138.015625,137.109375,137.40625,24863
2016/1/15,137.484375,138.75,137.375,138.21875,28959
2016/1/19,138.25,138.375,137.59375,138.171875,19459
2016/1/20,137.984375,139.34375,137.9375,138.8125,26806
2016/1/21,138.71875,139.140625,138.21875,138.421875,30798
2016/1/22,138.28125,138.53125,137.640625,138.09375,25163
2016/1/25,138,138.640625,137.890625,138.421875,17497
2016/1/26,138.640625,139.171875,138.390625,138.78125,24200
2016/1/27,138.78125,138.96875,138.140625,138.75,33200
2016/1/28,138.796875,139.09375,138.3125,138.953125,25785
2016/1/29,139,139.859375,138.890625,139.59375,29276
2016/2/1,139.640625,139.921875,139.171875,139.203125,14846
2016/2/2,139.375,140.671875,139.359375,140.484375,24320
2016/2/3,140.671875,141.34375,140.09375,140.296875,32250
2016/2/4,140.25,140.765625,139.96875,140.515625,31016
2016/2/5,140.734375,141.046875,140.171875,140.734375,30903
2016/2/8,140.765625,142.15625,140.5,142.15625,32950
2016/2/9,142,142.78125,141.734375,142.203125,42229
2016/2/10,142.171875,142.921875,141.6875,142.5,44610
2016/2/11,142.921875,144.6875,142.796875,143.265625,69058
2016/2/12,143.046875,143.265625,141.8125,141.9375,43584
2016/2/16,141.8125,142.015625,141.265625,141.609375,31045
2016/2/17,141.671875,142.03125,140.6875,141.046875,37399
2016/2/18,141.046875,142.015625,140.890625,141.75,26323
2016/2/19,142,142.25,141.4375,141.875,35672
2016/2/22,141.828125,141.9375,141.21,141.21,20191
2016/2/23,141.953125,142.28125,141.0625,141.90625,39043
2016/2/24,142.21875,143.125,141.8125,141.984375,54468
2016/2/25,141.890625,142.75,141.75,142.515625,47753
2016/2/26,141.390625,141.5,140.59375,140.84375,39122
2016/2/29,140.84375,141.234375,140.734375,141.109375,41397
2016/3/1,141.140625,141.578125,139.859375,139.90625,54689
2016/3/2,139.984375,140.21875,139.359375,139.609375,63980
2016/3/3,139.71875,140.03125,139.453125,139.84375,43873
2016/3/4,139.734375,140.015625,138.96875,139.21875,54843
2016/3/7,139.40625,139.40625,138.8125,138.984375,34620
2016/3/8,138.984375,140.203125,138.921875,139.84375,44844
2016/3/9,139.90625,139.921875,139.09375,139.15625,48147
2016/3/10,139.359375,139.625,138.484375,138.734375,54035
2016/3/11,138.703125,138.921875,138.109375,138.234375,41710
2016/3/14,138.21875,138.671875,138.109375,138.4375,28478
2016/3/15,138.453125,139.03125,138.3125,138.5,27995
2016/3/16,138.375,139.15625,138.0625,138.78125,45053
2016/3/17,139.078125,139.8125,139.046875,139.21875,55090
2016/3/18,139.265625,139.71875,139.25,139.578125,40357
2016/3/21,139.53125,139.640625,138.9375,139,41608
2016/3/22,138.96875,139.46875,138.625,138.75,39851
2016/3/23,138.640625,139.53125,138.5,139.5,39749
2016/3/24,139.390625,139.796875,139.046875,139.34375,26359
2016/3/28,139.25,139.75,139.0625,139.65625,24433
2016/3/29,139.484375,140.515625,139.359375,140.375,45628
2016/3/30,140.421875,140.5,139.8125,140.203125,58807
2016/3/31,140.296875,140.9375,140.15625,140.75,63046
2016/4/1,140.90625,141.0625,140.40625,140.6875,51688
2016/4/4,140.96875,141.171875,140.71875,140.84375,41918
2016/4/5,141,141.59375,141,141.453125,37120
2016/4/6,141.46875,141.46875,140.90625,141.15625,38977
2016/4/7,141.125,142.03125,141,141.96875,50825
2016/4/8,141.953125,141.96875,141.421875,141.640625,32574
2016/4/11,141.6875,141.90625,141.234375,141.609375,31285
2016/4/12,141.546875,141.59375,140.890625,140.9375,35354
2016/4/13,140.9375,141.265625,140.75,141.1875,50367
2016/4/14,141.125,141.3125,140.671875,140.953125,41984
2016/4/15,140.875,141.453125,140.75,141.3125,39534
2016/4/18,141.515625,141.6875,140.890625,141.078125,35681
2016/4/19,141.109375,141.125,140.6875,140.953125,41372
2016/4/20,140.9375,141.34375,140.03125,140.09375,51081
2016/4/21,140.140625,140.328125,139.625,139.890625,57570
2016/4/22,139.953125,140.15625,139.5625,139.71875,43187
2016/4/25,139.734375,139.984375,139.390625,139.546875,39499
2016/4/26,139.4375,139.703125,139.078125,139.203125,48363
2016/4/27,139.21875,140.171875,139.1875,140.09375,61303
2016/4/28,140.125,140.640625,139.9375,140.328125,54717
2016/4/29,140.484375,140.640625,139.90625,140.5625,70194
2016/5/2,140.421875,140.65625,139.890625,140,40277
2016/5/3,139.90625,141.046875,139.90625,140.828125,57187
2016/5/4,140.84375,141.1875,140.625,141.03125,55963
2016/5/5,141.125,141.625,140.734375,141.453125,47612
2016/5/6,141.46875,142.015625,141,141.109375,56254
2016/5/9,141.109375,141.515625,140.96875,141.390625,42265
2016/5/10,141.546875,141.5625,141.171875,141.375,44979
2016/5/11,141.359375,141.859375,141.265625,141.640625,52337
2016/5/12,141.640625,141.75,141.15625,141.25,48707
2016/5/13,141.296875,141.96875,141.234375,141.90625,56141
2016/5/16,142.015625,142.078125,141.25,141.3125,34332
2016/5/17,141.28125,141.5,141.015625,141.21875,54152
2016/5/18,141.0625,141.140625,139.65625,139.71875,80751
2016/5/19,139.96875,140.3125,139.671875,140.125,68732
2016/5/20,140.078125,140.265625,139.859375,140.109375,45335
2016/5/23,140.15625,140.5,140.046875,140.265625,41243
