DATE,open,high,low,close,Volume
1998/11/2,126.4688,127.0938,125.0625,125.5938,102882
1998/11/9,126.9375,128.0625,126.8125,127.75,166422
1998/11/16,127.2813,128.7188,126.75,128.25,139990
1998/11/23,127.5313,128.3125,127.1875,128.2188,64147
1998/11/30,129.625,130.6875,129.4063,129.5,113515
1998/12/7,129.4375,130.9063,129.2813,129.6563,124828
1998/12/14,130.3438,130.375,129.2188,129.5313,95150
1998/12/21,127.5313,127.5625,126.0625,126.0625,50847
1998/12/28,127.1563,128.125,127.1563,127.7813,19927
1999/1/4,127.4688,127.6563,125.0938,125.0938,113372
1999/1/11,124.625,127.9375,124.5625,126.5313,293434
1999/1/18,126.625,127.8125,126.0625,127.7188,133683
1999/1/25,127.3438,128.0313,127.0313,127.875,139296
1999/2/1,126.6875,126.7188,124.1563,124.3125,207603
1999/2/8,124.4375,124.9688,122.4688,122.6563,197101
1999/2/15,123.5313,124.1875,122.9375,123.4688,166098
1999/2/22,123.4063,123.4688,119.8125,120.8438,119937
1999/3/1,120,121.5313,119.3438,120.25,162310
1999/3/8,120.4063,121.375,120.375,121.3125,136412
1999/3/15,121.875,122.2813,121.1563,121.2188,106352
1999/3/22,120.875,121.5,120.5938,120.625,144144
1999/3/29,120.125,121.1563,119.9375,119.9688,41850
1999/4/5,121.0625,123.5625,121.0313,122.9688,114422
1999/4/12,123.0625,123.125,121.1563,121.3438,119940
1999/4/19,121.9375,122.25,120.75,120.9688,107949
1999/4/26,121.375,122.4688,120.1875,120.1875,29335
1999/5/3,120.375,120.4688,118.3125,118.4688,133101
1999/5/10,118.875,119.8125,117.125,117.4688,124805
1999/5/17,117.5625,118.7813,117.5,118.5938,119693
1999/5/24,118.7188,118.9688,116.8438,117.4063,93956
1999/5/31,116.0938,116.6563,115.6875,116,104281
1999/6/7,116.0625,116.0938,114,114,142962
1999/6/14,114.375,116.2188,114.2813,115.7813,120952
1999/6/21,115.0313,115.0938,113.1563,113.8438,155806
1999/6/28,114.625,116,114.625,115.7813,145410
1999/7/5,115.8438,116.4688,114.7813,115.7188,109151
1999/7/12,115.875,117.625,115.625,117.2813,101558
1999/7/19,117.2813,117.6563,115.5,115.5,99229
1999/7/26,115.5625,115.9688,114.625,114.9375,72214
1999/8/2,114.9688,115.5938,114.2188,114.2188,104373
1999/8/9,115.4688,115.4688,113.4063,114.5625,71163
1999/8/16,114.625,115.4063,114.25,115.2188,96949
1999/8/23,115.125,116.6875,114.9063,115.9375,95502
1999/8/30,114.2188,114.625,113.0625,114.375,96091
1999/9/6,113.5938,114.125,113.3438,113.9688,87813
1999/9/13,113.5938,114.125,112.9063,114.0625,118766
1999/9/20,113.7188,115.375,113.5313,115.375,154105
1999/9/27,114.5938,114.625,112.6563,112.8438,125463
1999/10/4,113.4688,113.5,112.4688,112.5625,114821
1999/10/11,112.5938,113.1875,110.7188,111.9688,118621
1999/10/18,111.5625,111.5625,110.8125,111.0938,155429
1999/10/25,110.9688,113.5313,110.7813,113.5313,165949
1999/11/1,113.1563,115.0313,113.1563,114.625,95322
1999/11/8,114.5,115.0313,113.7813,114.7813,99230
