DATE,open,high,low,close,Volume
2000/5/22,96.89063,96.89063,96.89063,96.89063,1
2000/5/23,96.98438,96.98438,96.96875,96.96875,1
2000/5/24,97.10938,97.10938,97.09375,97.10938,57
2000/5/25,97.375,97.40625,97.375,97.40625,874
2000/5/26,97.375,97.45313,97.15625,97.45313,17
2000/5/30,97.25,97.25,97.25,97.25,2362
2000/5/31,97.60938,97.60938,97.59375,97.59375,3236
2000/6/1,98,98.01563,98,98.01563,3132
2000/6/2,98,98.0625,97.89063,97.98438,7847
2000/6/5,98.39063,98.39063,98.375,98.375,4757
2000/6/6,98.39063,98.39063,98.21875,98.21875,3549
2000/6/7,98.28125,98.29688,98.28125,98.29688,4283
2000/6/8,98.25,98.25,98.25,98.25,4010
2000/6/9,98.25,98.32813,98.21875,98.25,3581
2000/6/12,98.42188,98.42188,98.42188,98.42188,148
2000/6/13,98.45313,98.46875,98.45313,98.46875,4907
2000/6/14,98.70313,98.70313,98.70313,98.70313,3738
2000/6/15,98.70313,98.73438,98.57813,98.64063,6527
2000/6/16,98.67188,98.95313,98.59375,98.70313,3995
2000/6/19,98.90625,98.90625,98.90625,98.90625,1709
2000/6/20,98.90625,98.9375,98.79688,98.79688,4538
2000/6/21,98.4375,98.45313,98.4375,98.4375,4937
2000/6/22,98.4375,98.46875,98.375,98.46875,8059
2000/6/23,98.4375,98.51563,98.40625,98.40625,4701
2000/6/26,98.5625,98.5625,98.5625,98.5625,1237
2000/6/27,98.54688,98.54688,98.54688,98.54688,4577
2000/6/28,98.59375,98.60938,98.59375,98.60938,3566
2000/6/29,98.9375,98.9375,98.9375,98.9375,5535
2000/6/30,98.9375,99.03125,98.875,99.03125,5383
2000/7/3,99.01563,99.1875,98.89063,98.95313,1782
2000/7/5,99.3125,99.46875,99.26563,99.26563,7632
2000/7/6,99.28125,99.29688,99.04688,99.17188,9626
2000/7/7,99.04688,99.34375,98.95313,99.10938,5254
2000/7/10,99.125,99.125,99.125,99.125,1744
2000/7/11,99.125,99.17188,99.03125,99.07813,5747
2000/7/12,98.98438,98.98438,98.98438,98.98438,4776
2000/7/13,99.26563,99.26563,99.26563,99.26563,4943
2000/7/14,99.26563,99.28125,98.78125,98.78125,7321
2000/7/17,98.51563,98.51563,98.51563,98.51563,4919
2000/7/18,98.54688,98.54688,98.54688,98.54688,5113
2000/7/19,98.54688,98.59375,98.45313,98.48438,3963
2000/7/20,98.51563,99.0625,98.5,99.0625,1538
2000/7/21,99.10938,99.14063,99.0625,99.14063,4750
2000/7/24,99.04688,99.04688,99.04688,99.04688,2032
2000/7/25,99.07813,99.07813,99.07813,99.07813,3600
2000/7/26,99.07813,99.14063,99.0625,99.07813,5404
2000/7/27,99.20313,99.20313,99.20313,99.20313,4821
2000/7/28,99.20313,99.26563,99.17188,99.21875,4872
2000/7/31,99.1875,99.1875,99.1875,99.1875,1339
2000/8/1,99.39063,99.39063,99.39063,99.39063,3804
2000/8/2,99.46875,99.51563,99.46875,99.51563,5658
2000/8/3,99.54688,99.54688,99.54688,99.54688,5421
2000/8/4,99.54688,99.60938,99.51563,99.54688,4538
2000/8/7,99.75,99.79688,99.57813,99.71875,2617
2000/8/8,99.75,99.75,99.73438,99.73438,3488
2000/8/9,99.73438,99.73438,99.73438,99.73438,4736
2000/8/10,99.89063,99.90625,99.89063,99.90625,4161
2000/8/11,99.89063,99.98438,99.59375,99.59375,5593
2000/8/14,99.625,99.625,99.625,99.625,2857
2000/8/15,99.46875,99.46875,99.46875,99.46875,468
2000/8/16,99.39063,99.39063,99.39063,99.39063,3574
2000/8/17,99.39063,99.40625,99.39063,99.39063,3124
2000/8/18,99.39063,99.53125,99.32813,99.53125,4102
2000/8/21,99.51563,99.54688,99.48438,99.53125,2009
2000/8/22,99.59375,99.59375,99.59375,99.59375,2126
2000/8/23,99.59375,99.79688,99.5625,99.71875,6966
2000/8/24,99.875,99.875,99.875,99.875,6191
2000/8/25,99.875,99.90625,99.8125,99.82813,518
2000/8/28,100,100,99.71875,99.71875,1053
2000/8/29,99.8125,99.8125,99.57813,99.59375,1196
2000/8/30,99.5,99.60938,99.5,99.60938,1827
2000/8/31,99.64063,100,99.5625,100,913
2000/9/1,100.1094,100.4531,100.0625,100.4063,9489
2000/9/5,100.3594,100.3906,100.2344,100.3594,8195
2000/9/6,100.3438,100.3906,100.2031,100.2344,7300
2000/9/7,100.2188,100.2813,100.125,100.1563,6559
