DATE,open,high,low,close,Volume
2000/5/22,96.89063,97.45313,96.89063,97.45313,950
2000/5/29,97.25,98.0625,97.25,97.98438,16577
2000/6/5,98.39063,98.39063,98.21875,98.25,20180
2000/6/12,98.42188,98.95313,98.42188,98.70313,19315
2000/6/19,98.90625,98.9375,98.375,98.40625,23944
2000/6/26,98.5625,99.03125,98.54688,99.03125,20298
2000/7/3,99.01563,99.46875,98.89063,99.10938,24294
2000/7/10,99.125,99.28125,98.78125,98.78125,24531
2000/7/17,98.51563,99.14063,98.45313,99.14063,20283
2000/7/24,99.04688,99.26563,99.04688,99.21875,20729
2000/7/31,99.1875,99.60938,99.1875,99.54688,20760
2000/8/7,99.75,99.98438,99.57813,99.59375,20595
2000/8/14,99.625,99.625,99.32813,99.53125,14125
2000/8/21,99.51563,99.90625,99.48438,99.82813,17810
2000/8/28,100,100.4531,99.5,100.4063,14478
2000/9/4,100.3594,100.3906,100.125,100.25,27446
2000/9/11,100.0938,100.5625,100.0313,100.3438,61362
2000/9/18,100.3906,100.4688,100.1563,100.2813,46852
2000/9/25,100.2969,100.6094,100.2969,100.5938,39156
2000/10/2,100.5938,100.6875,100.2969,100.6094,45707
2000/10/9,100.6719,101.2656,100.4844,101,73846
2000/10/16,100.9844,101.7656,100.7813,101.2813,70216
2000/10/23,101.2813,101.4375,100.7656,100.8125,59810
2000/10/30,100.7969,101,100.5,100.5,44683
2000/11/6,100.5,100.7813,100.25,100.7031,57471
2000/11/13,100.7813,101.125,100.5938,100.9531,45584
2000/11/20,100.9063,101.3438,100.9063,101.125,36466
2000/11/27,101.0938,102.0938,100.9375,101.8594,42781
2000/12/4,101.7969,102.7031,101.7656,102.5781,80166
2000/12/11,102.3906,103.0938,102.125,103.0469,61241
2000/12/18,102.9219,103.875,102.9219,103.6875,40588
2000/12/25,103.7344,103.8438,103.3125,103.5781,15909
2001/1/1,103.5625,104.6875,103.375,104.6094,67216
2001/1/8,104.5781,104.8906,103.3594,103.4688,100313
2001/1/15,103.5781,104.2656,103.1875,103.9063,83094
2001/1/22,103.8906,104,102.9219,103.5469,68099
2001/1/29,103.625,104.5,103.5156,103.9375,82588
2001/2/5,103.9688,104.1563,103.5938,104.1406,69348
2001/2/12,104.1406,104.2656,103.1563,103.8594,91474
2001/2/19,103.8594,104.2656,103.5938,104.0938,71000
2001/2/26,104.0781,105.2969,104,104.7969,62964
2001/3/5,105.1719,105.2656,104.5469,104.7969,61755
2001/3/12,104.8281,105.9375,104.7969,105.7344,96813
2001/3/19,105.75,106.2969,105.4375,105.6875,106248
2001/3/26,105.625,105.7656,104.8281,105.5469,94481
2001/4/2,105.3438,106.0625,105.2344,105.8594,58851
2001/4/9,105.875,105.9688,104.5938,104.5938,76681
2001/4/16,104.625,105.1094,103.8594,104.4219,126805
2001/4/23,104.4375,105.0469,104.1875,104.2813,95541
2001/4/30,104.2344,105.0938,103.8594,104.6406,105836
2001/5/7,104.7188,105.0781,103.5625,103.7656,138730
2001/5/14,103.8594,103.9375,103.2813,103.5625,113392
2001/5/21,103.5625,103.9688,103.2656,103.4688,102186
2001/5/28,103.5625,104.125,103.1094,103.3125,46667
2001/6/4,103.3281,103.9688,103.3125,103.3906,126830
2001/6/11,103.4219,104.5,103.4219,104.2813,123843
2001/6/18,104.2969,104.8438,104,104.7813,116084
2001/6/25,104.8438,104.875,103.1875,103.3125,158579
2001/7/2,103.3281,103.7813,103.2813,103.75,90769
2001/7/9,103.7813,104.3594,103.5781,104.2031,159668
2001/7/16,104.2031,104.875,104.1719,104.6563,125407
2001/7/23,104.7188,105.1719,104.5,105.125,152682
2001/7/30,105.125,105.4688,104.6094,104.8438,130033
2001/8/6,104.8438,105.6563,104.7969,105.5938,129088
2001/8/13,105.5781,106.0625,104.875,106.0313,126973
2001/8/20,106.0313,106.0313,105.5625,105.7031,131448
2001/8/27,105.6563,106.4375,105.6406,106.2188,101919
2001/9/3,105.9688,106.375,105,106.2031,166462
2001/9/10,106.2031,108.375,105.9688,108.2969,139085
2001/9/17,108.2969,108.5938,107.6875,108.0625,185931
2001/9/24,108.0156,108.5938,107.625,108.1719,184110
2001/10/1,108.1563,108.8438,108.0313,108.625,195061
2001/10/8,108.6719,108.7813,107.6875,108.0313,174011
2001/10/15,108.0313,108.625,108.0313,108.2656,190106
2001/10/22,108.2813,108.8438,108.0781,108.8125,185346
2001/10/29,108.8281,110.1719,108.8125,109.4375,249619
2001/11/5,109.5,110.4531,109.4219,109.6719,223426
