DATE,open,high,low,close,Volume
2000/5/22,95.3125,95.3125,95.3125,95.3125,1
2000/5/23,95.59375,95.625,95.54688,95.625,63
2000/5/24,95.70313,95.84375,95.70313,95.78125,3619
2000/5/25,95.35938,95.4375,95.09375,95.40625,3077
2000/5/26,96.01563,96.1875,96.01563,96.0625,2504
2000/5/30,96.23438,96.26563,96.23438,96.26563,12116
2000/5/31,96.79688,96.82813,96.79688,96.82813,14113
2000/6/1,97.28125,97.34375,97.28125,97.32813,14168
2000/6/2,97.28125,98.6875,97.21875,97.375,19866
2000/6/5,97.85938,97.85938,97.84375,97.84375,12289
2000/6/6,97.76563,97.76563,97.75,97.75,13054
2000/6/7,97.75,97.75,97.73438,97.75,11694
2000/6/8,97.76563,97.76563,97.70313,97.73438,14403
2000/6/9,97.76563,97.84375,97.6875,97.76563,12722
2000/6/12,98.01563,98.01563,98,98,2656
2000/6/13,97.8125,97.82813,97.8125,97.82813,17850
2000/6/14,98.29688,98.29688,98.29688,98.29688,16701
2000/6/15,98.26563,98.26563,98.26563,98.26563,17843
2000/6/16,98.26563,98.32813,98.125,98.3125,11042
2000/6/19,98.51563,98.53125,98.51563,98.51563,7128
2000/6/20,98.375,98.39063,98.375,98.39063,11774
2000/6/21,97.8125,97.8125,97.8125,97.8125,18299
2000/6/22,97.75,97.76563,97.75,97.75,13987
2000/6/23,97.75,97.90625,97.71875,97.8125,12913
2000/6/26,97.92188,97.92188,97.90625,97.90625,8218
2000/6/27,97.96875,97.96875,97.96875,97.96875,16460
2000/6/28,97.90625,97.92188,97.89063,97.92188,12134
2000/6/29,98.34375,98.40625,98.34375,98.39063,16891
2000/6/30,98.34375,98.54688,98.34375,98.5,10535
2000/7/3,98.4375,98.5,98.25,98.35938,6089
2000/7/5,98.96875,98.96875,98.96875,98.96875,19740
2000/7/6,98.54688,98.54688,98.53125,98.53125,21157
2000/7/7,98.54688,98.95313,98.40625,98.625,17330
2000/7/10,98.6875,98.70313,98.6875,98.70313,8771
2000/7/11,98.57813,98.59375,98.57813,98.59375,11544
2000/7/12,98.35938,98.375,98.35938,98.375,13300
2000/7/13,98.92188,98.96875,98.92188,98.9375,12064
2000/7/14,98.92188,99.125,98.17188,98.17188,16117
2000/7/17,97.79688,97.79688,97.78125,97.78125,14091
2000/7/18,97.875,97.875,97.875,97.875,21571
2000/7/19,97.84375,97.85938,97.84375,97.85938,14855
2000/7/20,98.85938,98.85938,98.84375,98.85938,8427
2000/7/21,98.85938,98.90625,98.70313,98.84375,19250
2000/7/24,98.65625,98.71875,98.65625,98.70313,6931
2000/7/25,98.75,98.75,98.75,98.75,19505
2000/7/26,98.8125,98.8125,98.79688,98.8125,13808
2000/7/27,99.04688,99.04688,99.01563,99.01563,9567
