DATE,open,high,low,close,Volume
2000/5/22,95.3125,96.1875,95.09375,96.0625,9264
2000/5/29,96.23438,98.6875,96.23438,97.375,60263
2000/6/5,97.85938,97.85938,97.6875,97.76563,64162
2000/6/12,98.01563,98.32813,97.8125,98.3125,66092
2000/6/19,98.51563,98.53125,97.71875,97.8125,64101
2000/6/26,97.92188,98.54688,97.89063,98.5,64238
2000/7/3,98.4375,98.96875,98.25,98.625,64316
2000/7/10,98.6875,99.125,98.17188,98.17188,61796
2000/7/17,97.79688,98.90625,97.78125,98.84375,78194
2000/7/24,98.65625,99.10938,98.65625,99,64438
2000/7/31,98.84375,99.60938,98.84375,99.53125,76044
2000/8/7,99.5,100.1875,99.5,99.59375,78741
2000/8/14,99.75,99.78125,99.42188,99.73438,48529
2000/8/21,99.65625,100.1875,99.65625,100.0938,73708
2000/8/28,99.76563,100.5313,99.375,100.5,63722
2000/9/4,100.4531,100.4531,100.0156,100.1563,138853
2000/9/11,99.96875,100.3125,99.75,99.75,247603
2000/9/18,99.64063,99.95313,99.46875,99.82813,219792
2000/9/25,99.9375,100.2656,99.9375,100.2188,189226
2000/10/2,100.1875,100.5313,99.75,100.4531,203653
2000/10/9,100.5156,101.2031,100.2344,100.9063,234815
2000/10/16,100.7813,102.0625,100.6563,101.5469,231479
2000/10/23,101.5625,101.9063,100.8906,101,245485
2000/10/30,100.9375,101.25,100.3594,100.3906,210980
2000/11/6,100.3594,100.875,99.84375,100.7813,260717
2000/11/13,100.9063,101.5469,100.6406,101.2813,189421
2000/11/20,101.2969,101.9219,101.2813,101.6563,111130
2000/11/27,101.5313,102.9844,101.4375,102.6406,132977
2000/12/4,102.5938,103.9531,102.4063,103.75,247750
2000/12/11,103.4688,104.6719,103.1406,104.6094,207836
2000/12/18,104.4688,105.5625,104.3125,105.3438,153809
2000/12/25,105.375,105.4844,104.4844,104.8906,62877
2001/1/1,104.8594,106.5,104.5469,106.2031,202242
2001/1/8,106.0781,106.4844,104.2188,104.3594,322378
2001/1/15,104.4688,105.5938,104.1563,105.0313,229409
2001/1/22,105.0625,105.0781,103.6406,104.375,275597
2001/1/29,104.25,105.9688,104.1875,105.2344,282647
2001/2/5,105.2969,105.5781,104.7344,105.5156,239618
2001/2/12,105.5781,105.6875,104.0938,105.0156,310405
2001/2/19,105,105.3125,104.625,105.125,204383
2001/2/26,105.0938,106.3594,104.9219,105.4844,205440
2001/3/5,106.0938,106.25,105.2344,105.6563,252096
2001/3/12,105.6719,107,105.5625,106.7188,295967
2001/3/19,106.75,107.3594,106.25,106.6094,282300
2001/3/26,106.6094,106.6719,105.4063,106.2813,293379
2001/4/2,105.875,106.8438,105.6875,106.6094,224628
2001/4/9,106.625,106.7188,104.6094,104.6094,264609
2001/4/16,104.625,105.1406,103.6406,104.0781,371230
2001/4/23,104.1094,104.9531,103.7656,103.8281,317522
2001/4/30,103.8125,105.5625,103.3125,104.7813,288730
2001/5/7,104.8125,105.3281,102.9063,103.3125,362783
2001/5/14,103.3438,103.6875,102.6875,103.4063,317660
2001/5/21,103.2813,103.8281,102.7813,102.9375,303453
2001/5/28,103.0156,103.8438,102.5781,103.0156,87822
2001/6/4,103.0938,104.0469,103.0469,103.125,360038
2001/6/11,103.2344,104.5625,103.1406,104.0781,348724
2001/6/18,104.0938,105.125,103.7969,105.0156,353503
2001/6/25,105.0625,105.125,102.8125,102.9844,387423
2001/7/2,103.0156,103.625,102.7813,103.4844,203118
2001/7/9,103.5,104.5313,103.2813,104.5,374418
2001/7/16,104.4844,105.6563,104.4531,105.2344,373007
2001/7/23,105.3125,105.7656,104.875,105.6719,351859
2001/7/30,105.6406,106.1719,105.0156,105.2969,363285
2001/8/6,105.3281,106.3594,105.1875,106.125,419105
2001/8/13,106.1094,107,105.7969,106.9219,417846
2001/8/20,106.8906,106.9375,106.2656,106.5156,367442
2001/8/27,106.5,107.75,106.3594,107.2656,320080
2001/9/3,106.6875,107.1719,105.3125,106.9688,474546
2001/9/10,106.9844,109.0625,106.4063,108.9531,336247
2001/9/17,108.7188,109.0313,107.4688,107.9375,471337
2001/9/24,107.9375,109.3281,107.4063,108.7188,452073
2001/10/1,108.75,109.8594,108.5625,109.5313,442696
2001/10/8,109.5781,109.6875,108.2813,108.5156,351115
2001/10/15,108.5781,109.6406,108.5,108.9375,415578
2001/10/22,108.9375,109.8125,108.6563,109.7813,448242
2001/10/29,109.75,112.4063,109.75,110.7656,623871
2001/11/5,110.8906,112.25,110.7813,111.0938,537085
2001/11/12,111.2344,111.4219,106.7813,107.1875,755700
2001/11/19,107.3438,108.125,105.9844,106.0781,448148
2001/11/26,106.125,108.5781,105.5313,108.1563,441868
2001/12/3,107,107.8281,103.6094,103.875,808877
2001/12/10,103.875,105.8438,103.6719,103.9375,726617
2001/12/17,104.0469,105.25,102.5,104.6094,393870
2001/12/24,104.5781,104.8281,103.7188,104.5625,123796
2001/12/31,104.6094,105.3594,103.8594,104.6875,466895
2002/1/7,104.7344,107,104.4844,106.7031,738983
2002/1/14,106.6875,107.375,105.9375,106.6563,673631
2002/1/21,106.4688,106.6719,104.9688,105.4844,639254
2002/1/28,105.4688,106.5938,105.0469,106.3125,851639
2002/2/4,106.2813,107.2188,106.25,106.9688,816412
2002/2/11,106.8281,107.1875,105.625,107.125,789874
2002/2/18,107.0625,107.6719,106.7031,107.3906,517878
2002/2/25,107.3906,107.625,105.0625,105.1094,601387
2002/3/4,105.0781,105.125,102.75,102.8281,1052831
2002/3/11,102.9844,103.4688,101.7188,102.7969,893228
2002/3/18,102.7813,103.375,101.9219,102.4219,792283
2002/3/25,102.5,103.0938,102.0313,102.5,508034
2002/4/1,102.4688,104.375,102.1875,104.2656,858098
2002/4/8,104.25,104.75,103.6563,104.6719,699499
2002/4/15,104.6719,105.2344,104.0313,104.5313,762044
2002/4/22,104.4688,105.7813,104.3281,105.7031,822931
2002/4/29,105.7188,106.1563,105.2344,105.8438,768570
2002/5/6,105.9219,106.0469,104.6094,105.6875,998858
2002/5/13,105.6563,105.6563,104.25,104.8281,969092
2002/5/20,104.8281,106.4844,104.8125,105.9375,999666
2002/5/27,105.6875,107,105.5156,106.7344,523800
2002/6/3,105.1719,106.1094,104.7656,105.3438,1067063
2002/6/10,105.2813,107.4219,105.1875,107.25,1056725
2002/6/17,107.25,107.9531,106.75,107.6094,1150777
2002/6/24,107.6406,108.9531,106.6563,107.2344,1421833
2002/7/1,107.3281,108.0625,106.875,107.0313,741750
2002/7/8,107.0781,109.3125,107.0781,109.0313,1551771
2002/7/15,109.125,109.7969,108.0938,109.4688,1535692
2002/7/22,109.7813,111.9688,109.6094,111.0469,1832576
2002/7/29,110.8281,112.25,109.5156,112.1406,1526079
2002/8/5,112,112.75,111.3438,112.4688,1445910
2002/8/12,112.5313,114.1875,111.4688,111.5156,1649866
2002/8/19,111.5938,112.8906,111.3125,112.5,1197940
2002/8/26,112.4375,113.5313,112,113.1719,616752
2002/9/2,112.0938,113.9375,112.0938,112.7656,1107978
2002/9/9,112.9844,113.7813,112.1094,113.6563,1201681
2002/9/16,113.6563,114.7813,113.2188,114.6875,1374423
2002/9/23,114.7188,115.9375,114.0938,115.2813,1667782
2002/9/30,115.5938,116.2031,114.4375,115.3906,1750852
2002/10/7,115.5469,116.4375,114.6094,114.8125,1774607
2002/10/14,114.8125,114.875,111.8438,112.6875,2333736
2002/10/21,112.8281,113.2188,111.7969,113.1406,1835116
2002/10/28,113.4531,114.9219,113.2344,114.25,1876660
2002/11/4,114,115.1719,113.1406,115.0469,1663684
2002/11/11,115.0469,115.4688,113.2031,113.7344,1570289
2002/11/18,113.7969,114.4688,112.5,112.6563,1692473
2002/11/25,112.6719,113.5781,112.0625,112.5156,461971
2002/12/2,110.9375,113,110.0781,112.2188,1776720
2002/12/9,112.2188,113.3125,112.2031,112.7031,1205865
2002/12/16,112.8125,113.8594,112.0625,113.7813,842695
2002/12/23,113.7656,115.0625,113.3594,115.0313,277738
2002/12/30,114.9844,115.5313,113,113.4375,924110
2003/1/6,113.3281,114,112.2656,112.5625,1897295
2003/1/13,112.4844,114,112.1719,113.7969,1810666
2003/1/20,113.9375,114.9688,113.5938,114.6875,1268400
2003/1/27,114.5313,114.9219,113.3594,114.1406,1767202
