DATE,open,high,low,close,Volume
2002/4/5,10246,10340,10222,10290,4234
2002/4/8,10277,10280,10105,10268,4407
2002/4/9,10290,10311,10205,10222,6189
2002/4/10,10229,10399,10215,10383,6372
2002/4/11,10378,10378,10158,10170,5387
2002/4/12,10210,10240,10140,10194,6740
2002/4/15,10196,10230,10068,10093,4122
2002/4/16,10141,10344,10132,10304,5340
2002/4/17,10309,10338,10185,10228,4857
2002/4/18,10238,10272,10040,10175,4241
2002/4/19,10140,10274,10140,10252,3306
2002/4/22,10247,10263,10111,10135,7043
2002/4/23,10148,10177,10065,10095,6065
2002/4/24,10115,10161,10015,10020,8117
2002/4/25,10015,10045,9919,10042,4615
2002/4/26,10036,10077,9860,9865,5401
2002/4/29,9907,9933,9806,9818,6327
2002/4/30,9836,10003,9817,9930,6247
2002/5/1,9963,10081,9820,10070,4509
2002/5/2,10076,10114,10029,10090,5546
2002/5/3,10074,10108,9920,9986,5290
2002/5/6,10004,10018,9781,9790,6603
2002/5/7,9800,9920,9790,9800,8012
2002/5/8,9875,10148,9871,10115,6699
2002/5/9,10127,10134,10008,10033,5086
2002/5/10,9933,9933,9930,9930,5584
2002/5/13,9938,10111,9915,10105,5805
2002/5/14,10110,10297,10089,10291,7445
2002/5/15,10291,10349,10220,10265,6459
2002/5/16,10267,10319,10228,10293,3860
2002/5/17,10333,10364,10256,10337,5071
2002/5/20,10335,10335,10210,10240,5373
2002/5/21,10232,10285,10087,10123,6804
2002/5/22,10135,10159,10062,10152,5867
2002/5/23,10127,10228,10086,10220,4769
2002/5/24,10221,10245,10085,10093,7196
2002/5/28,10125,10143,9965,10003,6608
2002/5/29,9995,9998,9915,9925,8621
2002/5/30,9940,9967,9801,9921,5173
2002/5/31,9935,10047,9889,9905,7626
2002/6/3,9899,9990,9678,9683,10168
2002/6/4,9700,9750,9593,9700,6210
2002/6/5,9735,9812,9688,9805,6595
2002/6/6,9800,9821,9510,9630,6285
2002/6/7,9546,9641,9468,9590,7694
2002/6/10,9614,9718,9560,9654,7581
2002/6/11,9642,9764,9505,9525,8481
2002/6/12,9546,9633,9448,9622,1710
2002/6/13,9652,9655,9488,9514,667
2002/6/14,9505,9505,9250,9480,315
2002/6/17,9490,9695,9480,9680,6337
2002/6/18,9680,9760,9625,9755,8008
2002/6/19,9720,9736,9532,9560,8168
2002/6/20,9575,9595,9419,9428,8120
2002/6/21,9420,9480,9205,9267,13579
2002/6/24,9270,9382,9070,9310,9588
2002/6/25,9338,9405,9100,9105,8572
2002/6/26,9000,9171,8864,9115,7884
2002/6/27,9140,9278,9025,9266,3833
2002/6/28,9289,9360,9222,9230,5200
2002/7/1,9225,9324,9088,9096,5132
2002/7/2,9076,9141,8958,9010,5684
2002/7/3,9025,9070,8893,9047,2965
2002/7/5,9052,9412,9050,9392,4999
2002/7/8,9393,9393,9237,9278,5063
2002/7/9,9295,9324,9077,9098,6867
2002/7/10,9096,9172,8775,8795,8689
2002/7/11,8803,8858,8597,8797,6930
2002/7/12,8830,8879,8590,8648,11583
2002/7/15,8636,8689,8232,8662,7363
2002/7/16,8662,8664,8395,8473,9272
2002/7/17,8439,8721,8402,8525,7452
2002/7/18,8520,8630,8341,8365,8843
2002/7/19,8351,8356,7948,7998,13743
2002/7/22,7920,8113,7698,7785,10119
2002/7/23,7815,7950,7646,7698,12974
2002/7/24,7685,8230,7460,8205,11207
2002/7/25,8200,8306,7918,8170,6928
2002/7/26,8170,8273,8084,8267,8746
2002/7/29,8290,8711,8277,8665,9778
2002/7/30,8645,8757,8530,8694,10510
2002/7/31,8660,8770,8523,8705,10082
2002/8/1,8687,8706,8452,8478,9153
2002/8/2,8460,8493,8185,8300,10592
2002/8/5,8295,8302,8011,8037,10584
2002/8/6,8022,8413,7980,8285,11966
2002/8/7,8325,8460,8205,8440,11639
2002/8/8,8440,8709,8414,8695,8097
2002/8/9,8675,8791,8562,8725,6530
2002/8/12,8721,8721,8567,8670,6899
2002/8/13,8675,8738,8454,8480,10920
2002/8/14,8482,8751,8350,8720,12381
2002/8/15,8720,8858,8682,8807,6414
2002/8/16,8775,8837,8705,8765,7477
2002/8/19,8830,8997,8700,8967,6202
2002/8/20,8951,8974,8815,8885,10128
2002/8/21,8884,8985,8799,8975,7896
2002/8/22,8987,9081,8927,9040,6746
2002/8/23,9075,9075,8823,8868,8119
2002/8/26,8875,8955,8753,8910,9385
2002/8/27,8900,9024,8779,8835,6879
2002/8/28,8845,8854,8639,8682,7858
2002/8/29,8690,8744,8557,8653,6415
2002/8/30,8650,8784,8594,8633,13957
2002/9/3,8568,8580,8289,8298,10378
2002/9/4,8297,8455,8279,8390,10561
2002/9/5,8378,8386,8209,8313,9706
2002/9/6,8292,8480,8292,8433,10758
2002/9/9,8428,8559,8313,8492,12006
2002/9/10,8498,8628,8496,8620,8989
