DATE,open,high,low,close,Volume
2002/4/1,10246,10340,10222,10290,4234
2002/4/8,10277,10399,10105,10194,29095
2002/4/15,10196,10344,10040,10252,21866
2002/4/22,10247,10263,9860,9865,31241
2002/4/29,9907,10114,9806,9986,27919
2002/5/6,10004,10148,9781,9930,31984
2002/5/13,9938,10364,9915,10337,28640
2002/5/20,10335,10335,10062,10093,30009
2002/5/27,10125,10143,9801,9905,28028
2002/6/3,9899,9990,9468,9590,36952
2002/6/10,9614,9764,9250,9480,18754
2002/6/17,9490,9760,9205,9267,44212
2002/6/24,9270,9405,8864,9230,35077
2002/7/1,9225,9412,8893,9392,18780
2002/7/8,9393,9393,8590,8648,39132
2002/7/15,8636,8721,7948,7998,46673
2002/7/22,7920,8306,7460,8267,49974
2002/7/29,8290,8770,8185,8300,50115
2002/8/5,8295,8791,7980,8725,48816
2002/8/12,8721,8858,8350,8765,44091
2002/8/19,8830,9081,8700,8868,39091
2002/8/26,8875,9024,8557,8633,44494
2002/9/2,8568,8580,8209,8433,41403
2002/9/9,8428,8760,8249,8327,27262
2002/9/16,8330,8580,7893,7945,78011
2002/9/23,7915,7994,7604,7663,78654
2002/9/30,7650,7985,7429,7550,93488
2002/10/7,7521,7885,7174,7862,120040
2002/10/14,7825,8360,7734,8295,100913
2002/10/21,8285,8558,8210,8440,94159
2002/10/28,8450,8550,8163,8490,95372
2002/11/4,8575,8785,8480,8495,85299
2002/11/11,8490,8579,8280,8566,98074
2002/11/18,8562,8876,8398,8796,88796
2002/11/25,8820,8960,8660,8870,63414
2002/12/2,8870,9044,8486,8657,108807
2002/12/9,8675,8675,8398,8416,48159
2002/12/16,8402,8640,8307,8512,65735
2002/12/23,8502,8545,8261,8270,39991
2002/12/30,8261,8621,8221,8604,73393
2003/1/6,8630,8802,8561,8767,119315
2003/1/13,8761,8864,8538,8583,105360
2003/1/20,8593,8610,8087,8113,119475
2003/1/27,8116,8141,7848,8047,141116
2003/2/3,8080,8133,7809,7853,155820
2003/2/10,7875,8048,7617,7925,155730
2003/2/17,7949,8066,7844,8000,109949
2003/2/24,8024,8041,7706,7920,150964
2003/3/3,7938,7980,7556,7735,154884
2003/3/10,7727,7932,7418,7876,99802
2003/3/17,7820,8499,7742,8480,136473
2003/3/24,8391,8404,8080,8120,171005
2003/3/31,8075,8354,7891,8250,174275
2003/4/7,8358,8500,8118,8178,178940
2003/4/14,8201,8490,8157,8310,133533
2003/4/21,8339,8509,8239,8286,193073
2003/4/28,8283,8570,8254,8545,230274
2003/5/5,8532,8622,8445,8578,223082
2003/5/12,8590,8734,8546,8675,197295
2003/5/19,8629,8635,8399,8592,204715
2003/5/26,8593,8873,8530,8852,171413
2003/6/2,8890,9215,8852,9055,248922
2003/6/9,9045,9250,8940,9131,112527
2003/6/16,9103,9342,9100,9153,199061
2003/6/23,9140,9163,8943,8950,209625
2003/6/30,8975,9131,8847,9035,161045
2003/7/7,9060,9240,8971,9097,224008
2003/7/14,9111,9257,8983,9155,241984
2003/7/21,9150,9281,9013,9254,285729
2003/7/28,9282,9343,9115,9140,274200
2003/8/4,9120,9192,8968,9182,248897
2003/8/11,9179,9329,9121,9312,205973
2003/8/18,9320,9498,9310,9343,237277
2003/8/25,9342,9421,9227,9409,213559
2003/9/1,9432,9617,9377,9505,212918
2003/9/8,9502,9605,9381,9473,122921
2003/9/15,9480,9649,9411,9601,192021
2003/9/22,9564,9564,9256,9280,299013
2003/9/29,9279,9635,9195,9542,291247
2003/10/6,9532,9739,9504,9674,227286
2003/10/13,9679,9845,9676,9698,249596
2003/10/20,9694,9789,9469,9572,275698
2003/10/27,9566,9824,9553,9763,255032
2003/11/3,9763,9915,9738,9773,236867
2003/11/10,9765,9893,9699,9753,239204
2003/11/17,9717,9742,9577,9633,288142
2003/11/24,9630,9800,9623,9787,53959
2003/12/1,9779,9939,9750,9858,199354
2003/12/8,9848,10051,9828,10035,130584
2003/12/15,10141,10279,9983,10237,227711
2003/12/22,10198,10353,10190,10292,99730
2003/12/29,10292,10510,10292,10398,161609
2004/1/5,10424,10574,10418,10433,326690
2004/1/12,10425,10594,10341,10575,359389
2004/1/19,10580,10638,10472,10551,301982
2004/1/26,10555,10687,10360,10468,358919
2004/2/2,10470,10575,10417,10556,310937
2004/2/9,10560,10737,10542,10623,307957
2004/2/16,10637,10750,10577,10623,288128
2004/2/23,10630,10651,10516,10582,331133
2004/3/1,10605,10691,10505,10601,339812
2004/3/8,10602,10634,10097,10228,233700
2004/3/15,10200,10325,10067,10154,448585
2004/3/22,10132,10247,9974,10179,476658
2004/3/29,10205,10487,10192,10457,406288
2004/4/5,10454,10560,10372,10429,272117
2004/4/12,10408,10559,10294,10438,447247
2004/4/19,10429,10479,10226,10454,454532
2004/4/26,10441,10523,10192,10203,491070
