DATE,open,high,low,close,Volume
2018/5/14,97.815,97.825,97.815,97.825,1
2018/5/15,97.825,97.825,97.81,97.81,31
2018/5/16,97.81,97.81,97.805,97.805,87
2018/5/17,97.81,97.81,97.805,97.805,10
2018/5/18,97.815,97.815,97.815,97.815,0
2018/5/21,97.8,97.8,97.8,97.8,0
2018/5/22,97.81,97.81,97.81,97.81,0
2018/5/23,97.825,97.88,97.825,97.845,90
2018/5/24,97.855,97.875,97.855,97.87,601
2018/5/25,97.885,97.89,97.885,97.885,36
2018/5/29,97.91,97.965,97.91,97.94,249
2018/5/30,97.935,97.935,97.905,97.905,344
2018/5/31,97.895,97.9,97.89,97.89,22
2018/6/1,97.865,97.88,97.86,97.865,22
2018/6/4,97.85,97.85,97.84,97.85,1
2018/6/5,97.865,97.865,97.86,97.86,71
2018/6/6,97.85,97.85,97.845,97.85,43
2018/6/7,97.84,97.85,97.84,97.85,24
2018/6/8,97.865,97.875,97.865,97.865,12
2018/6/11,97.85,97.85,97.85,97.85,0
2018/6/12,97.85,97.85,97.85,97.85,0
2018/6/13,97.855,97.855,97.835,97.835,8
2018/6/14,97.85,97.85,97.845,97.845,42
2018/6/15,97.86,97.91,97.86,97.86,12
2018/6/18,97.865,97.865,97.865,97.865,0
2018/6/19,97.87,97.87,97.87,97.87,0
2018/6/20,97.865,97.89,97.865,97.865,3
2018/6/21,97.86,97.89,97.86,97.875,145
2018/6/22,97.88,97.88,97.88,97.88,0
2018/6/25,97.88,97.885,97.88,97.885,1
2018/6/26,97.895,97.925,97.88,97.895,375
2018/6/27,97.915,97.93,97.9,97.9,101
2018/6/28,97.91,97.915,97.91,97.91,10
2018/6/29,97.91,97.91,97.91,97.91,0
2018/7/2,97.915,97.915,97.915,97.915,5
2018/7/3,97.925,97.93,97.925,97.925,0
2018/7/5,97.92,97.92,97.915,97.915,10
2018/7/6,97.92,97.93,97.92,97.92,107
2018/7/9,97.91,97.915,97.91,97.915,1002
2018/7/10,97.905,97.905,97.9,97.9,210
2018/7/11,97.895,97.895,97.89,97.895,289
2018/7/12,97.895,97.895,97.875,97.885,557
2018/7/13,97.875,97.875,97.865,97.875,229
2018/7/16,97.86,97.865,97.86,97.865,125
2018/7/17,97.85,97.855,97.85,97.855,197
2018/7/18,97.85,97.85,97.85,97.85,387
2018/7/19,97.855,97.87,97.855,97.86,961
2018/7/20,97.86,97.865,97.86,97.865,53
2018/7/23,97.86,97.865,97.86,97.865,92
2018/7/24,97.86,97.86,97.85,97.855,381
2018/7/25,97.855,97.855,97.84,97.85,148
2018/7/26,97.85,97.85,97.84,97.845,106
2018/7/27,97.85,97.85,97.85,97.85,181
2018/7/30,97.85,97.855,97.845,97.85,87
2018/7/31,97.85,97.855,97.845,97.85,120
2018/8/1,97.835,97.855,97.835,97.845,107
2018/8/2,97.85,97.865,97.85,97.855,70
2018/8/3,97.86,97.865,97.86,97.865,462
2018/8/6,97.865,97.865,97.865,97.865,36
2018/8/7,97.865,97.865,97.865,97.865,35
2018/8/8,97.865,97.87,97.865,97.87,355
2018/8/9,97.87,97.87,97.865,97.87,479
2018/8/10,97.87,97.885,97.87,97.885,431
2018/8/13,97.8775,97.8775,97.8675,97.87,135
2018/8/14,97.87,97.87,97.8675,97.87,29
2018/8/15,97.8725,97.8725,97.87,97.87,84
2018/8/16,97.865,97.865,97.86,97.8625,25
2018/8/17,97.87,97.87,97.865,97.8675,590
2018/8/20,97.87,97.875,97.87,97.875,54
2018/8/21,97.8725,97.8725,97.8625,97.865,405
2018/8/22,97.87,97.87,97.8575,97.87,72
2018/8/23,97.865,97.865,97.855,97.855,26
2018/8/24,97.855,97.855,97.8425,97.8475,202
2018/8/27,97.84,97.84,97.84,97.84,50
2018/8/28,97.835,97.8375,97.825,97.83,95
2018/8/29,97.83,97.835,97.83,97.8325,61
2018/8/30,97.84,97.84,97.8375,97.84,44
2018/8/31,97.8375,97.8425,97.8375,97.8425,0
2018/9/4,97.8375,97.8375,97.8375,97.8375,50
2018/9/5,97.84,97.84,97.835,97.835,26
2018/9/6,97.835,97.8375,97.8325,97.8375,101
2018/9/7,97.84,97.84,97.825,97.825,40
2018/9/10,97.8275,97.8275,97.8275,97.8275,0
2018/9/11,97.8275,97.8275,97.8275,97.8275,0
2018/9/12,97.84,97.84,97.83,97.84,10
2018/9/13,97.8275,97.835,97.8275,97.835,1
2018/9/14,97.825,97.825,97.825,97.825,5
2018/9/17,97.825,97.825,97.82,97.82,75
2018/9/18,97.425,97.425,97.41,97.42,2
2018/9/19,97.4,97.4,97.4,97.4,32
2018/9/20,97.385,97.385,97.38,97.38,67
