DATE,open,high,low,close,Volume
2018/5/14,97.815,97.825,97.805,97.815,129
2018/5/21,97.8,97.89,97.8,97.885,727
2018/5/29,97.91,97.965,97.86,97.865,637
2018/6/4,97.85,97.875,97.84,97.865,151
2018/6/11,97.85,97.91,97.835,97.86,62
2018/6/18,97.865,97.89,97.86,97.88,148
2018/6/25,97.88,97.93,97.88,97.91,487
2018/7/2,97.915,97.93,97.915,97.92,122
2018/7/9,97.91,97.915,97.865,97.875,2287
2018/7/16,97.86,97.87,97.85,97.865,1723
2018/7/23,97.86,97.865,97.84,97.85,908
2018/7/30,97.85,97.865,97.835,97.865,846
2018/8/6,97.865,97.885,97.865,97.885,1336
2018/8/13,97.8775,97.8775,97.86,97.8675,863
2018/8/20,97.87,97.875,97.8425,97.8475,759
2018/8/27,97.84,97.8425,97.825,97.8425,250
2018/9/4,97.8375,97.84,97.825,97.825,217
2018/9/10,97.8275,97.84,97.825,97.825,16
2018/9/17,97.825,97.825,97.38,97.395,177
2018/9/24,97.39,97.4,97.38,97.4,348
2018/10/1,97.395,97.4,97.37,97.38,344
2018/10/8,97.38,97.4,97.365,97.395,731
2018/10/15,97.385,97.4,97.365,97.38,1169
2018/10/22,97.375,97.45,97.375,97.44,2976
2018/10/29,97.415,97.44,97.4,97.4,1252
2018/11/5,97.415,97.42,97.38,97.405,326
2018/11/12,97.415,97.465,97.415,97.465,1110
2018/11/19,97.47,97.475,97.45,97.455,1543
2018/11/26,97.45,97.465,97.445,97.46,815
2018/12/3,97.445,97.53,97.445,97.53,1437
2018/12/10,97.535,97.56,97.495,97.515,617
2018/12/17,97.505,97.565,97.5,97.525,2316
2018/12/24,97.545,97.585,97.545,97.58,541
2018/12/31,97.585,97.625,97.555,97.58,2172
2019/1/7,97.58,97.585,97.545,97.56,1339
2019/1/14,97.555,97.57,97.53,97.535,5292
2019/1/22,97.545,97.56,97.535,97.55,4329
2019/1/28,97.555,97.575,97.555,97.565,3780
2019/2/4,97.56,97.57,97.555,97.565,3061
2019/2/11,97.56,97.565,97.555,97.555,3413
2019/2/19,97.56,97.565,97.55,97.555,6196
2019/2/25,97.5525,97.5525,97.54,97.54,3382
2019/3/4,97.5425,97.57,97.54,97.5675,2763
2019/3/11,97.57,97.57,97.565,97.57,7441
2019/3/18,97.57,97.635,97.565,97.625,3013
2019/3/25,97.62,97.665,97.615,97.64,2378
2019/4/1,97.63,97.63,97.605,97.605,1059
2019/4/8,97.605,97.61,97.585,97.585,2527
2019/4/15,97.585,97.59,97.57,97.575,531
2019/4/22,97.575,97.615,97.575,97.61,1192
2019/4/29,97.6,97.62,97.575,97.585,4167
2019/5/6,97.605,97.62,97.59,97.615,3751
2019/5/13,97.62,97.645,97.605,97.61,4440
2019/5/20,97.61,97.61,97.5775,97.58,5681
2019/5/28,97.58,97.625,97.575,97.62,6257
2019/6/3,97.6225,97.72,97.62,97.71,2953
2019/6/10,97.7,97.7325,97.68,97.7125,6942
2019/6/17,98.025,98.17,97.995,98.125,8892
2019/6/24,98.145,98.175,98.095,98.115,3679
2019/7/1,98.08,98.095,97.985,98.005,10190
2019/7/8,98.03,98.07,97.965,98.06,10393
2019/7/15,98.06,98.135,98.04,98.06,11239
2019/7/22,98.05,98.06,97.985,97.99,20807
2019/7/29,98.005,98.115,97.945,98.1,14853
2019/8/5,98.16,98.285,98.155,98.205,20924
2019/8/12,98.23,98.275,98.175,98.255,11577
2019/8/19,98.205,98.22,98.1475,98.2075,6124
2019/8/26,98.1875,98.19,98.145,98.1575,6123
2019/9/3,98.165,98.2,98.135,98.1425,9634
2019/9/9,98.1325,98.145,98.0775,98.08,5093
2019/9/16,98.0825,98.355,98.0625,98.335,18651
2019/9/23,98.365,98.425,98.35,98.395,9927
2019/9/30,98.38,98.575,98.365,98.555,4165
2019/10/7,98.565,98.565,98.415,98.44,16486
2019/10/14,98.485,98.485,98.43,98.48,18519
2019/10/21,98.47,98.49,98.45,98.46,12410
2019/10/28,98.45,98.5,98.445,98.45,4528
2019/11/4,98.44,98.46,98.425,98.425,3998
2019/11/11,98.42,98.445,98.42,98.44,9180
2019/11/18,98.435,98.4425,98.395,98.395,10013
2019/11/25,98.4,98.4025,98.385,98.395,5919
2019/12/2,98.3925,98.4125,98.3925,98.395,9787
2019/12/9,98.3975,98.4075,98.39,98.405,4441
2019/12/16,98.45,98.465,98.44,98.45,9366
2019/12/23,98.45,98.46,98.44,98.455,588
2019/12/30,98.455,98.475,98.44,98.445,3143
2020/1/6,98.45,98.47,98.42,98.43,7758
2020/1/13,98.43,98.43,98.415,98.42,9813
2020/1/21,98.43,98.445,98.43,98.445,11704
2020/1/27,98.455,98.515,98.42,98.51,12844
2020/2/3,98.52,98.525,98.445,98.475,13576
2020/2/10,98.475,98.495,98.465,98.485,12672
2020/2/18,98.475,98.49,98.4625,98.48,9909
2020/2/24,98.4825,98.89,98.4825,98.885,13261
2020/3/2,99.0125,99.5625,98.9125,99.485,12071
2020/3/9,99.75,99.86,99.61,99.795,6058
2020/3/16,99.88,99.95,99.855,99.93,16997
2020/3/23,99.935,99.965,99.925,99.95,15446
2020/3/30,99.955,99.96,99.92,99.93,14061
2020/4/6,99.93,99.955,99.915,99.94,10910
2020/4/13,99.935,99.94,99.915,99.93,5874
2020/4/20,99.925,99.95,99.925,99.945,2661
2020/4/27,99.94,99.985,99.94,99.97,3270
2020/5/4,99.97,99.98,99.945,99.95,6891
2020/5/11,99.945,99.95,99.93,99.94,2634
2020/5/18,99.94,99.945,99.9275,99.94,3730
2020/5/26,99.9375,99.94,99.9225,99.93,2024
2020/6/1,99.9275,99.93,99.92,99.925,5601
2020/6/8,99.9275,99.9275,99.895,99.905,11298
2020/6/15,99.925,99.935,99.91,99.93,6962
2020/6/22,99.925,99.95,99.925,99.95,5253
2020/6/29,99.945,99.955,99.935,99.94,5953
2020/7/6,99.935,99.94,99.93,99.935,11539
2020/7/13,99.935,99.935,99.925,99.935,11393
2020/7/20,99.935,99.935,99.93,99.93,3224
2020/7/27,99.93,99.945,99.93,99.94,4640
2020/8/3,99.94,99.94,99.925,99.93,12047
2020/8/10,99.93,99.935,99.915,99.92,19996
2020/8/17,99.915,99.93,99.9125,99.9275,20583
2020/8/24,99.93,99.9325,99.92,99.93,14044
2020/8/31,99.925,99.9275,99.92,99.92,34454
2020/9/8,99.9225,99.925,99.9175,99.9225,29814
2020/9/14,99.9225,99.935,99.9225,99.925,44729
2020/9/21,99.925,99.94,99.925,99.935,17457
2020/9/28,99.935,99.94,99.93,99.935,8365
2020/10/5,99.935,99.935,99.93,99.93,24205
2020/10/12,99.935,99.935,99.925,99.93,21742
2020/10/19,99.93,99.93,99.915,99.92,28559
2020/10/26,99.92,99.93,99.92,99.925,9523
2020/11/2,99.93,99.93,99.915,99.92,36352
2020/11/9,99.92,99.92,99.915,99.92,20364
2020/11/16,99.92,99.935,99.9175,99.9325,20198
2020/11/23,99.935,99.935,99.93,99.9325,15865
2020/11/30,99.9325,99.9375,99.93,99.9325,15321
2020/12/7,99.935,99.955,99.935,99.95,20162
2020/12/14,99.95,99.955,99.945,99.95,26772
2020/12/21,99.955,99.955,99.945,99.95,9787
2020/12/28,99.95,99.955,99.945,99.95,17761
2021/1/4,99.95,99.955,99.935,99.94,41664
2021/1/11,99.945,99.945,99.935,99.935,20253
2021/1/19,99.935,99.95,99.935,99.95,12588
2021/1/25,99.95,99.965,99.945,99.965,49058
2021/2/1,99.965,99.965,99.955,99.965,34395
2021/2/8,99.96,99.965,99.955,99.965,29368
2021/2/16,99.965,99.965,99.9575,99.9625,26401
2021/2/22,99.9625,99.965,99.94,99.9525,56001
2021/3/1,99.95,99.9575,99.945,99.9525,29057
2021/3/8,99.955,99.9675,99.9525,99.96,38970
2021/3/15,99.9625,99.975,99.94,99.97,66570
2021/3/22,99.97,99.975,99.96,99.97,34981
2021/3/29,99.97,99.97,99.965,99.97,13899
2021/4/5,99.97,99.97,99.96,99.96,24714
2021/4/12,99.965,99.965,99.95,99.955,39696
2021/4/19,99.955,99.965,99.95,99.96,12150
2021/4/26,99.96,99.965,99.955,99.96,25422
2021/5/3,99.96,99.965,99.945,99.965,43078
2021/5/10,99.965,99.97,99.96,99.97,26971
2021/5/17,99.9675,99.97,99.965,99.965,33347
2021/5/24,99.965,99.975,99.965,99.9725,39099
2021/6/1,99.9725,99.9725,99.9675,99.97,22896
2021/6/7,99.9675,99.9775,99.9675,99.975,105364
