DATE,open,high,low,close,Volume
1997/9/9,933.75,941.25,932.75,934,11387
1997/9/10,933.75,934.25,914.5,915.25,2523
1997/9/11,916,917.5,900.5,908.5,928
1997/9/12,908,926.25,904,924,208
1997/9/15,933.5,939.75,929,931.5,11874
1997/9/16,931.25,960,930.25,956,11093
1997/9/17,956,962.5,951.5,956,11620
1997/9/18,955.75,970.5,954.75,957.75,10005
1997/9/19,957.75,963.25,953,960.5,12126
1997/9/22,960.25,972,960.25,966.25,10198
1997/9/23,965.25,967.25,956.5,962,14580
1997/9/24,961.5,970.5,952,954.5,14114
1997/9/25,953.75,957.5,945.5,946.5,12097
1997/9/26,946.25,956.5,946.25,953.25,11152
1997/9/29,953.25,964.5,950.25,961.75,15239
1997/9/30,961,965.25,952.75,954.5,14015
1997/10/1,955.5,966.5,954.5,963.5,9651
1997/10/2,963.25,969.5,961,969,13792
1997/10/3,969.25,985.5,961.75,975.5,9245
1997/10/6,976.75,983.75,976.5,981.5,11896
1997/10/7,981.5,992.25,977.5,989.5,16204
1997/10/8,989.5,991.75,974.75,982.25,9407
1997/10/9,982.25,983.25,969.25,978,6506
1997/10/10,978.75,981,964,976.75,3914
1997/10/13,976.75,981.75,974,976.25,11923
1997/10/14,976.25,981.5,968.5,977.5,9715
1997/10/15,975.75,976.75,968,973.5,12998
1997/10/16,973.5,981.25,955.25,959.75,13573
1997/10/17,959,960,935.5,948.75,11772
1997/10/20,963.5,963.5,962.25,962.25,10576
1997/10/21,964.25,980.5,964.25,979.5,10284
1997/10/22,979,980.5,970.5,974.25,13567
1997/10/23,973,974.25,947.5,955.5,14924
1997/10/24,956,969,941.5,944,15394
1997/10/27,942.5,944,874,874,17082
1997/10/28,862,933,844,924.5,16552
1997/10/29,924.5,942,916.25,924.5,13868
1997/10/30,924.5,928.5,902,903,14353
1997/10/31,902,926.25,889.75,924,11469
1997/11/3,923.75,948,921.25,945.75,11354
1997/11/4,946,946.75,936.25,945.75,11065
1997/11/5,941.5,956,938.25,947,8873
1997/11/6,946.5,947.5,937.25,942.25,13527
1997/11/7,942.25,943,916.5,931.25,9940
1997/11/10,930,940.5,922.75,926.25,6889
1997/11/11,926,929.75,924.25,926.5,14190
1997/11/12,926.5,929.5,905.5,908.25,13929
1997/11/13,907,922.5,902.5,919.25,11389
1997/11/14,920,932.5,920,932.5,9936
1997/11/17,932,954.5,932,950,10836
1997/11/18,950,954.5,940,942.5,11297
1997/11/19,942.25,951.5,936.25,947.75,10550
1997/11/20,948,965.5,947,963,9902
1997/11/21,962.5,971,957.5,969.5,7759
1997/11/24,968.5,969,947,949.75,10626
1997/11/25,950,957.5,944.75,951.75,6905
1997/11/26,952,959.75,948.75,955,2113
1997/11/28,954.75,962.25,953.75,955,10503
1997/12/1,955.5,979.5,955.5,979.5,10021
1997/12/2,980,982,972,975,12160
1997/12/3,974.75,981.25,969,977.5,12238
1997/12/4,977.5,985.75,972.5,977,14021
1997/12/5,976.25,989,963,986.5,8595
1997/12/8,986.5,989.75,980.5,984.5,11308
1997/12/9,984.75,986.25,974.5,979,11609
1997/12/10,978.75,979.75,963.5,970.25,3858
1997/12/11,969.75,970.25,951.25,954.5,1270
1997/12/12,948.5,965,946.75,955.5,1084
1997/12/15,966.75,978.5,960.5,974.25,9155
1997/12/16,973.5,985.75,973.25,980.5,9590
1997/12/17,980.25,988,974.5,975.5,12068
1997/12/18,975.25,976.5,960.5,965,15892
1997/12/19,964,964,957.5,957.5,9434
1997/12/22,956.75,962.75,956.75,962.75,6200
1997/12/23,962.75,965,944,945,3671
1997/12/24,944.75,953.5,941.5,942.25,1907
1997/12/26,944,949.5,943,946,1907
1997/12/29,945.5,966.5,941.25,965.75,6556
1997/12/30,966.5,980.5,965.5,979.25,5283
1997/12/31,979.5,984,975.25,979,4654
1998/1/2,979.25,984.75,972.5,984.75,12496
1998/1/5,987,992.75,976.5,987,12950
1998/1/6,987,987.75,970.5,971,13629
1998/1/7,970.75,974.75,960.5,974,13767
1998/1/8,973.75,977.25,960.5,961.25,18484
1998/1/9,962,963,925.5,929.5,20954
1998/1/12,929,948.25,914.5,945.5,12493
1998/1/13,945.5,960,944.5,959.5,12534
1998/1/14,960,966.25,953.75,963.25,11962
1998/1/15,963.5,964,954.75,955,10032
1998/1/16,955,972.75,952.5,968.5,10321
1998/1/20,968.5,986,966.75,985.25,14658
1998/1/21,984.5,985.25,967.5,975.5,15422
1998/1/22,977.25,977.5,964.25,966.25,15769
1998/1/23,966,972.5,955,964.5,12059
1998/1/26,961,969.75,953.5,963.5,15501
1998/1/27,963.25,979.75,960.75,973.75,13140
1998/1/28,974,985,973,982,13732
1998/1/29,982,999,979.75,987,14178
1998/1/30,987.75,993.5,984,987.75,12241
1998/2/2,988,1009,987.75,1004,11133
1998/2/3,1002.75,1011.75,1001.25,1010.75,13851
1998/2/4,1011,1014.75,1002.75,1009.75,13655
1998/2/5,1009.5,1019.25,1004,1009.5,13169
1998/2/6,1009,1019,1008,1018.5,11431
1998/2/9,1019,1022,1010.25,1015,12783
1998/2/10,1014.75,1027.75,1012.5,1024.25,9479
1998/2/11,1024,1026.5,1019.5,1023.75,13278
1998/2/12,1023.5,1031.5,1011.25,1026.75,6939
1998/2/13,1026.75,1028.25,1020.75,1022.25,9204
1998/2/17,1022.5,1033.5,1017.5,1027.5,12052
1998/2/18,1027.5,1036,1024,1035.25,11393
1998/2/19,1035.5,1038,1024.75,1030.75,11520
1998/2/20,1030.25,1038,1024.75,1037.5,11424
1998/2/23,1037.25,1045.75,1033.75,1041.25,13681
1998/2/24,1041.5,1041.75,1030.25,1033.75,9898
1998/2/25,1033.25,1049.5,1032.75,1045.5,10694
1998/2/26,1045.5,1052.5,1042,1052,10142
1998/2/27,1050.5,1055,1046,1050.5,10898
1998/3/2,1049.25,1057,1046.5,1050,12346
1998/3/3,1049.5,1056.5,1044.75,1055.5,13469
1998/3/4,1055.25,1055.5,1043.5,1048,16113
1998/3/5,1045.75,1046,1032,1038.75,13961
1998/3/6,1038.5,1058,1034.5,1057.25,11339
1998/3/9,1054,1061.5,1051,1054,5483
1998/3/10,1054,1067.25,1053.25,1065,18511
1998/3/11,1065,1071,1064.25,1068.5,3177
1998/3/12,1068.5,1073.5,1063.5,1072.5,1559
1998/3/13,1072.25,1080,1067,1069.5,1916
1998/3/16,1069.25,1081,1065.25,1080,990
1998/3/17,1091.25,1094.25,1086,1094.25,10975
1998/3/18,1094,1098,1089.25,1097.75,9655
1998/3/19,1097.25,1102,1095.75,1101.75,12649
1998/3/20,1103.75,1113.75,1100.5,1111.25,12448
1998/3/23,1110.5,1113.5,1104,1108.25,11597
1998/3/24,1108.5,1119.25,1107.5,1117,16114
1998/3/25,1117,1125.25,1102.5,1113.75,12935
1998/3/26,1113.75,1118,1107,1110.75,12520
1998/3/27,1110.75,1119.5,1098.75,1107.5,9612
1998/3/30,1106.25,1111,1100.25,1105.75,13402
1998/3/31,1105.5,1122.25,1104.25,1110.5,14196
1998/4/1,1109.75,1121.25,1104.25,1118.25,12974
1998/4/2,1119,1132.75,1116,1131,13143
1998/4/3,1131,1137.5,1128,1134.75,12649
1998/4/6,1134.5,1142.5,1126.75,1127,15526
1998/4/7,1127.25,1131,1110.5,1119,14438
1998/4/8,1118.5,1123.5,1105,1111.75,9949
1998/4/9,1112.5,1121.25,1111.5,1119.5,12475
1998/4/13,1119,1124.25,1107.5,1117.25,11592
1998/4/14,1117.25,1126,1116.25,1125,12867
1998/4/15,1123.75,1128.75,1119.5,1128.25,15857
1998/4/16,1128.25,1129,1111.75,1115.5,14482
1998/4/17,1116.5,1131.5,1105.75,1130.5,11974
1998/4/20,1130.5,1132.75,1125,1129,14906
1998/4/21,1129,1137.5,1125.75,1135.5,10524
1998/4/22,1135,1140,1133.25,1136.5,15465
1998/4/23,1136,1136.25,1123.5,1126.5,15528
1998/4/24,1125.5,1130.5,1109,1112.75,20446
1998/4/27,1112,1113.75,1081.5,1093.5,17633
1998/4/28,1093.5,1103,1087,1091,16528
1998/4/29,1091.25,1104,1088.75,1096.75,14637
1998/4/30,1096.75,1124,1094.5,1119.25,9821
1998/5/1,1119.25,1130.25,1117.75,1129.5,14285
1998/5/4,1129.5,1137,1126,1128,16189
1998/5/5,1127.75,1128.25,1114.75,1120,16308
1998/5/6,1120,1124.5,1106.25,1106.75,15160
1998/5/7,1098.75,1111,1097.25,1098.25,14932
1998/5/8,1098.75,1116.75,1096,1115.5,14761
1998/5/11,1115.5,1124.75,1107.25,1112.25,16837
1998/5/12,1111.5,1123,1106.5,1122,14355
1998/5/13,1122,1128,1118.5,1124,16456
1998/5/14,1124,1129.25,1116,1119.5,12291
1998/5/15,1119.5,1123.5,1110,1112.5,13501
1998/5/18,1110.5,1117.25,1100.5,1108.25,15008
1998/5/19,1109.5,1118.75,1107.5,1115.5,15040
1998/5/20,1114.75,1124.75,1110.5,1124,14163
1998/5/21,1125,1128.75,1114.5,1118.25,8076
1998/5/22,1118,1121.25,1110.75,1114,14598
1998/5/26,1112.5,1120.75,1092,1094,21843
1998/5/27,1095,1098.5,1075,1096.5,15808
1998/5/28,1097.25,1103.25,1091,1100.75,9938
1998/5/29,1101,1107.75,1090.75,1090.75,17755
1998/6/1,1090,1101.5,1084.5,1095.25,17710
1998/6/2,1095.25,1102.5,1091,1095.75,14502
1998/6/3,1095.5,1100.25,1078,1078.25,18017
1998/6/4,1078,1099,1077.25,1097.75,16626
1998/6/5,1097.5,1118,1094.5,1117.5,11913
1998/6/8,1117.25,1122.5,1114.5,1117,12003
1998/6/9,1116.75,1122,1112.75,1119.5,18740
1998/6/10,1119.5,1127.75,1109.5,1113,3898
1998/6/11,1113.25,1116,1090,1092,1815
1998/6/12,1093,1102,1081,1100.5,1224
1998/6/15,1101.5,1103.5,1073.5,1073.75,695
1998/6/16,1085,1100.5,1082.75,1099.5,17820
1998/6/17,1099.25,1126.75,1098.5,1122,13415
1998/6/18,1122,1127,1116,1118,11683
1998/6/19,1118.25,1124,1107.75,1112.25,15263
1998/6/22,1110.5,1121.5,1107.75,1116.75,16122
1998/6/23,1116.5,1131.75,1114.75,1130,18975
1998/6/24,1130,1147.5,1126.25,1145.5,18661
1998/6/25,1146.75,1154.5,1138.5,1143.5,11984
1998/6/26,1143.5,1149,1141.5,1147.5,14366
1998/6/29,1147.75,1158,1147.5,1151.5,16837
1998/6/30,1151.75,1153.5,1141,1143,14920
1998/7/1,1143,1159,1142.5,1156.5,8434
1998/7/2,1156.5,1159.5,1151.75,1158,13732
1998/7/6,1158.25,1169.75,1155.75,1169.5,16202
1998/7/7,1169.5,1171.25,1162.5,1167.25,13778
1998/7/8,1167,1177.75,1165,1175,17298
1998/7/9,1175,1176.75,1164.75,1167.5,19267
1998/7/10,1167.5,1177.5,1159.5,1172.5,15632
1998/7/13,1170.25,1176.75,1164,1173.75,15024
1998/7/14,1173.5,1189.75,1173,1185.75,15795
1998/7/15,1183.75,1190.5,1182.75,1183.5,16150
1998/7/16,1183.5,1193.5,1178.25,1191.25,10586
1998/7/17,1191,1197,1190.5,1193.75,15984
1998/7/20,1193.75,1199.75,1187,1193.5,21210
1998/7/21,1193.75,1196.75,1170.25,1172.75,21911
1998/7/22,1172.5,1177,1162,1172,21478
1998/7/23,1172.5,1175,1146,1147.5,19845
1998/7/24,1147.5,1156.75,1135.25,1147.5,20407
1998/7/27,1146,1155,1134,1153.25,26083
1998/7/28,1153.5,1154.75,1121.75,1135.5,21024
1998/7/29,1135.5,1145.75,1126.5,1129.25,16517
1998/7/30,1129.75,1150.5,1129,1146,18407
1998/7/31,1146.25,1149.25,1116.25,1123,20115
1998/8/3,1122.25,1128.25,1114.25,1117.5,29260
1998/8/4,1118.25,1126.75,1073.5,1074,25746
1998/8/5,1073.75,1092,1060,1088.5,17365
1998/8/6,1089.5,1097.5,1078.5,1092.5,20317
1998/8/7,1093.5,1108.5,1087.75,1094.75,8046
1998/8/10,1093.5,1098,1085.5,1088.5,20115
1998/8/11,1088.25,1090.25,1058,1071,18109
1998/8/12,1071.5,1091.25,1070,1090.5,20928
1998/8/13,1090.25,1097.75,1075.5,1075.75,20234
