DATE,open,high,low,close,Volume
1997/9/8,933.75,941.25,900.5,924,15046
1997/9/15,933.5,970.5,929,960.5,56718
1997/9/22,960.25,972,945.5,953.25,62141
1997/9/29,953.25,985.5,950.25,975.5,61942
1997/10/6,976.75,992.25,964,976.75,47927
1997/10/13,976.75,981.75,935.5,948.75,59981
1997/10/20,963.5,980.5,941.5,944,64745
1997/10/27,942.5,944,844,924,73324
1997/11/3,923.75,956,916.5,931.25,54759
1997/11/10,930,940.5,902.5,932.5,56333
1997/11/17,932,971,932,969.5,50344
1997/11/24,968.5,969,944.75,955,30147
1997/12/1,955.5,989,955.5,986.5,57035
1997/12/8,986.5,989.75,946.75,955.5,29129
1997/12/15,966.75,988,957.5,957.5,56139
1997/12/22,956.75,965,941.5,946,13685
1997/12/29,945.5,984.75,941.25,984.75,28989
1998/1/5,987,992.75,925.5,929.5,79784
1998/1/12,929,972.75,914.5,968.5,57342
1998/1/19,968.5,986,955,964.5,57908
1998/1/26,961,999,953.5,987.75,68792
1998/2/2,988,1019.25,987.75,1018.5,63239
1998/2/9,1019,1031.5,1010.25,1022.25,51683
1998/2/16,1022.5,1038,1017.5,1037.5,46389
1998/2/23,1037.25,1055,1030.25,1050.5,55313
1998/3/2,1049.25,1058,1032,1057.25,67228
1998/3/9,1054,1080,1051,1069.5,30646
1998/3/16,1069.25,1113.75,1065.25,1111.25,46717
1998/3/23,1110.5,1125.25,1098.75,1107.5,62778
1998/3/30,1106.25,1137.5,1100.25,1134.75,66364
1998/4/6,1134.5,1142.5,1105,1119.5,52388
1998/4/13,1119,1131.5,1105.75,1130.5,66772
1998/4/20,1130.5,1140,1109,1112.75,76869
1998/4/27,1112,1130.25,1081.5,1129.5,72904
1998/5/4,1129.5,1137,1096,1115.5,77350
1998/5/11,1115.5,1129.25,1106.5,1112.5,73440
1998/5/18,1110.5,1128.75,1100.5,1114,66885
1998/5/25,1112.5,1120.75,1075,1090.75,65344
1998/6/1,1090,1118,1077.25,1117.5,78768
1998/6/8,1117.25,1127.75,1081,1100.5,37680
1998/6/15,1101.5,1127,1073.5,1112.25,58876
1998/6/22,1110.5,1154.5,1107.75,1147.5,80108
1998/6/29,1147.75,1159.5,1141,1158,53923
1998/7/6,1158.25,1177.75,1155.75,1172.5,82177
1998/7/13,1170.25,1197,1164,1193.75,73539
1998/7/20,1193.75,1199.75,1135.25,1147.5,104851
1998/7/27,1146,1155,1116.25,1123,102146
1998/8/3,1122.25,1128.25,1060,1094.75,100734
1998/8/10,1093.5,1098,1058,1062.25,102188
1998/8/17,1063.25,1113,1048,1086.75,103542
1998/8/24,1086.75,1111,1020,1031,128571
1998/8/31,1030.75,1041,935,976,110161
1998/9/7,977.5,1029,958,1013.25,32014
1998/9/14,1017,1059.5,1011.25,1031,78093
1998/9/21,1030.5,1080.75,1030.25,1051,91980
1998/9/28,1050.25,1072,978.5,1013,136314
1998/10/5,1011.75,1019,929.25,991.5,124459
1998/10/12,991.5,1072,986.5,1066.25,103069
1998/10/19,1066,1093,1058.5,1074,104140
1998/10/26,1072,1110.25,1065,1105.25,115526
1998/11/2,1105,1148.75,1101.75,1148,121344
1998/11/9,1146.5,1149.25,1118.25,1133.25,107731
1998/11/16,1134.75,1167.75,1129.75,1167.5,108632
1998/11/23,1167.5,1198,1167.5,1194.25,67872
1998/11/30,1195.25,1197.5,1149.5,1180.25,150567
1998/12/7,1180.75,1195.5,1154,1163.5,65298
1998/12/14,1161,1202,1135.5,1197.25,83248
1998/12/21,1195.5,1243.5,1191.5,1239.5,44440
1998/12/28,1237.75,1256.75,1231.5,1245.5,64170
1999/1/4,1243.25,1291,1226.5,1288,154716
1999/1/11,1274,1274,1203.5,1247,165027
1999/1/18,1260.5,1267.5,1222,1232.5,136280
1999/1/25,1244,1288.5,1237.25,1281.25,115035
1999/2/1,1274.25,1279.25,1235.75,1243.75,175160
1999/2/8,1247.75,1266,1217.5,1237.75,164494
1999/2/15,1239.25,1252.25,1228.25,1244,131601
1999/2/22,1274.5,1276,1227,1235.75,181075
1999/3/1,1239.25,1279.75,1228,1279.5,179106
1999/3/8,1283.5,1309,1275.5,1291.2,77642
1999/3/15,1319,1338,1302,1307.75,127899
1999/3/22,1308,1317,1267.25,1296.5,31510
1999/3/29,1294.75,1324.5,1291,1303.75,58973
1999/4/5,1332.75,1363,1329.75,1358.25,34601
1999/4/12,1371.25,1372,1317.5,1323,38196
1999/4/19,1300.75,1372.75,1298.25,1365,33292
1999/4/26,1371,1376.75,1318.75,1337.75,36719
1999/5/3,1359,1360.5,1335,1351.25,39811
1999/5/10,1346.25,1376,1336.5,1339.25,44040
1999/5/17,1341.25,1350.5,1329.25,1334.75,34923
1999/5/24,1310,1312.25,1278,1296.75,105968
1999/5/31,1298.75,1331,1278,1329.5,33132
1999/6/7,1329,1339,1288.25,1294.5,88224
1999/6/14,1294.5,1362.5,1292.5,1356.75,119357
1999/6/21,1355.5,1364.5,1319,1329.5,194972
1999/6/28,1329.75,1403.5,1329.5,1401.25,97565
1999/7/5,1409,1417.25,1395.25,1411,166724
1999/7/12,1414.25,1428.25,1395.75,1426,196610
1999/7/19,1427.5,1431.75,1358.5,1361,231924
1999/7/26,1362.75,1378.5,1335.75,1339.5,225780
1999/8/2,1332.5,1354,1291.5,1306,267980
1999/8/9,1305.25,1332.5,1271,1331.5,249618
1999/8/16,1333.25,1350.75,1318.5,1338.5,211288
1999/8/23,1341,1387.75,1340.25,1351.5,220166
1999/8/30,1350.5,1363.25,1304.75,1363.25,249378
1999/9/6,1361.75,1365.5,1334.25,1352.5,74807
1999/9/13,1353.25,1368.25,1312.5,1351.5,221411
1999/9/20,1351.75,1357,1275,1289.25,307460
1999/9/27,1290.5,1308.5,1267.5,1294,263529
1999/10/4,1294,1348.25,1293.5,1346.75,239891
1999/10/11,1346.75,1350.5,1252.5,1256.5,307820
1999/10/18,1254.5,1318,1241.5,1306.5,326520
1999/10/25,1306.25,1383,1276.75,1376.25,282381
1999/11/1,1375,1394.75,1352,1384,305081
1999/11/8,1376.75,1403.25,1361.25,1402.75,256731
1999/11/15,1402,1432.5,1397.25,1428,255456
1999/11/22,1428,1430.75,1402.5,1414.75,167365
1999/11/29,1415,1452.25,1386.25,1437.75,265483
1999/12/6,1437.75,1442,1391.25,1416.75,125643
1999/12/13,1416.5,1450.75,1410.5,1444.25,198373
1999/12/20,1441.5,1481.25,1429.25,1480.25,124269
1999/12/27,1478,1499.5,1469.5,1485,116001
2000/1/3,1489,1496,1385,1459.75,323847
2000/1/10,1459.75,1485,1438.75,1478.5,312916
2000/1/17,1478,1485,1448,1454.25,263606
2000/1/24,1454,1468.5,1361.25,1367,341488
2000/1/31,1365.25,1449.5,1357,1431.25,304204
2000/2/7,1429.5,1454.75,1384.25,1396,345094
2000/2/14,1396.25,1414.75,1349,1354,345327
2000/2/21,1352.25,1374.25,1331,1337.75,303496
2000/2/28,1337.5,1414.5,1327.5,1410.5,337348
2000/3/6,1411,1415.5,1348.5,1399,227972
2000/3/13,1398,1497.75,1364.75,1488.5,310307
2000/3/20,1486,1574.25,1463.25,1555.5,307219
2000/3/27,1552.25,1554.5,1493.5,1517.5,294153
2000/4/3,1514,1544.75,1431,1529.5,364931
2000/4/10,1530.5,1544,1347,1367.5,411017
2000/4/17,1366.75,1460,1342.25,1447.25,311324
2000/4/24,1442.75,1495.25,1417,1460,373031
2000/5/1,1459,1492.75,1404.5,1439,369796
2000/5/8,1438.5,1439.75,1382.5,1430.75,381819
2000/5/15,1429.5,1478.75,1407,1415,375231
2000/5/22,1413,1423.25,1365.5,1381.25,434487
2000/5/29,1383.5,1492,1381.5,1475.5,302847
2000/6/5,1477,1484,1455.5,1462,226581
2000/6/12,1461.75,1507.5,1446,1488,316925
2000/6/19,1487.5,1514.25,1457,1463.5,351001
2000/6/26,1463.5,1488,1451,1468,327736
2000/7/3,1472.25,1502.25,1456.25,1494.75,229226
2000/7/10,1494,1526,1486,1524,352621
2000/7/17,1523.25,1533,1488.5,1489.75,345556
