DATE,open,high,low,close,Volume
2022-01-02T23:00:00Z,4771,4777.5,4770.75,4775,13421
2022-01-03T00:00:00Z,4775,4784,4774.75,4783,11187
2022-01-03T01:00:00Z,4783,4785,4776.5,4778,12695
2022-01-03T02:00:00Z,4777.75,4780,4775.5,4779.5,5872
2022-01-03T03:00:00Z,4779.5,4780.25,4776,4778.25,3503
2022-01-03T04:00:00Z,4778.25,4778.5,4776.75,4778.25,1943
2022-01-03T05:00:00Z,4778.5,4779.75,4777.25,4778.75,1915
2022-01-03T06:00:00Z,4778.75,4779.5,4772.75,4776.5,7915
2022-01-03T07:00:00Z,4776.75,4777.75,4771.25,4776.75,6322
2022-01-03T08:00:00Z,4776.75,4780,4775.25,4776,17763
2022-01-03T09:00:00Z,4776,4782.75,4773.75,4782.25,10038
2022-01-03T10:00:00Z,4782.5,4787.75,4781,4787.5,6951
2022-01-03T11:00:00Z,4787.5,4791.25,4787.25,4790.5,8281
2022-01-03T12:00:00Z,4790.5,4790.5,4783.75,4784.25,11381
2022-01-03T13:00:00Z,4784.5,4785.25,4775,4775.5,26101
2022-01-03T14:00:00Z,4775.5,4786.5,4747.5,4758.5,268159
2022-01-03T15:00:00Z,4758.75,4777.25,4757,4770.5,224688
2022-01-03T16:00:00Z,4770.5,4771.75,4753.5,4762.5,144984
2022-01-03T17:00:00Z,4762.5,4769,4759.25,4764.75,71100
2022-01-03T18:00:00Z,4764.75,4776.5,4762,4776.25,89386
2022-01-03T19:00:00Z,4776.25,4785.75,4774.75,4781.25,91786
2022-01-03T20:00:00Z,4781,4787.25,4775.25,4786.5,194680
2022-01-03T21:00:00Z,4786.5,4787.75,4784,4784.5,44505
2022-01-03T23:00:00Z,4785.25,4786.75,4782,4782.75,6197
2022-01-04T00:00:00Z,4783,4785.75,4781,4784.25,6519
2022-01-04T01:00:00Z,4784.25,4786.75,4782.25,4784.5,7499
2022-01-04T02:00:00Z,4784.25,4789.25,4783.75,4788.75,4025
2022-01-04T03:00:00Z,4789,4790.75,4786.75,4790,4254
2022-01-04T04:00:00Z,4790,4795,4789.5,4794.25,4542
2022-01-04T05:00:00Z,4794.5,4798,4794.25,4797.25,5279
2022-01-04T06:00:00Z,4797.25,4798.5,4795.25,4796.25,4823
2022-01-04T07:00:00Z,4796.25,4797.5,4793,4797.5,6502
2022-01-04T08:00:00Z,4797.5,4797.5,4792.5,4793.5,17052
2022-01-04T09:00:00Z,4793.5,4796.5,4793,4796.5,8305
2022-01-04T10:00:00Z,4796.5,4805.25,4796.5,4803.75,16848
2022-01-04T11:00:00Z,4803.75,4807.5,4802.25,4803.25,13069
2022-01-04T12:00:00Z,4803,4803.75,4795,4799.25,24287
2022-01-04T13:00:00Z,4799.25,4805,4798,4802.75,29416
2022-01-04T14:00:00Z,4802.5,4808.25,4799,4805.25,164452
2022-01-04T15:00:00Z,4805,4806.25,4783.75,4785,253929
