DATE,open,high,low,close,Volume
2011/12/23,2262,2283.25,2260.25,2278.5,72450
2011/12/27,2280,2296.5,2275,2284.5,73764
2011/12/28,2284.5,2292.25,2253.75,2259.5,128306
2011/12/29,2262.25,2282,2258.25,2277.25,100733
2011/12/30,2278.25,2284.5,2270.25,2274.5,69032
2012/1/3,2312.5,2328.25,2308,2316,177461
2012/1/4,2316.25,2329.5,2302.5,2328.75,142882
2012/1/5,2329,2347.5,2309.25,2339.5,195109
2012/1/6,2340.25,2358.75,2332.5,2352.25,158875
2012/1/9,2353.25,2363.5,2338.5,2346.75,152188
2012/1/10,2346.5,2378.25,2346.25,2363.5,147334
2012/1/11,2363.25,2373.25,2352.5,2367,173538
2012/1/12,2367,2383,2355.75,2378.5,160555
2012/1/13,2378,2386.75,2348.5,2373.5,199235
2012/1/17,2367.25,2401,2361.5,2389.75,190236
2012/1/18,2390.25,2423,2387.75,2420.5,214767
2012/1/19,2420.25,2442.5,2418.5,2425.25,185083
2012/1/20,2428,2437,2422.75,2434.75,153095
2012/1/23,2430,2452.25,2420.75,2435,165315
2012/1/24,2435.5,2439.75,2419.5,2437.5,146667
2012/1/25,2438,2469,2436.75,2460.5,249740
2012/1/26,2460.25,2476,2440.75,2453.25,186795
2012/1/27,2453,2464.5,2444.75,2456.25,169927
2012/1/30,2460,2465.5,2429.25,2462,182360
2012/1/31,2462.25,2478.5,2448.75,2464.25,271817
2012/2/1,2455,2494.25,2453.5,2487.5,206687
2012/2/2,2488.5,2500.75,2479.5,2491.5,191477
2012/2/3,2492,2530,2489.75,2523,168427
2012/2/6,2519.75,2526.25,2510.5,2525.75,156417
2012/2/7,2524.75,2534.75,2511.75,2529.25,176247
2012/2/8,2528.75,2547.5,2521,2544.75,198952
2012/2/9,2545,2565,2535.25,2561,244811
2012/2/10,2561.25,2561.25,2535.25,2548.5,228662
2012/2/13,2556.75,2571.25,2551.75,2567.75,165757
2012/2/14,2569.5,2577.5,2553.25,2576,193336
2012/2/15,2576.5,2600.5,2552.5,2557.5,393394
2012/2/16,2556.5,2594.25,2542.75,2593.5,313173
2012/2/17,2593.75,2597.5,2572,2582,216108
2012/2/21,2593.75,2601.75,2574.25,2591,187245
2012/2/22,2590.25,2600.5,2575.25,2578.75,186677
2012/2/23,2579,2602,2569.25,2600.75,229551
2012/2/24,2600.25,2609.5,2598,2601.5,147647
2012/2/27,2602.5,2616.75,2578.75,2608,209203
2012/2/28,2609.5,2635,2607.5,2632,199721
2012/2/29,2632.25,2645.25,2614.25,2623,258510
2012/3/1,2623.75,2646.25,2616.5,2643.25,257365
2012/3/2,2644.5,2650,2632.75,2643.5,179764
2012/3/5,2639.75,2645,2605.5,2616,223081
2012/3/6,2615.75,2617.5,2575,2589.5,285518
2012/3/7,2589.75,2614.5,2588.25,2608.75,260566
2012/3/8,2608,2644.25,2604.5,2637.75,286625
2012/3/9,2637.5,2652.5,2631.5,2648.5,126691
2012/3/12,2649.25,2652.5,2635.25,2651.5,122352
2012/3/13,2646.25,2696.5,2645.25,2694,357188
2012/3/14,2692.75,2713.75,2686,2702.75,341477
2012/3/15,2702.25,2717.25,2697,2711.75,304394
2012/3/16,2711.25,2720,2702.75,2709,196864
2012/3/19,2708.5,2735,2700.25,2727.75,229820
2012/3/20,2729.25,2738,2707.25,2735.5,212356
2012/3/21,2736.25,2748.5,2730,2735.25,210535
2012/3/22,2734.75,2740.75,2715.5,2731.25,233139
2012/3/23,2732.5,2746.5,2710.75,2728.75,198235
2012/3/26,2729.75,2778,2729,2777,202381
2012/3/27,2775.75,2789.5,2772,2775.75,179109
2012/3/28,2776.25,2790.25,2750.25,2768,238252
2012/3/29,2765.25,2773.25,2737,2758.25,246572
2012/3/30,2759,2773.25,2740.25,2750.75,209242
2012/4/2,2758,2783.75,2743.5,2777,210984
2012/4/3,2777,2791.5,2763,2779,252462
2012/4/4,2780.5,2781,2724.75,2736.5,273624
2012/4/5,2738.5,2760.75,2722.5,2753.75,225937
2012/4/6,2755,2761.25,2719,2753.75,14688
2012/4/9,2725.75,2748,2718.75,2728.5,192709
2012/4/10,2728.75,2746,2684.25,2697,383510
2012/4/11,2698.5,2723.75,2697.5,2704.25,270038
2012/4/12,2706.25,2740.25,2704.75,2738.75,283699
2012/4/13,2738.5,2742.75,2691,2693.5,293032
2012/4/16,2694.75,2710,2656.5,2663.75,396998
2012/4/17,2665,2728.25,2654.25,2712.75,300859
2012/4/18,2713.5,2728.25,2694.5,2694.5,285992
2012/4/19,2698.25,2735,2671.5,2683.5,435456
2012/4/20,2685.75,2708,2669.75,2674.25,292572
2012/4/23,2671,2675,2625,2650.25,318640
2012/4/24,2651.25,2666,2624.75,2632.5,265558
2012/4/25,2632.5,2706.75,2632,2704.5,339631
2012/4/26,2704.5,2727,2695,2720.25,206885
2012/4/27,2719.5,2746,2708.75,2736.75,211998
2012/4/30,2741,2744.25,2715.5,2719.25,198658
2012/5/1,2719.5,2753,2710.5,2718.5,180909
2012/5/2,2718,2732,2702.5,2727.5,221305
2012/5/3,2728,2738.25,2692,2692,274369
2012/5/4,2695.25,2700.5,2625.25,2625.5,320105
2012/5/7,2610.25,2648.25,2586.5,2636.5,238011
2012/5/8,2636.75,2641.75,2583.25,2622.75,328108
2012/5/9,2624.25,2632.25,2584.25,2619.25,373576
2012/5/10,2619.25,2636.5,2601,2618.75,312502
2012/5/11,2619.25,2640.25,2597.5,2610.75,266269
2012/5/14,2602,2613,2583.5,2585,245850
2012/5/15,2587,2616.25,2574.5,2578.25,324953
2012/5/16,2579,2596,2556.25,2557.5,283940
2012/5/17,2559.75,2571,2504.75,2504.75,348697
2012/5/18,2507,2521.75,2468,2468.25,421401
2012/5/21,2472.5,2546.5,2465,2543.5,299364
2012/5/22,2544.75,2561.5,2522.25,2535.25,293161
2012/5/23,2536.75,2552.25,2497.5,2540.5,313137
2012/5/24,2540.75,2556.25,2510.25,2536.25,287392
2012/5/25,2536.25,2551.5,2518.25,2524,186910
2012/5/29,2533.25,2570,2531.5,2559.5,289944
2012/5/30,2560,2561,2520.25,2530.75,307814
2012/5/31,2531.75,2542.5,2506,2524,307420
2012/6/1,2520,2522,2454,2455,362792
2012/6/4,2460,2480.25,2433.75,2469,283657
2012/6/5,2471.75,2492,2459.5,2488.75,209961
2012/6/6,2490.25,2551.75,2487,2550,279489
2012/6/7,2551,2570.5,2532,2536.25,274330
2012/6/8,2536.75,2564.25,2517.75,2562.5,131002
2012/6/11,2587,2604,2513.5,2515.25,152735
2012/6/12,2512,2546.75,2505,2545,354366
2012/6/13,2543.75,2552.75,2514,2522.5,293707
2012/6/14,2523.5,2542.75,2509,2535,338260
2012/6/15,2535.75,2567.75,2533.5,2564,223665
2012/6/18,2580.25,2594.5,2549.25,2587.5,215740
2012/6/19,2589.25,2626,2585,2612.5,218312
2012/6/20,2612,2628.25,2597.5,2617.25,257546
2012/6/21,2618.25,2620.5,2548.5,2551.75,289047
2012/6/22,2552.25,2581.75,2548.5,2573.5,253677
2012/6/25,2573.75,2577.25,2521,2526.5,186964
2012/6/26,2528.25,2551.75,2525.25,2548.25,194181
