DATE,open,high,low,close,Volume
1999/6/28,2293.5,2357,2268.5,2347.5,3703
1999/7/5,2383.5,2410,2341,2398,10417
1999/7/12,2423,2489,2372.5,2484,14942
1999/7/19,2475.5,2489,2283.5,2303,15389
1999/7/26,2281,2353,2265.5,2294,15925
1999/8/2,2266.5,2325,2164.5,2224.5,19952
1999/8/9,2236,2302.5,2132,2297.5,21342
1999/8/16,2318,2363.5,2278,2308,17531
1999/8/23,2337,2477.5,2335.5,2405,15579
1999/8/30,2405,2513,2332.5,2513,18354
1999/9/6,2531,2564,2454,2537,5422
1999/9/13,2540,2579.5,2442.5,2568.5,16498
1999/9/20,2585,2588,2375,2426,27811
1999/9/27,2427,2486.5,2379.5,2431.5,25479
1999/10/4,2431.5,2599,2424.5,2578,23340
1999/10/11,2578,2617,2405,2416,29215
1999/10/18,2406.5,2547,2318.5,2496.5,25664
1999/10/25,2497.5,2672,2438,2655.5,22464
1999/11/1,2650,2784,2626.5,2784,23072
1999/11/8,2750.5,2910,2740.5,2905,27083
1999/11/15,2908.5,3049,2883.5,3043.5,29449
1999/11/22,3052,3165,2982.5,3121,22504
1999/11/29,3124,3218.5,2961.5,3174,42613
1999/12/6,3174.5,3229,3105,3207,24076
1999/12/13,3213,3458.5,3169,3413.5,39683
1999/12/20,3439,3682,3431.5,3636,31450
1999/12/27,3635.5,3804.5,3566,3754,42105
2000/1/3,3750,3895,3257,3562,75762
2000/1/10,3561,3804.5,3476,3752.5,72719
2000/1/17,3743,3914,3669.5,3893,56659
2000/1/24,3891.5,3938,3409,3475,82390
2000/1/31,3462,3960,3371,3906.5,65782
2000/2/7,3906.5,4144,3875.5,3992.5,90142
2000/2/14,3983.5,4146,3861,3968,103045
2000/2/21,3954.5,4316,3865.5,4194,101866
2000/2/28,4182.5,4458,4029,4454.5,104418
2000/3/6,4447,4668,4272,4605,62957
2000/3/13,4590,4604,4108,4516.5,109290
2000/3/20,4507.5,4884,4215,4804,131564
2000/3/27,4787,4850,4211.5,4457.5,153411
2000/4/3,4417,4417,3738.34,4337,127762
2000/4/10,4031.66,4100.5,3148,3217.5,196213
2000/4/17,3249.84,3781,3249.84,3535,127290
2000/4/24,3488.5,3826.5,3223,3810,148004
2000/5/1,3807.5,3910,3452,3695,157983
2000/5/8,3682,3693,3194,3417.5,156182
2000/5/15,3410,3683.5,3266,3280,152532
2000/5/22,3276,3340.16,2902.5,3130,204753
2000/5/29,3123.5,3775.5,3123,3751.5,141705
2000/6/5,3752,3840,3605,3754.5,123166
2000/6/12,3745,3898,3644,3827.5,140939
2000/6/19,3823.5,4057.5,3718,3728,182532
2000/6/26,3737.5,3876,3678,3817,162557
2000/7/3,3801.5,3938.5,3652,3877.5,119321
2000/7/10,3869,4099,3752,4078,188244
2000/7/17,4075.5,4134.5,3872.5,3934,178587
2000/7/24,3934,4007,3473.5,3506,223131
2000/7/31,3508,3744.5,3370,3632,245907
2000/8/7,3632.5,3809,3542.5,3663.5,196455
2000/8/14,3662.5,3890,3634.5,3835.5,172695
2000/8/21,3837.5,4001,3772.5,3959,189294
2000/8/28,3955.5,4186,3929,4118,157461
2000/9/4,4107.5,4143,3808,3808,107245
2000/9/11,3808,3900,3669.5,3718.5,251519
2000/9/18,3721,3874,3602,3776,348500
2000/9/25,3776.5,3830,3580.5,3621,310630
2000/10/2,3621,3668,3305,3357.5,358503
2000/10/9,3359.5,3402,3021.5,3270.5,368860
2000/10/16,3274,3555.5,3025,3499.5,349139
2000/10/23,3498.5,3563.5,2978.5,3222.5,367602
2000/10/30,3220,3387,3062,3353,322591
2000/11/6,3353,3400,2892,2893,327665
2000/11/13,2858,3116.5,2755,2939.5,433056
2000/11/20,2929,2946,2676,2829,217496
2000/11/27,2848,2929,2435,2572.5,444016
2000/12/4,2572.5,2924,2480,2740.5,305323
2000/12/11,2855,3033,2550.5,2602.5,295278
2000/12/18,2619.5,2692,2211,2469,397436
2000/12/25,2481.5,2543.5,2358.5,2374.5,211875
2001/1/1,2375,2590,2130.5,2293.5,391261
2001/1/8,2290,2617,2171,2540,481747
2001/1/15,2532,2769,2445,2686.5,325096
2001/1/22,2689.5,2797,2548.5,2645.5,465426
2001/1/29,2630,2740,2478,2488.5,384741
2001/2/5,2494,2547.5,2271,2277,436386
2001/2/12,2276.5,2437,2181,2227.5,515809
2001/2/19,2230,2275,1941,2056.5,483960
2001/2/26,2078,2113,1839.5,1876.5,593896
2001/3/5,1883.5,2036.5,1804.5,1811,337180
2001/3/12,1817.5,1841.5,1650,1673,495403
2001/3/19,1680,1784,1602,1734,640335
2001/3/26,1738.5,1777,1544.5,1588,544738
2001/4/2,1601,1625,1361,1467,656047
2001/4/9,1471.5,1731.5,1439,1730,622480
2001/4/16,1731,1997,1586,1953.5,797523
2001/4/23,1956,1960,1754,1823,706840
2001/4/30,1825.5,1992.5,1823.5,1940.5,710157
2001/5/7,1941.5,1958.5,1816.5,1834.5,644875
2001/5/14,1842.5,1965,1764,1934,631552
2001/5/21,1933.5,2080.5,1920.5,1968.5,581774
2001/5/28,1970,1984,1771.5,1851.5,483961
2001/6/4,1845,1999,1820,1902.5,407587
2001/6/11,1900,1919,1674,1728.5,638793
2001/6/18,1728.5,1793,1660,1753,778407
2001/6/25,1749.5,1883.5,1704,1855,651460
2001/7/2,1848,1882,1678.5,1683.5,292753
2001/7/9,1683,1797,1612.5,1765.5,661634
2001/7/16,1767,1773.5,1655,1686.5,681304
2001/7/23,1687.5,1718,1588.5,1693,621270
2001/7/30,1697,1779.5,1671.5,1741.5,527664
2001/8/6,1740,1744,1582.5,1624,561126
2001/8/13,1626,1680,1519,1521,562291
2001/8/20,1518,1585,1471,1580.5,556141
2001/8/27,1585,1606,1437,1472.5,579071
2001/9/3,1474,1523,1338.5,1353.5,746501
2001/9/10,1353,1394.5,1317,1336,169485
2001/9/17,1280.5,1311,1097,1137,765379
2001/9/24,1144,1229.5,1107.5,1175,633720
2001/10/1,1171,1321,1136,1280.5,832554
2001/10/8,1264.5,1426,1240,1389.5,813908
2001/10/15,1375,1464,1305.5,1353.5,859840
2001/10/22,1353.5,1493,1338.5,1451.5,914760
2001/10/29,1457,1457,1323,1432.5,870967
2001/11/5,1430.5,1586,1430,1517.5,796990
2001/11/12,1521,1623,1457.5,1585,824979
2001/11/19,1587.5,1634.5,1527.5,1578,368091
2001/11/26,1579,1648,1550,1598,945850
2001/12/3,1590,1738,1562.5,1677,824190
2001/12/10,1681,1697.5,1569,1612.5,546098
2001/12/17,1612,1674,1557.5,1593.5,458724
2001/12/24,1595,1645.5,1575,1624,189270
