DATE,open,high,low,close,Volume
2022-01-02T23:00:00Z,16356,16421.25,16356,16383.75,7611
2022-01-03T00:00:00Z,16384.25,16421,16384.25,16416,6213
2022-01-03T01:00:00Z,16416.5,16427.75,16399.25,16403.25,7169
2022-01-03T02:00:00Z,16402.5,16417,16393.25,16416.25,4753
2022-01-03T03:00:00Z,16416,16418.25,16400.5,16407,3042
2022-01-03T04:00:00Z,16407.25,16410.25,16402.5,16410.25,1335
2022-01-03T05:00:00Z,16410.5,16413.5,16402.25,16408.5,2075
2022-01-03T06:00:00Z,16408.75,16412.5,16383.5,16398.25,4989
2022-01-03T07:00:00Z,16397.75,16403.25,16382.5,16400.25,3933
2022-01-03T08:00:00Z,16399.75,16409.5,16386,16387.75,8881
2022-01-03T09:00:00Z,16387.75,16413,16387.5,16412,7145
2022-01-03T10:00:00Z,16412,16429,16409,16427.25,4072
2022-01-03T11:00:00Z,16427,16452.5,16426.25,16447.5,6115
2022-01-03T12:00:00Z,16448.25,16448.25,16427.75,16430.75,5721
2022-01-03T13:00:00Z,16430.75,16443.25,16383.75,16387,11884
2022-01-03T14:00:00Z,16387,16484.75,16292,16316.5,106518
2022-01-03T15:00:00Z,16317,16442.25,16305,16437,94420
2022-01-03T16:00:00Z,16436.5,16444,16373.75,16391,57806
2022-01-03T17:00:00Z,16391.25,16430.5,16373.5,16420.25,31637
2022-01-03T18:00:00Z,16420,16467,16403.5,16459.25,29408
2022-01-03T19:00:00Z,16459.25,16498,16449,16474,32048
2022-01-03T20:00:00Z,16474,16495.75,16450.25,16489,55547
2022-01-03T21:00:00Z,16489.75,16508,16481,16495.75,12128
2022-01-03T23:00:00Z,16497.75,16510,16480.25,16484,3251
2022-01-04T00:00:00Z,16484,16497,16477,16492.5,3111
2022-01-04T01:00:00Z,16492,16495.75,16484.25,16485.75,2372
2022-01-04T02:00:00Z,16487,16504.75,16484.75,16503.5,1995
2022-01-04T03:00:00Z,16503.5,16507,16495.5,16503,1637
2022-01-04T04:00:00Z,16503.25,16527.25,16499.5,16523.5,3233
2022-01-04T05:00:00Z,16523.75,16538,16522,16534,3695
2022-01-04T06:00:00Z,16534.5,16542,16526.5,16531.5,2521
2022-01-04T07:00:00Z,16531.25,16541.25,16520.5,16541,2674
2022-01-04T08:00:00Z,16540.25,16541.25,16484.25,16489.25,9226
2022-01-04T09:00:00Z,16489,16520.5,16486,16519,4145
2022-01-04T10:00:00Z,16518.75,16549.25,16518.75,16545.75,5887
2022-01-04T11:00:00Z,16545.25,16564,16536.75,16538,5864
2022-01-04T12:00:00Z,16538,16541.5,16491.25,16515.5,10006
2022-01-04T13:00:00Z,16515.75,16532.5,16503.5,16523.25,11714
2022-01-04T14:00:00Z,16523,16527.25,16443.75,16460.75,85357
2022-01-04T15:00:00Z,16460.75,16465,16222,16226.25,146947
2022-01-04T16:00:00Z,16226.75,16250.75,16162.5,16205,105813
2022-01-04T17:00:00Z,16204.75,16231.5,16174.75,16182,52813
2022-01-04T18:00:00Z,16181.75,16222.25,16139.5,16145.5,55765
2022-01-04T19:00:00Z,16145.25,16229,16142,16224,46349
2022-01-04T20:00:00Z,16224,16324,16222,16272.75,85632
