DATE,open,high,low,close,Volume
1974/12/30,184,184.8,170.5,174.7,0
1975/1/6,172,181.3,167.5,181.3,0
1975/1/13,181,181,172.1,172.1,0
1975/1/20,173.6,180,173.6,179.5,0
1975/1/27,180,180.7,175.4,178,0
1975/2/3,179.1,179.7,174.1,177.3,0
1975/2/10,176,186.8,171.3,184.9,0
1975/2/17,182,188.5,181.7,186,0
1975/2/24,186.7,189,181,183,0
1975/3/3,183.3,187.5,176.4,178,0
1975/3/10,177.1,180.5,176.1,178.7,0
1975/3/17,178.5,179.5,175,175.6,0
1975/3/24,176.8,178.8,175.2,176,0
1975/3/31,178.2,179.9,173.3,173.8,0
1975/4/7,174.5,175.6,172.1,172.7,0
1975/4/14,169,171,162.3,169,0
1975/4/21,166,169.5,164.9,166.8,0
1975/4/28,166.4,168.4,165,165,0
1975/5/5,164.2,167.5,163.4,166.6,0
1975/5/12,166,171.3,165.6,166.9,0
1975/5/19,167.6,176.9,167.2,174.7,0
1975/5/26,173.5,173.6,168.2,169,0
1975/6/2,164.5,168.2,162.4,167.2,0
1975/6/9,167.7,168.5,165.7,165.9,0
1975/6/16,165.8,168.5,163.4,164.3,0
1975/6/23,163.8,175,163.3,167.9,0
1975/6/30,168.4,173.3,160,166.4,0
1975/7/7,165.5,175.2,162,167.4,0
1975/7/14,167.8,168.3,164,165.4,0
1975/7/21,164.2,167.9,161.4,167.9,0
1975/7/28,167.1,175.4,167.1,173.4,0
1975/8/4,173.1,173.9,165.5,166.6,0
1975/8/11,166,169.2,160.4,166.8,0
1975/8/18,166.9,167.8,162.2,165.8,0
1975/8/25,165.9,167,162.5,162.8,0
1975/9/1,152.8,156.3,150.8,156,0
1975/9/8,155.4,155.4,148,149.7,0
1975/9/15,150,150.2,135,138.4,0
1975/9/22,139,139.3,129,139,0
1975/9/29,138.2,146.2,138.2,139.9,0
1975/10/6,139.4,144.7,138.5,143.6,0
1975/10/13,142.2,147.4,140.7,146.1,0
1975/10/20,146.4,148,143.5,144.1,0
1975/10/27,143.5,145,142,142.8,0
1975/11/3,143.5,149.1,142.3,146.1,0
1975/11/10,144.5,145.3,141,141.6,0
1975/11/17,141.8,143,138.1,141.1,0
1975/11/24,140.8,141.8,138.2,138.8,0
1975/12/1,138.8,141.3,137.8,138.7,0
1975/12/8,138.2,141.4,136.7,138.9,0
1975/12/15,139,147.9,137.5,146.1,0
1975/12/22,143.9,145.7,141.3,141.7,0
1975/12/29,142.4,143,140.6,141.2,0
1976/1/5,139.5,140.5,135.5,136.9,0
1976/1/12,137.3,137.3,130,131,0
1976/1/19,129.6,130.1,123.4,127.9,0
1976/1/26,126.3,130.5,124.8,129,0
1976/2/2,130.5,133,128.5,131.2,0
1976/2/9,130.8,132,128.6,131,0
1976/2/16,129.5,131.8,129.1,131.6,0
1976/2/23,131.1,134.7,131.1,132.6,0
1976/3/1,132.5,135,131.4,134.5,0
1976/3/8,133.6,134.7,133.1,133.5,0
1976/3/15,134,135.3,132.8,134.8,0
1976/3/22,134.3,134.5,129.2,129.2,0
1976/3/29,129.8,130.5,127.5,129.6,0
1976/4/5,127.9,129.8,127.1,127.5,0
1976/4/12,127.3,131,126.9,128.1,0
1976/4/19,128.1,129.4,127.6,127.9,0
1976/4/26,128.2,130.1,128.2,128.9,0
1976/5/3,128.8,129.8,126.7,129,0
1976/5/10,129,129.5,128,128.2,0
1976/5/17,128.2,128.3,125.7,126.2,0
1976/5/24,125.8,127.8,124.1,127.3,0
1976/5/31,127.8,132.5,127.8,128,0
1976/6/7,128,129.5,126.5,126.9,0
1976/6/14,127,127.5,126.2,127.2,0
1976/6/21,126.8,127.6,125,125.5,0
1976/6/28,125.1,126.1,123.1,124.1,0
1976/7/5,123.7,124.5,122.8,122.8,0
1976/7/12,122.4,123.2,116.4,117.9,0
1976/7/19,113,114.3,105,111.2,0
1976/7/26,111.4,114.9,111.2,114.2,0
1976/8/2,113.7,115.2,112.4,113.8,0
1976/8/9,113.3,115.1,113.3,114.5,0
1976/8/16,114.2,114.3,107,108.6,0
1976/8/23,106,106.5,100,103.1,0
1976/8/30,102,108.1,101.6,108,0
1976/9/6,113.5,118.9,110.3,118.4,0
1976/9/13,114,121,110,117.5,0
1976/9/20,115.5,120.5,114.9,118.6,0
1976/9/27,119.2,119.2,115,116,0
1976/10/4,114.1,116.8,112.9,114,0
1976/10/11,113.8,117.2,113.4,117,0
1976/10/18,116.7,117.3,114.9,115.8,0
1976/10/25,115.9,126,115.8,123.8,0
1976/11/1,122.8,128.2,122.8,128,0
1976/11/8,132.3,137.7,130.6,136.9,0
1976/11/15,139.5,141,128,130.8,0
1976/11/22,133.9,135.2,129,129.7,0
1976/11/29,130.1,133.9,129,133.3,0
1976/12/6,135.1,139.9,134.2,139,0
1976/12/13,137.4,137.6,131.5,132,0
1976/12/20,132.5,135.5,132.3,133.9,0
1976/12/27,133.8,136.3,133.8,135.7,0
1977/1/3,135.5,137.7,132.8,133.1,0
1977/1/10,131.7,133,127.5,131.6,0
1977/1/17,132,133.9,130.9,132.6,0
1977/1/24,132.6,134.6,131,132.9,0
1977/1/31,133.2,134.5,132.8,134,0
1977/2/7,134.8,138.1,134.7,137,0
