DATE,open,high,low,close,Volume
2012/5/9,7425,7516,7425,7479,105113
2012/5/10,7458,7464,7356,7366,116762
2012/5/14,7305,7406,7290,7384,113623
2012/5/15,7356,7386,7356,7356,79053
2012/5/16,7266,7333,7251,7314,107382
2012/5/17,7164,7230,7128,7135,137508
2012/5/21,7250,7260,7202,7236,84457
2012/5/22,7151,7170,7090,7135,104162
2012/5/23,7156,7178,7082,7129,110432
2012/5/24,7155,7159,7048,7058,112160
2012/5/28,7124,7336,7105,7294,133522
2012/5/29,7270,7273,7196,7234,106158
2012/5/30,7142,7255,7085,7217,133197
2012/5/31,7200,7210,7075,7096,148958
2012/6/4,6949,7005,6925,6970,119982
2012/6/5,6989,7055,6958,7015,119994
2012/6/6,7135,7146,7020,7047,109350
2012/6/7,7007,7040,6946,6955,113544
2012/6/11,6976,7038,6962,7019,91231
2012/6/13,7049,7070,7002,7048,92489
2012/6/14,7042,7107,7033,7063,92161
2012/6/15,7050,7160,7042,7154,105833
2012/6/18,7300,7323,7244,7265,92004
2012/6/19,7266,7270,7234,7265,80407
2012/6/20,7153,7182,7139,7169,45126
2012/6/21,7160,7163,7093,7117,87665
2012/6/22,7002,7047,6995,7034,86796
2012/6/25,6952,6978,6938,6948,79925
2012/6/26,6944,6960,6923,6939,61535
2012/6/27,6918,7005,6898,6986,89541
2012/6/28,7021,7037,6962,7001,93508
2012/6/29,6982,7128,6981,7114,125080
2012/7/2,7133,7152,7107,7136,61181
2012/7/3,7177,7280,7161,7228,100095
2012/7/4,7268,7327,7251,7290,83106
2012/7/5,7303,7321,7277,7297,61592
2012/7/6,7288,7319,7237,7272,88904
2012/7/9,7204,7272,7202,7236,78681
2012/7/10,7251,7270,7162,7181,111304
2012/7/11,7138,7204,7133,7186,84861
2012/7/12,7186,7188,7067,7079,120546
2012/7/13,7070,7108,7045,7071,96058
2012/7/16,7089,7110,7020,7057,98746
2012/7/17,7048,7136,7030,7107,123931
2012/7/18,6972,6982,6885,6887,56820
2012/7/19,6974,7032,6945,7022,105346
2012/7/20,7022,7039,6996,7013,72895
2012/7/23,6915,6932,6845,6873,89331
2012/7/24,6862,6889,6850,6874,70435
2012/7/25,6782,6912,6775,6846,109485
2012/7/26,6856,6905,6832,6875,89439
2012/7/27,6969,7031,6946,7028,101947
2012/7/30,7082,7102,7055,7078,73940
2012/7/31,7102,7179,7061,7157,111301
2012/8/1,7139,7212,7135,7194,91583
2012/8/3,7140,7164,7116,7140,77401
2012/8/6,7278,7314,7236,7237,87031
2012/8/7,7233,7263,7223,7236,62956
2012/8/8,7306,7336,7277,7300,103055
2012/8/9,7371,7452,7346,7438,125910
2012/8/10,7453,7465,7425,7444,68582
2012/8/13,7444,7475,7430,7453,67806
2012/8/14,7484,7545,7451,7495,113777
2012/8/15,7479,7483,7428,7430,41895
2012/8/16,7460,7520,7441,7493,91628
2012/8/17,7503,7511,7467,7474,66804
2012/8/20,7464,7475,7398,7441,85890
2012/8/21,7465,7553,7458,7515,104595
2012/8/22,7494,7508,7453,7490,73832
2012/8/23,7476,7534,7468,7513,92576
2012/8/24,7450,7490,7442,7487,63615
2012/8/27,7535,7551,7452,7454,85683
2012/8/28,7435,7443,7375,7399,90608
2012/8/29,7404,7413,7381,7403,48276
2012/8/30,7360,7395,7341,7367,84738
2012/8/31,7375,7420,7363,7382,75810
2012/9/3,7370,7465,7352,7442,95691
2012/9/4,7443,7470,7430,7448,49798
2012/9/5,7401,7411,7341,7344,89655
2012/9/6,7332,7368,7286,7332,88818
2012/9/7,7471,7479,7404,7419,86302
2012/9/10,7421,7469,7414,7456,67675
2012/9/11,7437,7490,7436,7465,59702
2012/9/12,7525,7586,7510,7583,92821
2012/9/13,7592,7609,7571,7576,65782
2012/9/14,7698,7758,7671,7738,103221
2012/9/17,7739,7767,7726,7750,70895
2012/9/18,7742,7768,7713,7749,76925
2012/9/19,7757,7797,7741,7788,50201
2012/9/20,7782,7786,7716,7749,81485
2012/9/21,7765,7783,7748,7761,61018
2012/9/24,7747,7805,7685,7775,98891
2012/9/25,7792,7810,7744,7756,68390
2012/9/26,7691,7725,7670,7700,74746
2012/9/27,7683,7730,7679,7728,67769
2012/9/28,7726,7748,7666,7719,88739
2012/10/1,7690,7706,7666,7684,50167
2012/10/2,7716,7748,7693,7729,67005
2012/10/3,7740,7742,7687,7704,58958
2012/10/4,7707,7715,7633,7706,103623
2012/10/5,7711,7733,7680,7701,74558
2012/10/8,7677,7692,7612,7625,84411
2012/10/9,7629,7647,7596,7596,86468
2012/10/11,7483,7506,7442,7444,95582
