DATE,open,high,low,close,Volume
2012/5/7,7425,7516,7356,7366,221875
2012/5/14,7305,7406,7128,7135,437566
2012/5/21,7250,7260,7048,7058,411211
2012/5/28,7124,7336,7075,7096,521835
2012/6/4,6949,7146,6925,6955,462870
2012/6/11,6976,7160,6962,7154,381714
2012/6/18,7300,7323,6995,7034,391998
2012/6/25,6952,7128,6898,7114,449589
2012/7/2,7133,7327,7107,7272,394878
2012/7/9,7204,7272,7045,7071,491450
2012/7/16,7089,7136,6885,7013,457738
2012/7/23,6915,7031,6775,7028,460637
2012/7/30,7082,7212,7055,7140,354225
2012/8/6,7278,7465,7223,7444,447534
2012/8/13,7444,7545,7428,7474,381910
2012/8/20,7464,7553,7398,7487,420508
2012/8/27,7535,7551,7341,7382,385115
2012/9/3,7370,7479,7286,7419,410264
2012/9/10,7421,7758,7414,7738,389201
2012/9/17,7739,7797,7713,7761,340524
2012/9/24,7747,7810,7666,7719,398535
2012/10/1,7690,7748,7633,7701,354311
2012/10/8,7677,7692,7385,7413,358851
2012/10/15,7396,7508,7385,7387,323640
2012/10/22,7300,7360,7090,7092,437170
2012/10/29,7110,7225,7029,7201,495914
2012/11/5,7190,7301,7126,7286,515671
2012/11/12,7265,7304,7036,7107,492457
2012/11/19,7147,7327,7020,7319,419625
2012/11/26,7362,7605,7357,7594,401540
2012/12/3,7596,7691,7548,7659,409299
2012/12/10,7680,7778,7579,7704,411235
2012/12/17,7690,7708,7472,7492,413341
2012/12/24,7500,7708,7491,7677,352621
2012/12/31,7720,7836,7702,7775,224260
2013/1/7,7743,7867,7673,7802,473804
2013/1/14,7730,7828,7582,7712,510636
2013/1/21,7683,7788,7612,7650,498360
2013/1/28,7620,7901,7620,7859,464923
2013/2/4,7878,7952,7868,7901,233996
2013/2/18,7967,8021,7903,7951,340592
2013/2/25,7985,7992,7862,7936,253301
2013/3/4,7935,8032,7827,8008,407423
2013/3/11,8010,8068,7906,7909,450157
2013/3/18,7857,7868,7759,7774,367750
2013/3/25,7842,7935,7820,7923,326753
2013/4/1,7938,7953,7875,7936,193587
2013/4/8,7859,7870,7697,7784,421434
2013/4/15,7763,7945,7693,7942,530884
2013/4/22,7952,8066,7896,7997,419673
2013/4/29,8010,8174,8001,8140,287500
2013/5/6,8200,8330,8150,8309,409143
2013/5/13,8311,8440,8229,8401,445984
2013/5/20,8398,8449,8146,8220,502480
2013/5/27,8184,8345,8184,8242,508526
2013/6/3,8100,8228,8049,8087,505653
2013/6/10,8142,8185,7905,7921,386361
2013/6/17,7923,8011,7589,7658,477182
2013/6/24,7628,7860,7580,7828,585671
2013/7/1,7818,7979,7802,7964,469729
2013/7/8,7955,8188,7820,8183,548266
2013/7/15,8141,8238,7953,7957,478528
2013/7/22,7974,8183,7970,8099,487772
2013/7/29,8082,8146,8000,8061,497717
2013/8/5,8072,8108,7802,7824,489356
2013/8/12,7848,7960,7800,7914,475784
2013/8/19,7878,7920,7637,7784,364623
2013/8/26,7818,7983,7678,7972,477837
2013/9/2,7964,8153,7956,8140,420215
2013/9/9,8150,8220,8095,8147,475587
2013/9/16,8214,8259,8171,8179,193194
2013/9/23,8185,8273,8156,8182,356337
2013/9/30,8114,8393,8083,8366,432735
2013/10/7,8367,8450,8291,8361,323311
2013/10/14,8345,8429,8273,8417,378849
2013/10/21,8441,8445,8291,8320,408098
2013/10/28,8320,8476,8320,8391,426315
2013/11/4,8360,8369,8211,8224,419158
2013/11/11,8230,8247,8085,8161,427713
2013/11/18,8194,8256,8062,8087,352359
2013/11/25,8145,8428,8142,8425,390163
2013/12/2,8431,8449,8352,8384,410638
2013/12/9,8455,8510,8352,8396,406806
2013/12/16,8375,8431,8323,8414,339414
2013/12/23,8449,8550,8445,8543,202538
2013/12/30,8549,8664,8530,8542,274289
2014/1/6,8539,8599,8503,8541,390775
2014/1/13,8598,8662,8514,8604,370107
2014/1/20,8585,8650,8551,8617,350531
2014/1/27,8510,8547,8445,8449,124091
2014/2/5,8302,8373,8196,8339,288797
2014/2/10,8375,8568,8346,8506,397872
2014/2/17,8547,8598,8483,8588,357496
2014/2/24,8591,8631,8534,8625,274877
2014/3/3,8559,8772,8510,8704,423302
2014/3/10,8673,8756,8645,8692,353684
2014/3/17,8703,8751,8558,8573,360624
2014/3/24,8550,8776,8523,8736,434475
