DATE,open,high,low,close,Volume
1912/6/3,3.52,3.52,3.52,3.52,NaN
1912/9/2,3.49,3.49,3.49,3.49,NaN
1912/12/2,3.51,3.51,3.51,3.51,NaN
1913/3/3,3.51,3.51,3.51,3.51,NaN
1913/6/2,3.5,3.5,3.5,3.5,NaN
1913/9/1,3.66,3.66,3.66,3.66,NaN
1913/12/1,3.58,3.58,3.58,3.58,NaN
1914/3/2,3.55,3.55,3.55,3.55,NaN
1914/6/1,3.54,3.54,3.54,3.54,NaN
1914/8/31,3.63,3.63,3.63,3.63,NaN
1914/11/30,3.63,3.63,3.63,3.63,NaN
1915/3/1,3.64,3.64,3.64,3.64,NaN
1915/5/31,3.64,3.64,3.64,3.64,NaN
1915/8/30,3.58,3.58,3.58,3.58,NaN
1915/11/29,3.61,3.61,3.61,3.61,NaN
1916/2/28,3.62,3.62,3.62,3.62,NaN
1916/5/29,3.63,3.63,3.63,3.63,NaN
1916/8/28,3.57,3.57,3.57,3.57,NaN
1916/11/27,3.61,3.61,3.61,3.61,NaN
1917/2/26,3.63,3.63,3.63,3.63,NaN
1917/5/28,3.61,3.61,3.61,3.61,NaN
1917/9/3,3.84,3.84,3.84,3.84,NaN
1917/12/3,3.84,3.84,3.84,3.84,NaN
1918/2/25,3.83,3.83,3.83,3.83,NaN
1918/6/3,3.83,3.83,3.83,3.83,NaN
1918/9/2,3.75,3.75,3.75,3.75,NaN
1918/12/2,3.75,3.75,3.75,3.75,NaN
1919/3/3,4.63,4.63,4.63,4.63,NaN
1919/6/2,4.63,4.63,4.63,4.63,NaN
1919/9/1,4.9,4.9,4.9,4.9,NaN
1919/12/1,4.9,4.9,4.9,4.9,NaN
1920/3/1,4.93,4.93,4.93,4.93,NaN
1920/5/31,4.93,4.93,4.93,4.93,NaN
1920/8/30,5.67,5.67,5.67,5.67,NaN
1920/11/29,5.4,5.4,5.4,5.4,NaN
1921/2/28,5.23,5.23,5.23,5.23,NaN
1921/5/30,5.28,5.28,5.28,5.28,NaN
1921/8/29,4.47,4.47,4.47,4.47,NaN
1921/11/28,4.47,4.47,4.47,4.47,NaN
1922/2/27,4.45,4.45,4.45,4.45,NaN
1922/5/29,4.5,4.5,4.5,4.5,NaN
1922/8/28,4.12,4.12,4.12,4.12,NaN
1922/11/27,4.32,4.32,4.32,4.32,NaN
1923/2/26,4.32,4.32,4.32,4.32,NaN
1923/5/28,4.32,4.32,4.32,4.32,NaN
