DATE,open,high,low,close,Volume
2021-01-04T00:00:00Z,0.931,0.937,0.931,0.935,NaN
2021-01-04T01:00:00Z,0.933,0.943,0.933,0.943,NaN
2021-01-04T02:00:00Z,0.945,0.947,0.943,0.947,NaN
2021-01-04T03:00:00Z,0.945,0.948,0.945,0.947,NaN
2021-01-04T04:00:00Z,0.945,0.95,0.945,0.945,NaN
2021-01-04T05:00:00Z,0.942,0.945,0.942,0.945,NaN
2021-01-04T06:00:00Z,0.945,0.945,0.937,0.94,NaN
2021-01-04T07:00:00Z,0.938,0.945,0.938,0.943,NaN
2021-01-04T08:00:00Z,0.942,0.942,0.918,0.926,NaN
2021-01-04T09:00:00Z,0.926,0.933,0.925,0.931,NaN
2021-01-04T10:00:00Z,0.928,0.935,0.928,0.931,NaN
2021-01-04T11:00:00Z,0.931,0.933,0.922,0.922,NaN
2021-01-04T12:00:00Z,0.925,0.931,0.922,0.928,NaN
2021-01-04T13:00:00Z,0.93,0.935,0.925,0.935,NaN
2021-01-04T14:00:00Z,0.937,0.953,0.935,0.935,NaN
2021-01-04T15:00:00Z,0.931,0.935,0.922,0.922,NaN
2021-01-04T16:00:00Z,0.922,0.93,0.91,0.913,NaN
2021-01-04T17:00:00Z,0.915,0.915,0.908,0.912,NaN
2021-01-04T18:00:00Z,0.913,0.915,0.908,0.915,NaN
2021-01-04T19:00:00Z,0.915,0.918,0.912,0.915,NaN
2021-01-04T20:00:00Z,0.917,0.923,0.912,0.92,NaN
2021-01-04T21:00:00Z,0.915,0.922,0.912,0.915,NaN
2021-01-05T00:00:00Z,0.92,0.925,0.918,0.925,NaN
2021-01-05T01:00:00Z,0.925,0.928,0.922,0.922,NaN
2021-01-05T02:00:00Z,0.922,0.925,0.922,0.925,NaN
2021-01-05T03:00:00Z,0.925,0.927,0.923,0.925,NaN
2021-01-05T04:00:00Z,0.925,0.925,0.922,0.923,NaN
2021-01-05T05:00:00Z,0.925,0.925,0.922,0.922,NaN
2021-01-05T06:00:00Z,0.923,0.925,0.922,0.922,NaN
2021-01-05T07:00:00Z,0.923,0.925,0.92,0.922,NaN
2021-01-05T08:00:00Z,0.925,0.932,0.922,0.93,NaN
2021-01-05T09:00:00Z,0.932,0.938,0.93,0.935,NaN
2021-01-05T10:00:00Z,0.933,0.935,0.932,0.935,NaN
2021-01-05T11:00:00Z,0.932,0.933,0.928,0.928,NaN
2021-01-05T12:00:00Z,0.928,0.938,0.928,0.935,NaN
2021-01-05T13:00:00Z,0.935,0.938,0.928,0.928,NaN
