DATE,open,high,low,close,Volume
1991/4/1,17.42,17.42,17.42,17.42,NaN
1991/4/2,17.4,17.4,17.4,17.4,NaN
1991/4/3,17.61,17.61,17.61,17.61,NaN
1991/4/4,18.01,18.01,18.01,18.01,NaN
1991/4/5,17.63,17.63,17.63,17.63,NaN
1991/4/8,17.41,17.41,17.41,17.41,NaN
1991/4/9,20.12,20.12,20.12,20.12,NaN
1991/4/10,19.73,19.73,19.73,19.73,NaN
1991/4/11,17.24,17.24,17.24,17.24,NaN
1991/4/12,18.45,18.45,18.45,18.45,NaN
1991/4/15,16.5,16.5,16.5,16.5,NaN
1991/4/16,15.82,15.82,15.82,15.82,NaN
1991/4/17,15.47,15.47,15.47,15.47,NaN
1991/4/18,16.26,16.26,16.26,16.26,NaN
1991/4/19,15.68,15.68,15.68,15.68,NaN
1991/4/22,16.78,16.78,16.78,16.78,NaN
1991/4/23,17.02,17.02,17.02,17.02,NaN
1991/4/24,16.72,16.72,16.72,16.72,NaN
1991/4/25,17.15,17.15,17.15,17.15,NaN
1991/4/26,17.27,17.27,17.27,17.27,NaN
1991/4/29,18.27,18.27,18.27,18.27,NaN
1991/4/30,18.24,18.24,18.24,18.24,NaN
1991/5/1,17.77,17.77,17.77,17.77,NaN
1991/5/2,17.52,17.52,17.52,17.52,NaN
1991/5/3,17.24,17.24,17.24,17.24,NaN
1991/5/6,17.92,17.92,17.92,17.92,NaN
1991/5/7,17.46,17.46,17.46,17.46,NaN
1991/5/8,17.78,17.78,17.78,17.78,NaN
1991/5/9,17.17,17.17,17.17,17.17,NaN
1991/5/10,17.54,17.54,17.54,17.54,NaN
1991/5/13,17.66,17.66,17.66,17.66,NaN
1991/5/14,18,18,18,18,NaN
1991/5/15,18.38,18.38,18.38,18.38,NaN
1991/5/16,17.24,17.24,17.24,17.24,NaN
1991/5/17,16.64,16.64,16.64,16.64,NaN
1991/5/20,17.1,17.1,17.1,17.1,NaN
1991/5/21,16.07,16.07,16.07,16.07,NaN
1991/5/22,16.16,16.16,16.16,16.16,NaN
1991/5/23,16.11,16.11,16.11,16.11,NaN
1991/5/24,15.23,15.23,15.23,15.23,NaN
1991/5/28,15.67,15.67,15.67,15.67,NaN
1991/5/29,15.9,15.9,15.9,15.9,NaN
1991/5/30,16.02,16.02,16.02,16.02,NaN
1991/5/31,15.93,15.93,15.93,15.93,NaN
1991/6/3,16.87,16.87,16.87,16.87,NaN
1991/6/4,16.17,16.17,16.17,16.17,NaN
1991/6/5,16.4,16.4,16.4,16.4,NaN
1991/6/6,16.93,16.93,16.93,16.93,NaN
1991/6/7,16.98,16.98,16.98,16.98,NaN
1991/6/10,17.47,17.47,17.47,17.47,NaN
1991/6/11,17.32,17.32,17.32,17.32,NaN
1991/6/12,17.72,17.72,17.72,17.72,NaN
1991/6/13,16.99,16.99,16.99,16.99,NaN
1991/6/14,15.98,15.98,15.98,15.98,NaN
1991/6/17,15.5,15.5,15.5,15.5,NaN
1991/6/18,16.14,16.14,16.14,16.14,NaN
1991/6/19,17.44,17.44,17.44,17.44,NaN
1991/6/20,16.75,16.75,16.75,16.75,NaN
1991/6/21,16.51,16.51,16.51,16.51,NaN
