DATE,open,high,low,close,Volume
1990/1/1,18.19,20.11,18.19,20.11,NaN
1990/1/8,20.26,24.64,20.05,24.64,NaN
1990/1/15,26.34,26.34,22.5,22.5,NaN
1990/1/22,26.7,26.7,24.72,26.28,NaN
1990/1/29,26.44,27.25,24.32,24.32,NaN
1990/2/5,24.54,24.69,23.69,23.69,NaN
1990/2/12,24.38,24.38,19.71,20.78,NaN
1990/2/19,22.78,23.89,22.54,23.69,NaN
1990/2/26,23.56,23.56,21.34,21.34,NaN
1990/3/5,22.03,22.03,19.1,20.3,NaN
1990/3/12,20.07,21.05,17.62,17.62,NaN
1990/3/19,18.29,22.74,18.29,20.46,NaN
1990/3/26,19.59,21.01,18.46,19.73,NaN
1990/4/2,22.84,22.84,20.44,21.76,NaN
1990/4/9,22.3,22.3,17.73,19.8,NaN
1990/4/16,20.75,23.33,20.38,23.33,NaN
1990/4/23,24.16,24.16,20.25,22.19,NaN
1990/4/30,19.52,19.52,17.28,17.28,NaN
1990/5/7,17.65,19.81,17.65,19.81,NaN
1990/5/14,20.14,20.14,17.2,17.2,NaN
1990/5/21,16.72,17.84,16.72,17.32,NaN
1990/5/28,18.75,18.75,17.09,17.09,NaN
1990/6/4,18.39,18.97,16.88,17.58,NaN
1990/6/11,16.34,17.4,15.9,15.9,NaN
1990/6/18,17.71,19.36,14.72,19.36,NaN
1990/6/25,17.06,17.06,15.5,15.5,NaN
1990/7/2,16.26,17.25,16.11,16.41,NaN
1990/7/9,16.66,17.09,16.66,17.09,NaN
1990/7/16,16.75,18.9,15.63,15.63,NaN
1990/7/23,23.68,23.68,20.19,21.12,NaN
1990/7/30,21.16,28.74,20.43,28.74,NaN
1990/8/6,35.91,35.91,24.39,25.75,NaN
1990/8/13,25.74,27.53,23.31,27.53,NaN
1990/8/20,26.46,36.47,26.46,33.93,NaN
1990/8/27,29.63,29.9,27.38,29.9,NaN
1990/9/3,29.58,30.19,28.52,28.73,NaN
1990/9/10,29.34,30.56,28.12,30.56,NaN
1990/9/17,29.55,30.04,27.88,30.04,NaN
1990/9/24,30.56,30.56,28.19,29.11,NaN
1990/10/1,28.06,28.06,27.28,27.85,NaN
1990/10/8,28.04,33.98,28.04,31.94,NaN
1990/10/15,31.64,31.64,27.86,27.86,NaN
1990/10/22,27.27,30.75,27.27,30.75,NaN
1990/10/29,31.54,31.54,30.03,30.03,NaN
