DATE,open,high,low,close,Volume
2019-01-02T08:10:00Z,27.54,28.53,27.54,28.27,NaN
2019-01-02T09:10:00Z,27.96,28.24,27.75,27.97,NaN
2019-01-02T10:10:00Z,27.73,28.25,27.73,28.08,NaN
2019-01-02T11:10:00Z,28.06,28.15,27.64,27.79,NaN
2019-01-02T12:10:00Z,27.69,28.02,27.28,28,NaN
2019-01-02T13:10:00Z,27.99,28.23,27.47,27.85,NaN
2019-01-02T14:10:00Z,27.83,27.84,26.34,26.34,NaN
2019-01-02T15:10:00Z,26.35,26.66,25.65,25.65,NaN
2019-01-02T16:10:00Z,25.64,25.66,25.05,25.35,NaN
2019-01-02T17:10:00Z,25.33,25.36,24.13,24.16,NaN
2019-01-02T18:10:00Z,24.15,24.37,23.86,24.28,NaN
2019-01-02T19:10:00Z,24.3,24.49,23.92,24.24,NaN
2019-01-02T20:10:00Z,24.2,24.32,23.05,23.16,NaN
2019-01-02T21:10:00Z,23.18,23.24,23.17,23.22,NaN
2019-01-03T08:10:00Z,25.68,25.99,25.41,25.83,NaN
2019-01-03T09:10:00Z,25.82,26.29,25.38,26.29,NaN
2019-01-03T10:10:00Z,26.31,26.48,26.08,26.42,NaN
2019-01-03T11:10:00Z,26.43,26.6,25.94,26.16,NaN
2019-01-03T12:10:00Z,26.13,26.15,25.43,25.46,NaN
2019-01-03T13:10:00Z,25.4,25.49,24.84,25.07,NaN
2019-01-03T14:10:00Z,25.02,25.25,24.38,25.25,NaN
2019-01-03T15:10:00Z,25.27,26.57,25.27,25.84,NaN
2019-01-03T16:10:00Z,25.88,25.88,24.05,24.96,NaN
2019-01-03T17:10:00Z,24.95,25.15,24.48,24.89,NaN
2019-01-03T18:10:00Z,24.92,25.32,24.31,24.64,NaN
2019-01-03T19:10:00Z,24.67,25.31,24.24,25.28,NaN
2019-01-03T20:10:00Z,25.3,25.66,24.89,25.26,NaN
2019-01-03T21:10:00Z,25.29,25.45,25.29,25.45,NaN
2019-01-04T08:10:00Z,24.36,24.48,24.2,24.24,NaN
2019-01-04T09:10:00Z,24.25,24.39,23.93,24.17,NaN
2019-01-04T10:10:00Z,24.15,24.19,23.94,23.96,NaN
2019-01-04T11:10:00Z,23.93,24.03,23.83,24,NaN
2019-01-04T12:10:00Z,24.01,24.19,23.98,24.16,NaN
2019-01-04T13:10:00Z,24.15,24.25,22.6,23.82,NaN
2019-01-04T14:10:00Z,23.81,24.08,22.71,22.86,NaN
2019-01-04T15:10:00Z,22.87,23.48,22.3,22.45,NaN
2019-01-04T16:10:00Z,22.43,22.84,22.3,22.32,NaN
2019-01-04T17:10:00Z,22.31,22.49,22.15,22.32,NaN
2019-01-04T18:10:00Z,22.34,22.63,22.17,22.58,NaN
2019-01-04T19:10:00Z,22.56,22.56,21.85,22.01,NaN
2019-01-04T20:10:00Z,22.07,22.08,21.19,21.39,NaN
2019-01-04T21:10:00Z,21.38,21.39,21.32,21.38,NaN
2019-01-07T08:10:00Z,22.06,22.34,22.01,22.31,NaN
2019-01-07T09:10:00Z,22.3,22.63,22.28,22.54,NaN
2019-01-07T10:10:00Z,22.51,22.62,22.44,22.56,NaN
2019-01-07T11:10:00Z,22.57,22.71,22.43,22.53,NaN
2019-01-07T12:10:00Z,22.54,22.58,22.24,22.3,NaN
2019-01-07T13:10:00Z,22.28,22.49,22.21,22.21,NaN
2019-01-07T14:10:00Z,22.2,22.27,21.74,21.83,NaN
2019-01-07T15:10:00Z,21.82,22.11,21.41,21.42,NaN
2019-01-07T16:10:00Z,21.41,21.49,21.13,21.2,NaN
2019-01-07T17:10:00Z,21.21,21.31,21.03,21.07,NaN
